id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,BGM,13,10,2012,1
,BGM,24,3,2011,1
,BGM,18,3,2011,1
,BGM,21,5,2013,1
,BGM,22,3,2011,1
,BGM,49,11,2012,1
,BGM,28,11,2012,1
,BGM,28,11,2012,1
,BGM,13,11,2012,1
,BGM,11,11,2012,1
,BGM,15,3,2011,1
,BGM,12,11,2012,1
,BGM,26,3,2011,1
,BGM,30,6,2012,1
,BGM,15,3,2011,1
,BGM,12,11,2012,1
,BGM,16,11,2012,1
,BGM,21,5,2012,1
,BGM,25,3,2011,1
,BGM,15,3,2011,1
,BGM,13,3,2011,1
,BGM,25,5,2013,1
,BGM,18,5,2013,1
,BGM,13,11,2013,1
,BGM,21,3,2011,1
,BGM,15,3,2011,1
,BGM,28,3,2011,1
,BGM,15,3,2011,1
,BGM,16,3,2011,1
,BGM,14,3,2011,1
,BGM,14,3,2011,1
,BGM,68,5,2013,1
,BGM,27,5,2013,1
,BGM,18,5,2013,1
,BGM,12,5,2013,1
,BGM,20,11,2012,1
,BGM,24,11,2012,1
,BGM,22,3,2011,1
,BGM,11,5,2014,1
,BGM,13,11,2012,1
,BGM,14,11,2012,1
,BGM,14,11,2012,1
,BGM,34,4,2011,1
,BGM,16,5,2013,1
,BGM,19,3,2011,1
,BGM,22,3,2011,1
,BGM,24,10,2011,1
,BGM,26,3,2011,1
,BGM,11,5,2013,1
,BGM,22,3,2011,1
,BGM,24,11,2013,1
,BGM,18,3,2011,1
,BGM,31,11,2012,1
,BGM,16,11,2012,1
,BGM,12,11,2012,1
,BGM,27,3,2011,1
,BGM,15,11,2011,1
,BGM,14,11,2012,1
,BGM,17,5,2012,1
,BGM,16,5,2013,1
,BGM,26,8,2011,1
,BGM,13,3,2011,1
,BGM,29,11,2012,1
,BGM,24,11,2012,1
,BGM,14,3,2011,1
,BGM,12,11,2012,1
,BGM,13,5,2013,1
,BGM,22,11,2012,1
,BGM,15,11,2012,1
,BGM,20,3,2011,1
,BGM,20,3,2011,1
,BGM,9,11,2012,1
,BGM,25,3,2011,1
,BGM,14,4,2011,1
,BGM,17,11,2012,1
,BGM,17,5,2013,1
,BGM,9,11,2012,1
,BGM,24,6,2011,1
,BGM,12,11,2012,1
,BGM,15,11,2012,1
,BGM,21,11,2012,1
,BGM,31,3,2011,1
,BGM,36,11,2012,1
,BGM,19,5,2013,1
,BGM,17,11,2012,1
,BGM,27,3,2011,1
,BGM,17,3,2011,1
,BGM,36,3,2011,1
,BGM,21,5,2012,1
,BGM,24,5,2014,1
,BGM,27,11,2012,1
,BGM,12,11,2012,1
,BGM,23,11,2012,1
,BGM,25,4,2011,1
,BGM,14,11,2012,1
,BGM,46,11,2012,1
,BGM,28,11,2012,1
,BGM,20,11,2012,1
,BGM,15,11,2012,1
,BGM,29,11,2012,1
,BGM,18,10,2012,1
,BGM,11,5,2013,1
,BGM,22,11,2012,1
,BGM,18,6,2013,1
,BGM,49,11,2012,1
,BGM,24,2,2011,1
,BGM,14,10,2012,1
,BGM,19,10,2012,1
,BGM,14,2,2011,1
,BGM,19,2,2011,1
,BGM,20,10,2012,1
,BGM,27,5,2013,1
,BGM,14,2,2011,1
,BGM,24,10,2012,1
,BGM,14,11,2012,1
,BGM,16,2,2011,1
,BGM,18,3,2011,1
,BGM,31,11,2012,1
,BGM,42,2,2011,1
,BGM,16,10,2012,1
,BGM,22,4,2014,1
,BGM,23,5,2013,1
,BGM,20,5,2013,1
,BGM,15,5,2013,1
,BGM,18,5,2013,1
,BGM,10,11,2011,1
,BGM,9,5,2013,1
,BGM,33,11,2012,1
,BGM,10,5,2013,1
,BGM,16,5,2013,1
,BGM,24,3,2013,1
,BGM,21,10,2012,1
,BGM,24,10,2012,1
,BGM,20,10,2012,1
,BGM,28,10,2012,1
,BGM,27,10,2012,1
,BGM,31,2,2011,1
,BGM,24,2,2011,1
,BGM,14,11,2012,1
,BGM,14,11,2012,1
,BGM,32,5,2013,1
,BGM,16,11,2012,1
,BGM,14,11,2012,1
,BGM,13,11,2012,1
,BGM,9,5,2013,1
,BGM,40,2,2012,1
,BGM,11,5,2013,1
,BGM,15,5,2013,1
,BGM,17,10,2012,1
,BGM,13,10,2012,1
,BGM,16,10,2012,1
,BGM,27,10,2012,1
,BGM,10,11,2012,1
,BGM,11,10,2012,1
,BGM,25,10,2012,1
,BGM,22,2,2011,1
,BGM,17,5,2013,1
,BGM,26,5,2013,1
,BGM,12,5,2013,1
,BGM,15,5,2013,1
,BGM,18,2,2011,1
,BGM,24,10,2012,1
,BGM,23,5,2013,1
,BGM,17,3,2011,1
,1AF,29,4,2014,1
,1AF,16,4,2014,1
,1AF,42,4,2014,1
,1AF,21,4,2014,1
,1AF,24,4,2014,1
,1AF,15,2,2010,1
,1AF,30,4,2014,1
,1AF,15,2,2010,1
,1AF,12,6,2014,1
,1AF,30,2,2010,1
,1AF,39,2,2010,1
,1AF,19,4,2014,1
,1AF,19,6,2014,1
,1AF,45,4,2014,1
,1AF,18,11,2011,1
,1AF,21,12,2011,1
,1AF,23,12,2011,1
,1AF,26,12,2011,1
,1AF,36,11,2011,1
,1AF,26,11,2011,1
,1AF,16,11,2011,1
,1AF,25,11,2011,1
,1AF,19,12,2011,1
,1AF,34,12,2011,1
,1AF,49,12,2011,1
,1AF,31,11,2011,1
,1AF,28,11,2011,1
,1AF,24,11,2011,1
,1AF,21,11,2011,1
,1AF,41,12,2011,1
