id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,13,BGM,10,2012,1
,24,BGM,3,2011,1
,18,BGM,3,2011,1
,21,BGM,5,2013,1
,22,BGM,3,2011,1
,49,BGM,11,2012,1
,28,BGM,11,2012,1
,28,BGM,11,2012,1
,13,BGM,11,2012,1
,11,BGM,11,2012,1
,15,BGM,3,2011,1
,12,BGM,11,2012,1
,26,BGM,3,2011,1
,30,BGM,6,2012,1
,15,BGM,3,2011,1
,12,BGM,11,2012,1
,16,BGM,11,2012,1
,21,BGM,5,2012,1
,25,BGM,3,2011,1
,15,BGM,3,2011,1
,13,BGM,3,2011,1
,25,BGM,5,2013,1
,18,BGM,5,2013,1
,13,BGM,11,2013,1
,21,BGM,3,2011,1
,15,BGM,3,2011,1
,28,BGM,3,2011,1
,15,BGM,3,2011,1
,16,BGM,3,2011,1
,14,BGM,3,2011,1
,14,BGM,3,2011,1
,68,BGM,5,2013,1
,27,BGM,5,2013,1
,18,BGM,5,2013,1
,12,BGM,5,2013,1
,20,BGM,11,2012,1
,24,BGM,11,2012,1
,22,BGM,3,2011,1
,11,BGM,5,2014,1
,13,BGM,11,2012,1
,14,BGM,11,2012,1
,14,BGM,11,2012,1
,34,BGM,4,2011,1
,16,BGM,5,2013,1
,19,BGM,3,2011,1
,22,BGM,3,2011,1
,24,BGM,10,2011,1
,26,BGM,3,2011,1
,11,BGM,5,2013,1
,22,BGM,3,2011,1
,24,BGM,11,2013,1
,18,BGM,3,2011,1
,31,BGM,11,2012,1
,16,BGM,11,2012,1
,12,BGM,11,2012,1
,27,BGM,3,2011,1
,15,BGM,11,2011,1
,14,BGM,11,2012,1
,17,BGM,5,2012,1
,16,BGM,5,2013,1
,26,BGM,8,2011,1
,13,BGM,3,2011,1
,29,BGM,11,2012,1
,24,BGM,11,2012,1
,14,BGM,3,2011,1
,12,BGM,11,2012,1
,13,BGM,5,2013,1
,22,BGM,11,2012,1
,15,BGM,11,2012,1
,20,BGM,3,2011,1
,20,BGM,3,2011,1
,9,BGM,11,2012,1
,25,BGM,3,2011,1
,14,BGM,4,2011,1
,17,BGM,11,2012,1
,17,BGM,5,2013,1
,9,BGM,11,2012,1
,24,BGM,6,2011,1
,12,BGM,11,2012,1
,15,BGM,11,2012,1
,21,BGM,11,2012,1
,31,BGM,3,2011,1
,36,BGM,11,2012,1
,19,BGM,5,2013,1
,17,BGM,11,2012,1
,27,BGM,3,2011,1
,17,BGM,3,2011,1
,36,BGM,3,2011,1
,21,BGM,5,2012,1
,24,BGM,5,2014,1
,27,BGM,11,2012,1
,12,BGM,11,2012,1
,23,BGM,11,2012,1
,25,BGM,4,2011,1
,14,BGM,11,2012,1
,46,BGM,11,2012,1
,28,BGM,11,2012,1
,20,BGM,11,2012,1
,15,BGM,11,2012,1
,29,BGM,11,2012,1
,18,BGM,10,2012,1
,11,BGM,5,2013,1
,22,BGM,11,2012,1
,18,BGM,6,2013,1
,49,BGM,11,2012,1
,24,BGM,2,2011,1
,14,BGM,10,2012,1
,19,BGM,10,2012,1
,14,BGM,2,2011,1
,19,BGM,2,2011,1
,20,BGM,10,2012,1
,27,BGM,5,2013,1
,14,BGM,2,2011,1
,24,BGM,10,2012,1
,14,BGM,11,2012,1
,16,BGM,2,2011,1
,18,BGM,3,2011,1
,31,BGM,11,2012,1
,42,BGM,2,2011,1
,16,BGM,10,2012,1
,22,BGM,4,2014,1
,23,BGM,5,2013,1
,20,BGM,5,2013,1
,15,BGM,5,2013,1
,18,BGM,5,2013,1
,10,BGM,11,2011,1
,9,BGM,5,2013,1
,33,BGM,11,2012,1
,10,BGM,5,2013,1
,16,BGM,5,2013,1
,24,BGM,3,2013,1
,21,BGM,10,2012,1
,24,BGM,10,2012,1
,20,BGM,10,2012,1
,28,BGM,10,2012,1
,27,BGM,10,2012,1
,31,BGM,2,2011,1
,24,BGM,2,2011,1
,14,BGM,11,2012,1
,14,BGM,11,2012,1
,32,BGM,5,2013,1
,16,BGM,11,2012,1
,14,BGM,11,2012,1
,13,BGM,11,2012,1
,9,BGM,5,2013,1
,40,BGM,2,2012,1
,11,BGM,5,2013,1
,15,BGM,5,2013,1
,17,BGM,10,2012,1
,13,BGM,10,2012,1
,16,BGM,10,2012,1
,27,BGM,10,2012,1
,10,BGM,11,2012,1
,11,BGM,10,2012,1
,25,BGM,10,2012,1
,22,BGM,2,2011,1
,17,BGM,5,2013,1
,26,BGM,5,2013,1
,12,BGM,5,2013,1
,15,BGM,5,2013,1
,18,BGM,2,2011,1
,24,BGM,10,2012,1
,23,BGM,5,2013,1
,17,BGM,3,2011,1
,29,1AF,4,2014,1
,16,1AF,4,2014,1
,42,1AF,4,2014,1
,21,1AF,4,2014,1
,24,1AF,4,2014,1
,15,1AF,2,2010,1
,30,1AF,4,2014,1
,15,1AF,2,2010,1
,12,1AF,6,2014,1
,30,1AF,2,2010,1
,39,1AF,2,2010,1
,19,1AF,4,2014,1
,19,1AF,6,2014,1
,45,1AF,4,2014,1
,18,1AF,11,2011,1
,21,1AF,12,2011,1
,23,1AF,12,2011,1
,26,1AF,12,2011,1
,36,1AF,11,2011,1
,26,1AF,11,2011,1
,16,1AF,11,2011,1
,25,1AF,11,2011,1
,19,1AF,12,2011,1
,34,1AF,12,2011,1
,49,1AF,12,2011,1
,31,1AF,11,2011,1
,28,1AF,11,2011,1
,24,1AF,11,2011,1
,21,1AF,11,2011,1
,41,1AF,12,2011,1
,26,1AF,11,2011,1
,44,1AF,11,2011,1
,23,1AF,11,2011,1
,37,1AF,11,2011,1
,23,1AF,11,2011,1
,37,KKM2,11,2011,1
,16,KKM2,11,2011,1
,18,KKM2,12,2011,1
,17,KKM2,11,2011,1
,40,KKM2,11,2011,1
,34,KKM2,11,2011,1
,18,KKM2,12,2011,1
,31,KKM2,12,2011,1
,31,KKM2,11,2011,1
,24,KKM2,11,2011,1
,19,KKM2,11,2011,1
,23,KKM2,11,2011,1
,17,KKM2,11,2011,1
,18,KKM2,11,2011,1
