id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Rongo,10310353,,,,,,1,4,2015/01/27,2015/01/27,1
,Rongo,10310354,,,,,,1,4,2015/01/27,2015/01/27,1
,Rongo,10310355,7,420,14,0.5,2.5,3,12,2014/07/10,2015/09/03,1
,Rongo,10310357,3,108,3.6,0.8333334,4.166667,3,8,2015/02/24,2015/09/03,1
,Rongo,10310358,4,106,3.533333,1.132075,5.660377,3,8,2015/02/24,2015/09/03,1
,Rongo,10310359,,,,,,3,4,2014/07/29,2015/06/08,1
,Rongo,10310360,,,,,,4,8,2014/07/09,2015/09/07,1
,Rongo,10310363,,,,,,1,4,2014/07/09,2014/07/09,1
,Rongo,10310365,,,,,,1,4,2014/07/09,2014/07/09,1
,Rongo,10310366,,,,,,1,2,2015/05/22,2015/05/22,1
,Rongo,10310367,,,,,,3,8,2014/07/27,2015/08/04,1
,Rongo,10310369,,,,,,2,2,2015/02/20,2015/08/03,1
,Rongo,10310370,,,,,,2,0,2015/02/20,2015/06/16,1
,Rongo,10310372,,,,,,3,4,2014/07/03,2015/06/16,1
,Rongo,10310373,,,,,,2,2,2015/02/20,2015/08/04,1
,Rongo,10310374,,,,,,2,4,2014/07/03,2015/02/23,1
,Rongo,10310375,,,,,,2,2,2015/02/23,2015/08/04,1
,Rongo,10310376,7,77,2.566667,2.727273,13.63636,5,14,2014/07/11,2015/09/01,1
,Rongo,10310377,7,139,4.633333,1.510791,7.553957,4,10,2015/02/28,2015/09/01,1
,Rongo,10310378,,,,,,1,2,2015/09/01,2015/09/01,1
,Rongo,10310379,2,70,2.333333,0.8571429,4.285714,3,4,2015/02/28,2015/09/01,1
,Rongo,10310380,2,70,2.333333,0.8571429,4.285714,4,8,2014/07/08,2015/09/01,1
,Rongo,10310381,,,,,,3,6,2014/07/08,2015/09/01,1
,Rongo,10310382,,,,,,3,8,2014/07/04,2015/06/16,1
,Rongo,10310383,,,,,,1,4,2015/09/04,2015/09/04,1
,Rongo,10310384,5,147,4.9,1.020408,5.102041,2,8,2015/04/10,2015/09/04,1
,Rongo,10310385,,,,,,2,4,2015/04/10,2015/09/04,1
,Rongo,10310387,,,,,,2,4,2014/07/04,2015/03/02,1
,Rongo,10310389,7,218,7.266667,0.9633027,4.816514,4,12,2014/07/03,2015/03/02,1
,Rongo,10310390,4,76,2.533333,1.578947,7.894737,3,8,2014/07/03,2015/03/02,1
,Rongo,10310391,,,,,,1,0,2015/03/02,2015/03/02,1
,Rongo,10310392,4.5,36,1.2,3.75,18.75,3,8,2014/08/12,2015/03/02,1
,Rongo,10310394,,,,,,1,4,2015/02/23,2015/02/23,1
,Rongo,10310396,11,422,14.06667,0.7819905,3.909953,4,15,2014/07/08,2015/09/03,1
,Rongo,10310397,3,223,7.433333,0.4035874,2.017937,2,8,2014/07/09,2015/02/17,1
,Rongo,10310398,8,223,7.433333,1.076233,5.381166,3,12,2014/07/09,2015/02/17,1
,Rongo,10310399,13,294,9.8,1.326531,6.632653,5,18,2014/07/04,2015/04/24,1
,Rongo,10310400,7,232,7.733333,0.9051725,4.525862,3,12,2014/07/10,2015/02/27,1
,Rongo,10310401,3,220,7.333333,0.4090909,2.045455,2,8,2014/07/04,2015/02/09,1
,Rongo,10310402,2,317,10.56667,0.1892744,0.9463722,2,6,2014/07/02,2015/05/15,1
,Rongo,10310403,7,228,7.6,0.9210526,4.605263,3,12,2014/07/03,2015/02/16,1
,Rongo,10310404,3,229,7.633333,0.3930131,1.965066,2,8,2014/07/02,2015/02/16,1
