ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,48,Kibuku 3,4,2013,2,24-Apr-13
,38,Kibuku 3,4,2013,2,25-Apr-13
,36,Kibuku 4,4,2013,2,25-Apr-13
,32,Kibuku 3,4,2013,2,25-Apr-13
,21,Kibuku 1,4,2013,2,25-Apr-13
,35,Kibuku 3,4,2013,2,25-Apr-13
,37,Kibuku 3,4,2013,2,25-Apr-13
,58,Kibuku 3,4,2013,2,26-Apr-13
,40,Kibuku 3,4,2013,2,26-Apr-13
,27,Kibuku 3,4,2013,2,26-Apr-13
,55,Kibuku 3,4,2013,2,26-Apr-13
,41,Kibuku 3,4,2013,2,26-Apr-13
,54,Kibuku 3,4,2013,2,26-Apr-13
,28,Kibuku 3,4,2013,2,26-Apr-13
,37,Kibuku 3,4,2013,2,26-Apr-13
,66,Kibuku 3,4,2013,2,27-Apr-13
,54,Kibuku 3,4,2013,2,27-Apr-13
,22,Kibuku 3,4,2013,2,27-Apr-13
,35,Kibuku 3,4,2013,2,27-Apr-13
,34,Kibuku 3,4,2013,2,27-Apr-13
,30,Kibuku 3,4,2013,2,27-Apr-13
,40,Kibuku 3,4,2013,2,27-Apr-13
,29,Kibuku 3,4,2013,2,27-Apr-13
,46,Kibuku 3,4,2013,2,27-Apr-13
,32,Kibuku 3,4,2013,2,27-Apr-13
,55,Kibuku 3,4,2013,2,27-Apr-13
,35,Kibuku 3,4,2013,2,27-Apr-13
,35,Kibuku 3,4,2013,2,27-Apr-13
,71,Kibuku 3,4,2013,2,27-Apr-13
,22,Kibuku 3,4,2013,2,28-Apr-13
,22,Kibuku 3,4,2013,2,28-Apr-13
,39,Kibuku 3,4,2013,2,28-Apr-13
,41,Kibuku 3,4,2013,2,28-Apr-13
,31,Kibuku 3,4,2013,2,28-Apr-13
,39,Kibuku 3,4,2013,2,28-Apr-13
,25,Kibuku 3,4,2013,2,28-Apr-13
,44,Kibuku 3,4,2013,2,28-Apr-13
,42,Kibuku 3,4,2013,2,28-Apr-13
,32,Kibuku 3,4,2013,2,28-Apr-13
,59,Kibuku 3,4,2013,2,28-Apr-13
,40,Kibuku 3,4,2013,2,28-Apr-13
,44,Kibuku 3,4,2013,2,28-Apr-13
,36,Kibuku 1,4,2013,2,28-Apr-13
,102,Kibuku 3,4,2013,2,29-Apr-13
,39,Kibuku 2,4,2013,2,29-Apr-13
,86,Kibuku 3,4,2013,2,29-Apr-13
,48,Kibuku 3,4,2013,2,29-Apr-13
,33,Kibuku 3,4,2013,2,29-Apr-13
,37,Kibuku 3,4,2013,2,30-Apr-13
,56,Kibuku 3,4,2013,2,30-Apr-13
,32,Kibuku 3,4,2013,2,30-Apr-13
,33,Kibuku 3,4,2013,2,30-Apr-13
,61,Kibuku 3,4,2013,2,30-Apr-13
,27,Kibuku 3,5,2013,2,02-May-13
,35,Kibuku 3,5,2013,2,02-May-13
,25,Kibuku 1,5,2013,2,02-May-13
,61,Kibuku 3,5,2013,2,02-May-13
,41,Kibuku 3,5,2013,2,02-May-13
,58,Kibuku 3,5,2013,2,02-May-13
,39,Kibuku 3,5,2013,2,02-May-13
,35,Kibuku 3,5,2013,2,02-May-13
,49,Kibuku 3,5,2013,2,02-May-13
,56,Kibuku 3,5,2013,2,02-May-13
,38,Kibuku 3,5,2013,2,02-May-13
,40,Kibuku 3,5,2013,2,02-May-13
,36,Kibuku 2,5,2013,2,04-May-13
,52,Kibuku 1,5,2013,2,04-May-13
,14,Kibuku 3,5,2013,2,04-May-13
,39,Kibuku 3,5,2013,2,04-May-13
,30,Kibuku 3,5,2013,2,04-May-13
,40,Kibuku 3,5,2013,2,04-May-13
,43,Kibuku 3,5,2013,2,04-May-13
,43,Kibuku 3,5,2013,2,04-May-13
,41,Kibuku 3,5,2013,2,04-May-13
,48,Kibuku 3,5,2013,2,04-May-13
,45,Kibuku 2,5,2013,2,04-May-13
,49,Kibuku 3,5,2013,2,04-May-13
,40,Kibuku 1,5,2013,2,04-May-13
,50,Kibuku 3,5,2013,2,04-May-13
,60,Kibuku 3,5,2013,2,04-May-13
,12,Kibuku 3,5,2013,2,04-May-13
,67,Kibuku 3,5,2013,2,04-May-13
,52,Kibuku 3,5,2013,2,05-May-13
,47,Kibuku 3,5,2013,2,05-May-13
,46,Kibuku 3,5,2013,2,05-May-13
,28,Kibuku 3,5,2013,2,06-May-13
,62,Kibuku 3,5,2013,2,06-May-13
,31,Kibuku 3,5,2013,2,06-May-13
,42,Kibuku 3,5,2013,2,06-May-13
,28,Kibuku 3,5,2013,2,07-May-13
,30,Kibuku 3,5,2013,2,07-May-13
,28,Kibuku 4,5,2013,2,07-May-13
,51,Kibuku 3,5,2013,2,07-May-13
,47,Kibuku 3,5,2013,2,07-May-13
,38,Kibuku 4,5,2013,2,07-May-13
,,Kibuku 3,5,2013,2,07-May-13
,15,Kibuku 3,5,2013,2,07-May-13
,60,Kibuku 3,5,2013,2,07-May-13
,41,Kibuku 3,5,2013,2,07-May-13
,27,Kibuku 3,5,2013,2,07-May-13
,31,Kibuku 3,5,2013,2,07-May-13
,43,Kibuku 3,5,2013,2,07-May-13
,28,Kibuku 4,5,2013,2,07-May-13
,47,Kibuku 3,5,2013,2,07-May-13
,35,Kibuku 4,5,2013,2,07-May-13
,60,Kibuku 3,5,2013,2,07-May-13
,96,Kibuku 3,5,2013,2,07-May-13
,55,Kibuku 3,5,2013,2,07-May-13
,78,Kibuku 3,5,2013,2,08-May-13
,51,Kibuku 3,5,2013,2,08-May-13
,36,Kibuku 3,5,2013,2,08-May-13
,60,Kibuku 3,5,2013,2,08-May-13
,40,Kibuku 3,5,2013,2,08-May-13
,41,Kibuku 3,5,2013,2,08-May-13
,78,Kibuku 3,5,2013,2,08-May-13
,43,Kibuku 3,5,2013,2,08-May-13
,36,Kibuku 3,5,2013,2,08-May-13
,40,Kibuku 3,5,2013,2,08-May-13
,63,Kibuku 3,5,2013,2,08-May-13
,38,Kibuku 3,5,2013,2,08-May-13
,72,Kibuku 3,5,2013,2,08-May-13
,38,Kibuku 3,5,2013,2,08-May-13
,45,Kibuku 3,5,2013,2,08-May-13
,23,Kibuku 3,5,2013,2,08-May-13
,35,Kibuku 3,5,2013,2,08-May-13
,57,Kibuku 3,5,2013,2,08-May-13
,30,Kibuku 3,5,2013,2,09-May-13
,22,Kibuku 3,5,2013,2,09-May-13
,34,Kibuku 3,5,2013,2,09-May-13
,34,Kibuku 3,5,2013,2,09-May-13
,79,Kibuku 3,5,2013,2,09-May-13
,70,Kibuku 3,5,2013,2,09-May-13
,32,Kibuku 3,5,2013,2,09-May-13
,89,Kibuku 3,5,2013,2,09-May-13
,52,Kibuku 3,5,2013,2,10-May-13
,46,Kibuku 3,5,2013,2,10-May-13
,37,Kibuku 3,5,2013,2,10-May-13
,60,Kibuku 3,5,2013,2,10-May-13
,26,Kibuku 3,5,2013,2,10-May-13
,35,Kibuku 3,5,2013,2,10-May-13
,25,Kibuku 3,5,2013,2,10-May-13
,89,Kibuku 3,5,2013,2,10-May-13
,50,Kibuku 3,5,2013,2,10-May-13
,46,Kibuku 3,5,2013,2,10-May-13
,49,Kibuku 3,5,2013,2,10-May-13
,25,Kibuku 3,5,2013,2,10-May-13
,46,Kibuku 3,5,2013,2,10-May-13
,41,Kibuku 3,5,2013,2,10-May-13
,67,Kibuku 3,5,2013,2,10-May-13
,37,Kibuku 3,5,2013,2,10-May-13
,40,Kibuku 3,5,2013,2,10-May-13
,70,Kibuku 3,5,2013,2,10-May-13
,22,Kibuku 3,5,2013,2,11-May-13
,35,Kibuku 3,5,2013,2,11-May-13
,36,Kibuku 3,5,2013,2,11-May-13
,48,Kibuku 3,5,2013,2,11-May-13
,67,Kibuku 3,5,2013,2,11-May-13
,40,Kibuku 3,5,2013,2,11-May-13
,49,Kibuku 3,5,2013,2,11-May-13
,30,Kibuku 3,5,2013,2,11-May-13
,50,Kibuku 3,5,2013,2,11-May-13
,39,Kibuku 3,5,2013,2,12-May-13
,40,Kibuku 4,5,2013,2,13-May-13
,45,Kibuku 3,5,2013,2,13-May-13
,27,Kibuku 3,5,2013,2,13-May-13
,28,Kibuku 3,5,2013,2,13-May-13
,22,Kibuku 3,5,2013,2,13-May-13
,83,Kibuku 3,5,2013,2,13-May-13
,45,Kibuku 3,5,2013,2,13-May-13
,43,Kibuku 3,5,2013,2,13-May-13
,46,Kibuku 3,5,2013,2,13-May-13
,33,Kibuku 3,5,2013,2,14-May-13
,35,Kibuku 4,5,2013,2,14-May-13
,60,Kibuku 3,5,2013,2,14-May-13
,56,Kibuku 3,5,2013,2,14-May-13
,33,Kibuku 3,5,2013,2,14-May-13
,24,Kibuku 3,5,2013,2,14-May-13
,38,Kibuku 3,5,2013,2,14-May-13
,63,Kibuku 3,5,2013,2,14-May-13
,42,Kibuku 3,5,2013,2,15-May-13
,39,Kibuku 3,5,2013,2,16-May-13
,86,Kibuku 3,5,2013,2,16-May-13
,40,Kibuku 3,5,2013,2,16-May-13
,21,Kibuku 3,5,2013,2,16-May-13
,25,Kibuku 3,5,2013,2,16-May-13
,61,Kibuku 3,5,2013,2,16-May-13
,28,Kibuku 3,5,2013,2,17-May-13
,59,Kibuku 3,5,2013,2,17-May-13
,41,Kibuku 3,5,2013,2,17-May-13
,32,Kibuku 3,5,2013,2,17-May-13
,41,Kibuku 3,5,2013,2,17-May-13
,60,Kibuku 3,5,2013,2,17-May-13
,50,Kibuku 3,5,2013,2,17-May-13
,54,Kibuku 3,5,2013,2,17-May-13
,31,Kibuku 3,5,2013,2,17-May-13
,40,Kibuku 3,5,2013,2,17-May-13
,13,Kibuku 3,5,2013,2,17-May-13
,74,Kibuku 3,5,2013,2,17-May-13
,56,Kibuku 3,5,2013,2,17-May-13
,38,Kibuku 3,5,2013,2,18-May-13
,40,Kibuku 3,5,2013,2,18-May-13
,40,Kibuku 3,5,2013,2,18-May-13
,31,Kibuku 3,5,2013,2,18-May-13
,42,Kibuku 3,5,2013,2,18-May-13
,35,Kibuku 3,5,2013,2,18-May-13
,24,Kibuku 3,5,2013,2,18-May-13
,35,Kibuku 3,5,2013,2,18-May-13
,25,Kibuku 3,5,2013,2,18-May-13
,42,Kibuku 3,5,2013,2,18-May-13
,28,Kibuku 3,5,2013,2,18-May-13
,43,Kibuku 3,5,2013,2,18-May-13
,25,Kibuku 3,5,2013,2,18-May-13
,61,Kibuku 3,5,2013,2,18-May-13
,28,Kibuku 3,5,2013,2,18-May-13
,34,Kibuku 3,5,2013,2,18-May-13
,55,Kibuku 3,5,2013,2,18-May-13
,38,Kibuku 3,5,2013,2,19-May-13
,51,Kibuku 3,5,2013,2,19-May-13
,18,Kibuku 3,5,2013,2,19-May-13
,20,Kibuku 3,5,2013,2,19-May-13
,30,Kibuku 3,5,2013,2,20-May-13
,60,Kibuku 3,5,2013,2,20-May-13
,30,Kibuku 3,5,2013,2,20-May-13
,38,Kibuku 3,5,2013,2,20-May-13
,50,Kibuku 3,5,2013,2,20-May-13
,47,Kibuku 3,5,2013,2,20-May-13
,43,Kibuku 3,5,2013,2,20-May-13
,40,Kibuku 3,5,2013,2,21-May-13
,32,Kibuku 3,5,2013,2,21-May-13
,35,Kibuku 3,5,2013,2,21-May-13
,40,Kibuku 3,5,2013,2,21-May-13
,23,Kibuku 3,5,2013,2,21-May-13
,30,Kibuku 3,5,2013,2,21-May-13
,29,Kibuku 3,5,2013,2,21-May-13
,55,Kibuku 3,5,2013,2,21-May-13
,45,Kibuku 3,5,2013,2,22-May-13
