ID,cem301_attendees_total,cem011 prgrm,month,year,country
,45,Butaleja,12,2014,2
,41,Butaleja,1,2015,2
,38,Butaleja,2,2015,2
,26,Butaleja,2,2015,2
,15,Butaleja,2,2015,2
,50,Butaleja,12,2014,2
,43,Butaleja,12,2014,2
,68,Butaleja,12,2014,2
,33,Butaleja,2,2015,2
,46,Butaleja,12,2014,2
,108,Butaleja,1,2015,2
,28,Butaleja,1,2015,2
,27,Butaleja,12,2014,2
,33,Butaleja,12,2014,2
,41,Butaleja,12,2014,2
,22,Butaleja,2,2015,2
,43,Butaleja,2,2015,2
,36,Butaleja,1,2015,2
,27,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,23,Butaleja,2,2015,2
,28,Butaleja,12,2014,2
,26,Butaleja,12,2014,2
,51,Butaleja,1,2015,2
,41,Butaleja,1,2015,2
,22,Butaleja,2,2015,2
,45,Butaleja,1,2015,2
,24,Butaleja,12,2014,2
,36,Butaleja,12,2014,2
,22,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,46,Butaleja,1,2015,2
,44,Butaleja,1,2015,2
,68,Butaleja,12,2014,2
,51,Butaleja,2,2015,2
,51,Butaleja,1,2015,2
,55,Butaleja,1,2015,2
,25,Butaleja,2,2015,2
,31,Butaleja,2,2015,2
,26,Butaleja,1,2015,2
,29,Butaleja,12,2014,2
,20,Butaleja,2,2015,2
,45,Butaleja,2,2015,2
,20,Butaleja,2,2015,2
,37,Butaleja,2,2015,2
,47,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,28,Butaleja,1,2015,2
,23,Butaleja,2,2015,2
,34,Butaleja,1,2015,2
,28,Butaleja,1,2015,2
,32,Butaleja,12,2014,2
,27,Butaleja,2,2015,2
,27,Butaleja,2,2015,2
,43,Butaleja,2,2015,2
,60,Butaleja,12,2014,2
,24,Butaleja,2,2015,2
,72,Butaleja,12,2014,2
,51,Butaleja,1,2015,2
,37,Butaleja,1,2015,2
,27,Butaleja,1,2015,2
,48,Butaleja,1,2015,2
,40,Butaleja,2,2015,2
,41,Butaleja,12,2014,2
,40,Butaleja,2,2015,2
,27,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,80,Butaleja,12,2014,2
,40,Butaleja,1,2015,2
,35,Butaleja,12,2014,2
,37,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,36,Butaleja,2,2015,2
,59,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,43,Butaleja,1,2015,2
,24,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,18,Butaleja,2,2015,2
,46,Butaleja,2,2015,2
,35,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,34,Butaleja,2,2015,2
,64,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,39,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,15,Butaleja,2,2015,2
,39,Butaleja,12,2014,2
,38,Butaleja,1,2015,2
,47,Butaleja,1,2015,2
,34,Butaleja,1,2015,2
,32,Butaleja,2,2015,2
,31,Butaleja,1,2015,2
,33,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,40,Butaleja,12,2014,2
,38,Butaleja,2,2015,2
,35,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,47,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,41,Butaleja,12,2014,2
,69,Kibuku 1,7,2013,2
,35,Kibuku 1,8,2013,2
,40,Kibuku 1,5,2013,2
,51,Kibuku 1,8,2013,2
,52,Kibuku 1,5,2013,2
,59,Kibuku 1,3,2015,2
,21,Kibuku 1,4,2013,2
,20,Kibuku 1,4,2013,2
,21,Kibuku 1,7,2013,2
,28,Kibuku 1,4,2013,2
,36,Kibuku 1,4,2013,2
,23,Kibuku 1,4,2013,2
,25,Kibuku 1,5,2013,2
,27,Kibuku 2,3,2015,2
,27,Kibuku 2,3,2015,2
,47,Kibuku 2,3,2015,2
,31,Kibuku 2,3,2015,2
,30,Kibuku 2,8,2013,2
,34,Kibuku 2,3,2015,2
,14,Kibuku 2,3,2015,2
,142,Kibuku 2,3,2015,2
,33,Kibuku 2,3,2015,2
,33,Kibuku 2,7,2013,2
,54,Kibuku 2,3,2015,2
,37,Kibuku 2,1,2012,2
,56,Kibuku 2,3,2015,2
,52,Kibuku 2,8,2013,2
,39,Kibuku 2,3,2015,2
,36,Kibuku 2,5,2013,2
,32,Kibuku 2,3,2015,2
,56,Kibuku 2,8,2013,2
,48,Kibuku 2,8,2013,2
,85,Kibuku 2,3,2015,2
,41,Kibuku 2,3,2015,2
,22,Kibuku 2,3,2015,2
,40,Kibuku 2,3,2015,2
,41,Kibuku 2,3,2015,2
,36,Kibuku 2,4,2014,2
,71,Kibuku 2,3,2015,2
,58,Kibuku 2,3,2015,2
,104,Kibuku 2,3,2015,2
,58,Kibuku 2,7,2013,2
,72,Kibuku 2,3,2015,2
,46,Kibuku 2,8,2013,2
,35,Kibuku 2,8,2013,2
,41,Kibuku 2,3,2015,2
,67,Kibuku 2,3,2015,2
,22,Kibuku 2,3,2015,2
,60,Kibuku 2,3,2015,2
,50,Kibuku 2,3,2015,2
,40,Kibuku 2,4,2013,2
,24,Kibuku 2,3,2015,2
,50,Kibuku 2,3,2015,2
,38,Kibuku 2,3,2015,2
,45,Kibuku 2,3,2015,2
,34,Kibuku 2,3,2015,2
,36,Kibuku 2,8,2013,2
,59,Kibuku 2,3,2015,2
,32,Kibuku 2,3,2015,2
,98,Kibuku 2,3,2015,2
,36,Kibuku 2,3,2015,2
,33,Kibuku 2,3,2015,2
,39,Kibuku 2,3,2015,2
,39,Kibuku 2,4,2013,2
,45,Kibuku 2,4,2014,2
,30,Kibuku 2,3,2015,2
,73,Kibuku 2,3,2015,2
,41,Kibuku 2,8,2013,2
,37,Kibuku 2,3,2015,2
,26,Kibuku 2,3,2015,2
,32,Kibuku 2,3,2015,2
,52,Kibuku 2,3,2015,2
,30,Kibuku 2,3,2015,2
,60,Kibuku 2,3,2015,2
,45,Kibuku 2,5,2013,2
,56,Kibuku 2,3,2015,2
,39,Kibuku 2,3,2015,2
,68,Kibuku 2,3,2015,2
,43,Kibuku 2,3,2015,2
,31,Kibuku 2,3,2015,2
,60,Kibuku 2,3,2015,2
,57,Kibuku 2,3,2015,2
,36,Kibuku 2,4,2013,2
,94,Kibuku 2,3,2015,2
,16,Kibuku 2,8,2013,2
,22,Kibuku 2,4,2014,2
,55,Kibuku 2,1,2012,2
,19,Kibuku  3,4,2013,2
,20,Kibuku  3,5,2013,2
,33,Kibuku  3,4,2014,2
,35,Kibuku  3,4,2013,2
,25,Kibuku  3,5,2013,2
,37,Kibuku  3,4,2014,2
,46,Kibuku  3,4,2013,2
,55,Kibuku  3,3,2015,2
,42,Kibuku  3,5,2013,2
,35,Kibuku  3,5,2013,2
,28,Kibuku  3,4,2013,2
,60,Kibuku  3,5,2013,2
,60,Kibuku  3,5,2013,2
,28,Kibuku  3,4,2014,2
,57,Kibuku  3,5,2013,2
,31,Kibuku  3,5,2013,2
,36,Kibuku  3,5,2013,2
,40,Kibuku  3,4,2013,2
,25,Kibuku  3,4,2013,2
,42,Kibuku  3,4,2014,2
,63,Kibuku  3,5,2013,2
,20,Kibuku  3,4,2014,2
,34,Kibuku  3,3,2015,2
,23,Kibuku  3,5,2013,2
,25,Kibuku  3,5,2013,2
,25,Kibuku  3,5,2013,2
,32,Kibuku  3,4,2013,2
,61,Kibuku  3,4,2013,2
,66,Kibuku  3,4,2013,2
,25,Kibuku  3,5,2013,2
,56,Kibuku  3,4,2013,2
,38,Kibuku  3,4,2013,2
,47,Kibuku  3,5,2013,2
,41,Kibuku  3,4,2013,2
,42,Kibuku  3,5,2013,2
,30,Kibuku  3,5,2013,2
,33,Kibuku  3,4,2014,2
,50,Kibuku  3,5,2013,2
,26,Kibuku  3,5,2013,2
,51,Kibuku  3,5,2013,2
,19,Kibuku  3,4,2013,2
,51,Kibuku  3,4,2014,2
,41,Kibuku  3,4,2013,2
,40,Kibuku  3,5,2013,2
,33,Kibuku  3,3,2015,2
,63,Kibuku  3,5,2013,2
,28,Kibuku  3,3,2015,2
,83,Kibuku  3,5,2013,2
,48,Kibuku  3,4,2013,2
,82,Kibuku  3,3,2015,2
,34,Kibuku  3,3,2015,2
,23,Kibuku  3,4,2014,2
,40,Kibuku  3,4,2013,2
,50,Kibuku  3,5,2013,2
,30,Kibuku  3,4,2013,2
,67,Kibuku  3,3,2015,2
,61,Kibuku  3,5,2013,2
,29,Kibuku  3,3,2015,2
,55,Kibuku  3,4,2013,2
,37,Kibuku  3,5,2013,2
,38,Kibuku  3,5,2013,2
,48,Kibuku  3,3,2015,2
,42,Kibuku  3,4,2013,2
,23,Kibuku  3,4,2013,2
,44,Kibuku  3,4,2013,2
,25,Kibuku  3,5,2013,2
,45,Kibuku  3,4,2013,2
,38,Kibuku  3,5,2013,2
,89,Kibuku  3,5,2013,2
,35,Kibuku  3,4,2013,2
,68,Kibuku  3,4,2013,2
,22,Kibuku  3,4,2013,2
,43,Kibuku  3,5,2013,2
,24,Kibuku  3,5,2013,2
,35,Kibuku  3,4,2013,2
,39,Kibuku  3,5,2013,2
,35,Kibuku  3,3,2015,2
,22,Kibuku  3,5,2013,2
,48,Kibuku  3,4,2013,2
,61,Kibuku  3,4,2013,2
,50,Kibuku  3,5,2013,2
,64,Kibuku  3,3,2015,2
,44,Kibuku  3,4,2013,2
,20,Kibuku  3,5,2013,2
,37,Kibuku  3,3,2015,2
,71,Kibuku  3,4,2013,2
,46,Kibuku  3,4,2013,2
,39,Kibuku  3,4,2013,2
,21,Kibuku  3,4,2013,2
,37,Kibuku  3,4,2013,2
,59,Kibuku  3,5,2013,2
,53,Kibuku  3,3,2015,2
,32,Kibuku  3,4,2013,2
,43,Kibuku  3,5,2013,2
,15,Kibuku  3,5,2013,2
,28,Kibuku  3,4,2013,2
,19,Kibuku  3,3,2015,2
,49,Kibuku  3,4,2013,2
,33,Kibuku  3,4,2013,2
,52,Kibuku  3,5,2013,2
,52,Kibuku  3,5,2013,2
,,Kibuku  3,5,2013,2
,26,Kibuku  3,4,2014,2
,74,Kibuku  3,5,2013,2
,50,Kibuku  3,5,2013,2
,24,Kibuku  3,4,2013,2
,34,Kibuku  3,5,2013,2
,54,Kibuku  3,4,2013,2
,86,Kibuku  3,4,2013,2
,56,Kibuku  3,5,2013,2
,39,Kibuku  3,4,2013,2
,37,Kibuku  3,4,2014,2
,37,Kibuku  3,5,2013,2
,53,Kibuku  3,4,2014,2
,31,Kibuku  3,4,2013,2
,37,Kibuku  3,3,2015,2
,46,Kibuku  3,3,2015,2
,76,Kibuku  3,3,2015,2
,56,Kibuku  3,4,2014,2
,24,Kibuku  3,3,2015,2
,46,Kibuku  3,5,2013,2
,28,Kibuku  3,4,2014,2
,18,Kibuku  3,4,2014,2
,45,Kibuku  3,5,2013,2
,42,Kibuku  3,5,2013,2
,19,Kibuku  3,4,2013,2
,30,Kibuku  3,5,2013,2
,41,Kibuku  3,4,2013,2
,48,Kibuku  3,3,2015,2
,64,Kibuku  3,3,2015,2
,46,Kibuku  3,5,2013,2
,28,Kibuku  3,5,2013,2
,31,Kibuku  3,4,2013,2
,37,Kibuku  3,4,2013,2
,20,Kibuku  3,4,2013,2
,58,Kibuku  3,3,2015,2
,40,Kibuku  3,4,2014,2
,78,Kibuku  3,5,2013,2
,24,Kibuku  3,4,2014,2
,49,Kibuku  3,5,2013,2
,30,Kibuku  3,4,2014,2
,38,Kibuku  3,4,2013,2
,40,Kibuku  3,5,2013,2
,63,Kibuku  3,5,2013,2
,27,Kibuku  3,4,2013,2
,48,Kibuku  3,5,2013,2
,29,Kibuku  3,3,2015,2
,36,Kibuku  3,5,2013,2
,24,Kibuku  3,4,2014,2
,36,Kibuku  3,3,2015,2
,49,Kibuku  3,5,2013,2
,23,Kibuku  3,4,2013,2
,13,Kibuku  3,5,2013,2
,33,Kibuku  3,6,2014,2
,28,Kibuku  3,5,2013,2
,21,Kibuku  3,4,2013,2
,30,Kibuku  3,4,2013,2
,33,Kibuku  3,4,2013,2
,36,Kibuku  3,5,2013,2
,25,Kibuku  3,4,2014,2
,32,Kibuku  3,4,2013,2
,32,Kibuku  3,5,2013,2
,68,Kibuku  3,3,2015,2
,60,Kibuku  3,5,2013,2
,43,Kibuku  3,4,2014,2
,27,Kibuku  3,5,2013,2
,29,Kibuku  3,4,2013,2
,67,Kibuku  3,3,2015,2
,34,Kibuku  3,5,2013,2
,54,Kibuku  3,4,2013,2
,48,Kibuku  3,3,2015,2
,31,Kibuku  3,4,2013,2
,31,Kibuku  3,5,2013,2
,35,Kibuku  3,4,2013,2
,22,Kibuku  3,4,2013,2
,66,Kibuku  3,3,2015,2
,52,Kibuku  3,5,2013,2
,45,Kibuku  3,3,2015,2
,28,Kibuku  3,5,2013,2
,67,Kibuku  3,3,2015,2
,45,Kibuku  3,3,2015,2
,61,Kibuku  3,3,2015,2
,19,Kibuku  3,4,2013,2
,36,Kibuku  3,5,2013,2
,31,Kibuku  3,4,2014,2
,30,Kibuku  3,4,2013,2
,78,Kibuku  3,5,2013,2
,24,Kibuku  3,4,2013,2
,39,Kibuku  3,3,2015,2
,38,Kibuku  3,4,2013,2
,52,Kibuku  3,3,2015,2
,40,Kibuku  3,4,2013,2
,55,Kibuku  3,5,2013,2
,24,Kibuku  3,4,2013,2
,36,Kibuku  3,5,2013,2
,47,Kibuku  3,5,2013,2
,36,Kibuku  3,4,2013,2
,43,Kibuku  3,4,2013,2
,22,Kibuku  3,4,2013,2
,34,Kibuku  3,5,2013,2
,27,Kibuku  3,3,2015,2
,61,Kibuku  3,3,2015,2
,30,Kibuku  3,4,2013,2
,35,Kibuku  3,3,2015,2
,20,Kibuku  3,4,2013,2
,39,Kibuku  3,8,2013,2
,32,Kibuku  3,4,2013,2
,42,Kibuku  3,4,2013,2
,43,Kibuku  3,5,2013,2
,40,Kibuku  3,5,2013,2
,30,Kibuku  3,5,2013,2
,37,Kibuku  3,4,2013,2
,28,Kibuku  3,5,2013,2
,29,Kibuku  3,5,2013,2
,22,Kibuku  3,5,2013,2
,38,Kibuku  3,3,2015,2
,30,Kibuku  3,5,2013,2
,28,Kibuku  3,4,2014,2
,50,Kibuku  3,5,2013,2
,27,Kibuku  3,5,2013,2
,39,Kibuku  3,4,2013,2
,25,Kibuku  3,5,2013,2
,21,Kibuku  3,4,2014,2
,37,Kibuku  3,5,2013,2
,33,Kibuku  3,5,2013,2
,47,Kibuku  3,5,2013,2
,50,Kibuku  3,5,2013,2
,35,Kibuku  3,5,2013,2
,70,Kibuku  3,3,2015,2
,46,Kibuku  3,4,2014,2
,33,Kibuku  3,3,2015,2
,37,Kibuku  3,5,2013,2
,30,Kibuku  3,5,2013,2
,17,Kibuku  3,4,2013,2
,70,Kibuku  3,5,2013,2
,33,Kibuku  3,4,2013,2
,40,Kibuku  3,5,2013,2
,36,Kibuku  3,3,2015,2
,37,Kibuku  3,3,2015,2
,56,Kibuku  3,3,2015,2
,44,Kibuku  3,3,2015,2
,52,Kibuku  3,8,2013,2
,35,Kibuku  3,5,2013,2
,35,Kibuku  3,4,2013,2
,42,Kibuku  3,3,2015,2
,51,Kibuku  3,3,2015,2
,18,Kibuku  3,5,2013,2
,60,Kibuku  3,3,2015,2
,56,Kibuku  3,5,2013,2
,54,Kibuku  3,5,2013,2
,48,Kibuku  3,5,2013,2
,33,Kibuku  3,4,2013,2
,33,Kibuku  3,4,2013,2
,37,Kibuku  3,3,2015,2
,38,Kibuku  3,5,2013,2
,10,Kibuku  3,4,2013,2
,49,Kibuku  3,5,2013,2
,34,Kibuku  3,3,2015,2
,43,Kibuku  3,5,2013,2
,33,Kibuku  3,3,2015,2
,31,Kibuku  3,5,2013,2
,58,Kibuku  3,4,2013,2
,44,Kibuku  3,4,2013,2
,30,Kibuku  3,4,2013,2
,59,Kibuku  3,4,2013,2
,23,Kibuku  3,3,2015,2
,47,Kibuku  3,5,2013,2
,61,Kibuku  3,5,2013,2
,22,Kibuku  3,4,2013,2
,50,Kibuku  3,5,2013,2
,55,Kibuku  3,4,2013,2
,30,Kibuku  3,5,2013,2
,52,Kibuku  3,4,2014,2
,28,Kibuku  3,4,2014,2
,54,Kibuku  3,4,2013,2
,35,Kibuku  3,5,2013,2
,29,Kibuku  3,4,2013,2
,41,Kibuku  3,5,2013,2
,52,Kibuku  3,4,2014,2
,67,Kibuku  3,5,2013,2
,60,Kibuku  3,5,2013,2
,14,Kibuku  3,3,2015,2
,67,Kibuku  3,3,2015,2
,22,Kibuku  3,4,2013,2
,31,Kibuku  3,4,2013,2
,31,Kibuku  3,4,2013,2
,30,Kibuku  3,4,2013,2
,70,Kibuku  3,3,2015,2
,44,Kibuku  3,4,2013,2
,50,Kibuku  3,5,2013,2
,28,Kibuku  3,5,2013,2
,14,Kibuku  3,5,2013,2
,102,Kibuku  3,4,2013,2
,41,Kibuku  3,5,2013,2
,35,Kibuku  3,4,2013,2
,31,Kibuku  3,4,2014,2
,28,Kibuku  3,4,2013,2
,40,Kibuku  3,5,2013,2
,49,Kibuku  3,5,2013,2
,67,Kibuku  3,5,2013,2
,35,Kibuku  3,5,2013,2
,31,Kibuku  3,4,2013,2
,51,Kibuku  3,5,2013,2
,32,Kibuku  3,4,2013,2
,22,Kibuku  3,4,2013,2
,34,Kibuku  3,5,2013,2
,34,Kibuku  3,3,2015,2
,61,Kibuku  3,3,2015,2
,58,Kibuku  3,3,2015,2
,39,Kibuku  3,5,2013,2
,35,Kibuku  3,5,2013,2
,55,Kibuku  3,5,2013,2
,21,Kibuku  3,4,2013,2
,60,Kibuku  3,3,2015,2
,28,Kibuku  3,4,2013,2
,41,Kibuku  3,5,2013,2
,60,Kibuku  3,3,2015,2
,31,Kibuku  3,5,2013,2
,16,Kibuku  3,4,2013,2
,61,Kibuku  3,5,2013,2
,43,Kibuku  3,5,2013,2
,39,Kibuku  3,4,2013,2
,32,Kibuku  3,5,2013,2
,30,Kibuku  3,4,2013,2
,19,Kibuku  3,4,2013,2
