id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,43,Kibuku 3,5,2013,3
,78,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,34,Kibuku 3,5,2013,3
,32,Kibuku 3,5,2013,3
,30,Kibuku 3,5,2013,3
,72,Kibuku 3,5,2013,3
,89,Kibuku 3,5,2013,3
,67,Kibuku 3,5,2013,3
,35,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,15,Kibuku 3,5,2013,3
,35,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,38,Kibuku 3,5,2013,3
,24,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,25,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,39,Kibuku 3,5,2013,3
,70,Kibuku 3,5,2013,3
,37,Kibuku 3,5,2013,3
,89,Kibuku 3,5,2013,3
,83,Kibuku 3,5,2013,3
,70,Kibuku 3,5,2013,3
,52,Kibuku 3,5,2013,3
,34,Kibuku 3,5,2013,3
,51,Kibuku 3,5,2013,3
,28,Kibuku 3,5,2013,3
,51,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,23,Kibuku 3,5,2013,3
,39,Kibuku 3,5,2013,3
,30,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,67,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,42,Kibuku 3,5,2013,3
,55,Kibuku 3,5,2013,3
,78,Kibuku 3,5,2013,3
,60,Kibuku 3,3,2015,3
,28,Kibuku 3,5,2013,3
,45,Kibuku 3,5,2013,3
,27,Kibuku 3,5,2013,3
,31,Kibuku 3,5,2013,3
,62,Kibuku 3,5,2013,3
,42,Kibuku 3,4,2013,3
,23,Kibuku 3,4,2013,3
,20,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,21,Kibuku 3,4,2013,3
,33,Kibuku 3,3,2015,3
,30,Kibuku 3,4,2013,3
,29,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,38,Kibuku 3,4,2013,3
,54,Kibuku 3,4,2013,3
,20,Kibuku 3,4,2013,
,21,Kibuku 3,4,2013,
,,Kibuku 4,4,2013,
,19,Kibuku 3,4,2013,
,37,Kibuku 3,4,2013,
,32,Kibuku 3,4,2013,
,17,Kibuku 3,4,2013,
,19,Kibuku 3,4,2013,
,35,Kibuku 3,4,2013,
,30,Kibuku 3,4,2013,
,30,Kibuku 3,4,2013,
,25,Kibuku 3,4,2013,
,52,Kibuku 3,4,2013,
,33,Kibuku 3,3,2015,
,44,Kibuku 3,4,2013,
,48,Kibuku 3,4,2013,
,22,Kibuku 3,4,2013,
,37,Kibuku 3,4,2013,
,29,Kibuku 3,4,2013,
,39,Kibuku 3,4,2013,
,26,Kibuku 3,4,2013,
,49,Kibuku 3,4,2013,
,155,Kibuku 3,4,2013,
,41,Kibuku 3,4,2013,
,26,Kibuku 3,4,2013,
,22,Kibuku 3,4,2013,
,24,Kibuku 3,4,2013,
,,Kibuku 4,4,2013,
,28,Kibuku 3,4,2013,
,21,Kibuku 3,4,2013,
,56,Kibuku 3,5,2013,
,33,Kibuku 3,4,2013,
,23,Kibuku 3,4,2013,
,21,Kibuku 3,4,2013,
,44,Kibuku 3,4,2013,
,29,Kibuku 3,5,2013,
,61,Kibuku 3,5,2013,
,39,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,29,Kibuku 3,5,2013,
,56,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,22,Kibuku 3,5,2013,
,61,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,36,Kibuku 3,5,2013,
,41,Kibuku 3,5,2013,
,64,Kibuku 3,5,2013,
,80,Kibuku 3,5,2013,
,55,Kibuku 3,5,2013,
,45,Kibuku 3,5,2013,
,55,Kibuku 3,5,2013,
,63,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,36,Kibuku 3,5,2013,
,23,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,74,Kibuku 3,5,2013,
,42,Kibuku 3,5,2013,
,20,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,21,Kibuku 3,5,2013,
,35,Kibuku 3,5,2013,
,41,Kibuku 3,5,2013,
,48,Kibuku 3,5,2013,
,39,Kibuku 3,5,2013,
,37,Kibuku 3,5,2013,
,23,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,44,Kibuku 3,5,2013,
,49,Kibuku 3,5,2013,
,57,Kibuku 3,5,2013,
,61,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,32,Kibuku 3,5,2013,
,42,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,55,Kibuku 3,5,2013,
,38,Kibuku 3,5,2013,
,25,Kibuku 3,5,2013,
,22,Kibuku 3,5,2013,
,42,Kibuku 3,5,2013,
,55,Kibuku 3,5,2013,
,31,Kibuku 3,5,2013,
,43,Kibuku 3,5,2013,
,69,Kibuku 3,5,2013,
,27,Kibuku 3,5,2013,
,35,Kibuku 3,5,2013,
,29,Kibuku 3,5,2013,
,52,Kibuku 3,3,2015,
,23,Kibuku 3,5,2013,
,52,Kibuku 3,5,2013,
,61,Kibuku 3,3,2015,
,40,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,43,Kibuku 3,5,2013,
,46,Kibuku 3,5,2013,
,26,Kibuku 3,5,2013,
,60,Kibuku 3,5,2013,
,41,Kibuku 3,5,2013,
,45,Kibuku 3,5,2013,
,35,Kibuku 4,5,2013,
,63,Kibuku 3,5,2013,
,47,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,81,Kibuku 3,3,2015,
,49,Kibuku 3,5,2013,
,38,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,35,Kibuku 3,5,2013,
,42,Kibuku 3,5,2013,
,67,Kibuku 3,5,2013,
,45,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,37,Kibuku 3,5,2013,
,35,Kibuku 3,5,2013,
,47,Kibuku 3,5,2013,
,49,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
,18,Kibuku 3,5,2013,
,20,Kibuku 3,5,2013,
,40,Kibuku 3,5,2013,
,28,Kibuku 3,5,2013,
,22,Kibuku 3,5,2013,
,48,Kibuku 3,5,2013,
,50,Kibuku 3,5,2013,
,30,Kibuku 3,5,2013,
