id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10020024,1,0,,,,,3,2015,1,BSA
,10020024,1,0,,,,,3,2015,1,BSA
,10020024,1,0,,,,,2,2015,1,BSA
,10020025,0,0,,,,,2,2015,1,BSA
,10020025,1,0,,,,,10,2015,1,BSA
,10020026,1,0,,,,,2,2016,1,BSA
,10020026,1,0,,,,,2,2015,1,BSA
,10020026,1,0,,,,,8,2015,1,BSA
,10020026,1,0,,,,,6,2015,1,BSA
,10020026,1,0,,,,,10,2015,1,BSA
,10020027,1,0,,,,,2,2016,1,BSA
,10020027,1,0,,,,,6,2015,1,BSA
,10020027,1,0,,,,,10,2015,1,BSA
,10020027,1,0,,,,,8,2015,1,BSA
,10020027,0,0,,,,,2,2015,1,BSA
,10020028,1,0,,,,,6,2015,1,BSA
,10020028,1,0,,,,,2,2015,1,BSA
,10020028,1,0,,,,,8,2015,1,BSA
,10020028,1,0,,,,,2,2016,1,BSA
,10020028,1,0,,,,,10,2015,1,BSA
,10030001,1,0,,,,,2,2015,1,BSA
,10030001,1,0,,,,,6,2015,1,BSA
,10030001,1,0,,,,,5,2015,1,BSA
,10030002,1,0,,,,,9,2015,1,BSA
,10030002,1,1,0,1,0,0,7,2015,1,BSA
,10030002,1,0,,,,,2,2015,1,BSA
,10030002,1,0,,,,,6,2015,1,BSA
,10030002,1,0,,,,,12,2014,1,BSA
,10030003,,,,,,,6,2015,1,BSA
,10030004,1,1,0,1,0,0,2,2015,1,BSA
,10030004,1,0,,,,,8,2015,1,BSA
,10030004,1,0,,,,,11,2015,1,BSA
,10030004,1,0,,,,,6,2015,1,BSA
,10030004,1,0,,,,,6,2015,1,BSA
,10030004,1,0,,,,,6,2015,1,BSA
,10030005,1,0,,,,,7,2015,1,BSA
,10030005,1,0,,,,,2,2015,1,BSA
,10030005,1,0,,,,,6,2015,1,BSA
,10030005,1,0,,,,,8,2015,1,BSA
,10030005,,1,1,0,1,1,6,2015,1,BSA
,10030006,1,0,,,,,2,2015,1,BSA
,10030006,1,0,,,,,6,2015,1,BSA
,10030006,1,0,,,,,7,2015,1,BSA
,10030007,1,0,,,,,1,2015,1,BSA
,10030007,1,0,,,,,8,2015,1,BSA
,10030007,1,0,,,,,8,2014,1,BSA
,10030007,1,0,,,,,10,2015,1,BSA
,10030008,1,1,1,1,0,0,12,2014,1,BSA
,10030008,1,0,,,,,3,2016,1,BSA
,10030008,1,0,,,,,2,2014,1,BSA
,10030008,1,0,,,,,6,2015,1,BSA
,10030008,1,1,1,0,1,0,2,2015,1,BSA
,10030008,1,1,0,0,1,0,7,2015,1,BSA
,10030009,1,0,,,,,6,2015,1,BSA
,10030009,1,0,,,,,2,2015,1,BSA
,10030010,1,0,,,,,2,2015,1,BSA
,10030010,1,0,,,,,8,2015,1,BSA
,10030010,1,0,,,,,12,2014,1,BSA
,10030010,1,0,,,,,6,2015,1,BSA
,10030010,1,0,,,,,9,2015,1,BSA
,10030011,1,0,,,,,9,2015,1,BSA
,10030011,1,0,,,,,7,2015,1,BSA
,10030011,1,0,,,,,6,2015,1,BSA
,10030011,1,1,0,1,1,0,2,2015,1,BSA
,10030011,1,0,,,,,3,2015,1,BSA
,10030012,1,0,,,,,2,2015,1,BSA
,10030012,0,1,0,1,1,0,12,2014,1,BSA
,10030012,1,0,,,,,9,2015,1,BSA
,10030012,1,1,0,0,0,0,6,2015,1,BSA
,10030013,1,0,,,,,12,2014,1,BSA
,10030013,1,0,,,,,6,2015,1,BSA
,10030013,1,0,,,,,8,2015,1,BSA
,10030013,1,0,,,,,9,2015,1,BSA
,10030013,1,0,,,,,2,2015,1,BSA
,10030013,,1,0,1,0,0,6,2014,1,BSA
,10030014,1,0,,,,,1,2015,1,BSA
,10030014,1,1,1,0,0,0,12,2014,1,BSA
,10030014,1,0,,,,,8,2015,1,BSA
,10030014,1,0,,,,,6,2015,1,BSA
,10030014,1,0,,,,,11,2015,1,BSA
,10030014,1,0,,,,,1,2014,1,BSA
