id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"","Yes","No",,.s,.s,.s,5,2015,"Malawi","ZMB4"
"","Yes","No",,,,,5,2015,"Malawi","ZMB3"
"","Yes","No",,,,,5,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,5,2015,"Malawi","ZMB4"
"","Yes","No",,,,,5,2015,"Malawi","ZMB3"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","Yes","No","Yes","No","No",6,2015,"Malawi","ZMB4"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,,,,6,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,6,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,7,2015,"Malawi","ZMB4"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
"","Yes","No",,,,,7,2015,"Malawi","ZMB3"
