ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,33,Srk,10,2014,2,14-Aug-14
,61,Mfw,10,2014,2,21-Jan-14
,20,Srk,10,2014,2,14-Aug-14
,53,Mfw,10,2014,2,21-Jan-14
,27,Mbl1,10,2014,2,30-Jul-14
,26,Srk,10,2014,2,14-Aug-14
,37,Mfw,10,2014,2,21-Jan-14
,98,Mfw,10,2014,2,21-Jan-14
,24,Srk,10,2014,2,14-Aug-14
,31,Mfw,10,2014,2,21-Jan-14
,31,Mbl1,10,2014,2,30-Jul-14
,50,Mfw,10,2014,2,21-Jan-14
,45,Mfw,10,2014,2,21-Jan-14
,54,Mbl1,10,2014,2,30-Jul-14
,17,Mbl1,10,2014,2,30-Jul-14
,23,Mbl1,10,2014,2,30-Jul-14
,55,Mfw,10,2014,2,21-Jan-14
,32,Mfw,10,2014,2,21-Jan-14
,39,Mfw,10,2014,2,21-Jan-14
,45,Srk,10,2014,2,14-Aug-14
,43,Mfw,10,2014,2,21-Jan-14
,21,Srk,10,2014,2,14-Aug-14
,49,Mfw,10,2014,2,21-Jan-14
,29,Srk,10,2014,2,14-Aug-14
,33,Mfw,10,2014,2,21-Jan-14
,63,Mbl1,10,2014,2,30-Jul-14
,32,Srk,10,2014,2,14-Aug-14
,34,Mfw,10,2014,2,21-Jan-14
,30,Srk,10,2014,2,14-Aug-14
,33,Mfw,10,2014,2,21-Jan-14
,22,Srk,10,2014,2,14-Aug-14
,31,Mfw,10,2014,2,21-Jan-14
,44,Mfw,10,2014,2,21-Jan-14
,41,Mfw,10,2014,2,21-Jan-14
,97,Mfw,10,2014,2,21-Jan-14
,30,Srk,10,2014,2,14-Aug-14
,23,Srk,10,2014,2,14-Aug-14
,54,Mbl1,10,2014,2,30-Jul-14
,29,Srk,10,2014,2,14-Aug-14
,36,Mfw,10,2014,2,21-Jan-14
,30,Srk,10,2014,2,14-Aug-14
,46,Mfw,10,2014,2,21-Jan-14
,42,Mfw,10,2014,2,21-Jan-14
,45,Srk,10,2014,2,14-Aug-14
