id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,114,Zomba 7,9,2015,3
,61,Zomba 7,9,2015,3
,118,Zomba 7,9,2015,3
,195,Zomba 7,9,2015,3
,350,Zomba 7,9,2015,3
,60,Zomba 7,9,2015,3
,84,Zomba 7,9,2015,3
,98,Zomba 7,9,2015,3
,55,Zomba 7,9,2015,3
,109,Zomba 7,9,2015,3
,320,Zomba 7,9,2015,3
,96,Zomba 7,9,2015,3
,50,Zomba 7,8,2015,3
,131,Zomba 7,9,2015,3
,49,Zomba 7,9,2015,3
,210,Zomba 7,9,2015,3
,38,Zomba 7,9,2015,3
,30,Zomba 7,9,2015,3
,47,Zomba 7,9,2015,3
,80,Zomba 7,9,2015,3
,35,Zomba 7,9,2015,3
,50,Zomba 7,9,2015,3
,200,Zomba 7,9,2015,3
,176,Zomba 7,9,2015,3
,96,Zomba 7,9,2015,3
,36,Zomba 7,9,2015,3
,41,Zomba 7,9,2015,3
,51,Zomba 7,9,2015,3
,180,Zomba 7,9,2015,3
,114,Zomba 7,9,2015,3
,72,Zomba 7,9,2015,3
,86,Zomba 7,9,2015,3
,100,Zomba 7,9,2015,3
,200,Zomba 7,9,2015,3
,34,Zomba 7,9,2015,3
,80,Zomba 7,9,2015,3
,240,Zomba 7,9,2015,3
,49,Zomba 7,9,2015,3
,68,Zomba 7,9,2015,3
,100,Zomba 7,9,2015,3
,98,Zomba 7,9,2015,3
,194,Zomba 7,9,2015,3
,182,Zomba 7,9,2015,3
,110,Zomba 7,9,2015,3
,90,Zomba 7,9,2015,3
,38,Zomba 7,9,2015,3
,60,Zomba 7,9,2015,3
,52,Zomba 7,9,2015,3
,40,Zomba 7,9,2015,3
,70,Zomba 7,9,2015,3
,26,Zomba 7,9,2015,3
,38,Zomba 7,9,2015,3
,80,Zomba 7,9,2015,3
,51,Zomba 7,9,2015,3
,120,Zomba 7,9,2015,3
,25,Zomba 7,9,2015,3
,70,Zomba 7,9,2015,3
,84,Zomba 7,9,2015,3
,180,Zomba 7,9,2015,3
,35,Zomba 7,9,2015,3
,26,Zomba 7,9,2015,3
,652,Zomba 7,9,2015,3
,51,Zomba 7,9,2015,3
,89,Zomba 7,9,2015,3
,68,Zomba 7,9,2015,3
,34,Zomba 7,9,2015,3
,19,Zomba 7,9,2015,3
,120,Zomba 7,9,2015,3
,28,Zomba 7,9,2015,3
,29,Zomba 7,9,2015,3
,70,Zomba 7,9,2015,3
,51,Zomba 7,9,2015,3
,98,Zomba 7,9,2015,3
,78,Zomba 7,9,2015,3
,190,Zomba 7,9,2015,3
,205,Zomba 7,9,2015,3
,41,Zomba 7,9,2015,3
,298,Zomba 7,9,2015,3
,21,Zomba 7,9,2015,3
,235,Zomba 7,9,2015,3
,23,Zomba 7,9,2015,3
,90,Zomba 7,9,2015,3
,150,Zomba 7,9,2015,3
,220,Zomba 7,9,2015,3
,200,Zomba 7,9,2015,3
,120,Zomba 7,9,2015,3
,124,Zomba 7,9,2015,3
,110,Zomba 7,9,2015,3
,89,Zomba 7,9,2015,3
,62,Zomba 7,9,2015,3
,65,Zomba 7,9,2015,3
,537,Zomba 7,9,2015,3
