ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,25,Kibuku 1,5,2013,2
,61,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,58,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,49,Kibuku 3,5,2013,2
,56,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,36,Kibuku 2,5,2013,2
,52,Kibuku 1,5,2013,2
,14,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,48,Kibuku 3,5,2013,2
,45,Kibuku 2,5,2013,2
,49,Kibuku 3,5,2013,2
,40,Kibuku 1,5,2013,2
,50,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,12,Kibuku 3,5,2013,2
,67,Kibuku 3,5,2013,2
,52,Kibuku 3,5,2013,2
,47,Kibuku 3,5,2013,2
,46,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,62,Kibuku 3,5,2013,2
,31,Kibuku 3,5,2013,2
,42,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,28,Kibuku 4,5,2013,2
,51,Kibuku 3,5,2013,2
,47,Kibuku 3,5,2013,2
,38,Kibuku 4,5,2013,2
,,Kibuku 3,5,2013,2
,15,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,27,Kibuku 3,5,2013,2
,31,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,28,Kibuku 4,5,2013,2
,47,Kibuku 3,5,2013,2
,35,Kibuku 4,5,2013,2
,60,Kibuku 3,5,2013,2
,96,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,78,Kibuku 3,5,2013,2
,51,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,78,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
