ID,program,programID,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,One Acre Fund,10161033,18,700,23.33333,0.7714285,3.857143,6,21,01/10/2042,0000-00-00,3,2017,1
,One Acre Fund,10161035,32,759,25.3,1.264822,6.324111,9,35,04/02/2042,0000-00-00,2,2017,1
,One Acre Fund,10161038,34,977,32.56667,1.044012,5.220061,10,38,2042-02-00,0000-00-00,9,2017,1
,One Acre Fund,10161043,32,973,32.43333,0.9866392,4.933196,10,35,07/02/2042,2043-00-00,9,2017,1
,One Acre Fund,10161044,35,974,32.46667,1.078029,5.390143,10,39,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161046,4,389,12.96667,0.3084833,1.542417,2,7,04/02/2042,0000-00-00,2,2016,1
,One Acre Fund,10161049,32,975,32.5,0.9846154,4.923077,10,35,03/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161052,29,975,32.5,0.8923077,4.461538,10,32,03/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161053,38,975,32.5,1.169231,5.846154,11,41,03/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161058,43,977,32.56667,1.320369,6.601843,12,46,2042-02-00,0000-00-00,9,2017,1
,One Acre Fund,10161059,31,875,29.16667,1.062857,5.314286,10,34,03/02/2042,0000-00-00,6,2017,1
,One Acre Fund,10161065,34,977,32.56667,1.044012,5.220061,11,36,2042-02-00,0000-00-00,9,2017,1
,One Acre Fund,10161066,33,899,29.96667,1.101224,5.506118,10,37,01/10/2042,2043-00-00,9,2017,1
,One Acre Fund,10161067,20,916,30.53333,0.6550218,3.275109,6,24,04/08/2042,2043-00-00,9,2017,1
,One Acre Fund,10161069,33,977,32.56667,1.013306,5.06653,10,36,2042-02-00,0000-00-00,9,2017,1
,One Acre Fund,10161070,29,977,32.56667,0.8904811,4.452405,9,32,2042-02-00,0000-00-00,9,2017,1
,One Acre Fund,10161071,23,888,29.6,0.777027,3.885135,9,27,09/10/2042,0000-00-00,9,2017,1
,One Acre Fund,10161074,40,921,30.7,1.302932,6.514658,11,43,09/07/2042,2043-00-00,9,2017,1
,One Acre Fund,10161075,8,175,5.833333,1.371428,6.857142,3,12,0000-00-00,2043-00-00,9,2017,1
,One Acre Fund,10161081,29,832,27.73333,1.045673,5.228365,9,33,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161083,22,831,27.7,0.7942238,3.971119,8,26,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161086,22,767,25.56667,0.8604954,4.302477,9,26,04/08/2042,0000-00-00,4,2017,1
,One Acre Fund,10161091,28,719,23.96667,1.168289,5.841446,8,32,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161094,27,829,27.63333,0.9770808,4.885404,9,31,03/02/2042,0000-00-00,4,2017,1
,One Acre Fund,10161098,32,923,30.76667,1.040087,5.200433,10,36,07/04/2042,0000-00-00,8,2017,1
,One Acre Fund,10161099,20,561,18.7,1.069519,5.347593,6,23,03/02/2042,0000-00-00,8,2016,1
,One Acre Fund,10161100,26,829,27.63333,0.9408926,4.704463,8,30,03/02/2042,0000-00-00,4,2017,1
,One Acre Fund,10161101,28,707,23.56667,1.188119,5.940594,8,31,0000-00-00,0000-00-00,4,2017,1
,One Acre Fund,10161102,31,828,27.6,1.123188,5.615942,9,35,03/02/2042,0000-00-00,4,2017,1
,One Acre Fund,10161105,29,812,27.06667,1.071429,5.357142,9,33,07/04/2042,0000-00-00,5,2017,1
,One Acre Fund,10161106,17,452,15.06667,1.128319,5.641593,7,21,0000-00-00,0000-00-00,8,2016,1
,One Acre Fund,10161108,20,435,14.5,1.37931,6.896552,6,24,0000-00-00,0000-00-00,7,2016,1
,One Acre Fund,10161111,4,113,3.766667,1.061947,5.309734,2,8,0000-00-00,0000-00-00,8,2016,1
,One Acre Fund,10161114,8,180,6,1.333333,6.666667,3,12,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161116,20,814,27.13333,0.7371007,3.685503,6,24,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161121,27,815,27.16667,0.9938651,4.969326,8,31,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161140,12,633,21.1,0.5687203,2.843602,4,13,0000-00-00,0000-00-00,2,2017,1
,One Acre Fund,10161143,13,819,27.3,0.4761905,2.380952,5,17,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161145,4,809,26.96667,0.1483313,0.7416564,2,7,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161147,12,368,12.26667,0.9782609,4.891304,4,16,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161150,26,775,25.83333,1.006452,5.032258,8,30,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161158,8,292,9.733334,0.8219178,4.109589,3,12,0000-00-00,0000-00-00,3,2016,1
,One Acre Fund,10161163,11,380,12.66667,0.868421,4.342105,4,15,0000-00-00,0000-00-00,5,2016,1
,One Acre Fund,10161165,13,837,27.9,0.4659498,2.329749,5,17,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161166,20,837,27.9,0.7168459,3.584229,6,24,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161168,14,644,21.46667,0.6521739,3.26087,5,18,0000-00-00,0000-00-00,3,2017,1
,One Acre Fund,10161170,12,461,15.36667,0.780911,3.904555,4,16,0000-00-00,0000-00-00,8,2016,1
,One Acre Fund,10161171,16,657,21.9,0.7305936,3.652968,5,20,09/12/2042,0000-00-00,2,2017,1
,One Acre Fund,10161176,19,825,27.5,0.6909091,3.454545,6,23,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161178,20,837,27.9,0.7168459,3.584229,6,24,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161183,16,372,12.4,1.290323,6.451613,5,20,03/07/2042,0000-00-00,3,2016,1
,One Acre Fund,10161184,26,824,27.46667,0.9466019,4.73301,8,30,0000-00-00,0000-00-00,9,2017,1
,One Acre Fund,10161192,19,743,24.76667,0.7671602,3.835801,7,23,01/08/2042,0000-00-00,3,2017,1
,One Acre Fund,10161194,25,917,30.56667,0.8178844,4.089422,8,29,04/07/2042,0000-00-00,9,2017,1
,One Acre Fund,10161195,21,923,30.76667,0.6825569,3.412784,7,25,03/07/2042,0000-00-00,9,2017,1
,One Acre Fund,10161199,22,917,30.56667,0.7197382,3.598691,7,25,04/07/2042,0000-00-00,9,2017,1
,One Acre Fund,10161202,17,476,15.86667,1.071429,5.357142,6,21,02/07/2042,0000-00-00,6,2016,1
,One Acre Fund,10161205,6,152,5.066667,1.184211,5.921053,3,10,05/02/2042,0000-00-00,6,2015,1
,One Acre Fund,10161216,36,922,30.73333,1.171367,5.856833,10,39,04/07/2042,0000-00-00,9,2017,1
,One Acre Fund,10161223,25,834,27.8,0.8992806,4.496403,8,28,04/07/2042,0000-00-00,6,2017,1
,One Acre Fund,10161224,26,910,30.33333,0.8571429,4.285714,8,30,01/08/2042,0000-00-00,9,2017,1
,One Acre Fund,10161231,26,910,30.33333,0.8571429,4.285714,8,30,01/08/2042,0000-00-00,9,2017,1
,One Acre Fund,10161240,16,830,27.66667,0.5783133,2.891567,5,19,02/06/2042,0000-00-00,6,2017,1
,One Acre Fund,10161242,20,757,25.23333,0.7926024,3.963012,6,24,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161244,20,817,27.23333,0.7343941,3.671971,6,23,02/06/2042,0000-00-00,5,2017,1
,One Acre Fund,10161249,24,834,27.8,0.8633094,4.316547,7,28,09/05/2042,0000-00-00,6,2017,1
,One Acre Fund,10161271,20,825,27.5,0.7272727,3.636364,6,24,09/05/2042,0000-00-00,5,2017,1
,One Acre Fund,10161272,24,868,28.93333,0.8294931,4.147466,7,28,03/01/2042,0000-00-00,5,2017,1
,One Acre Fund,10161273,19,822,27.4,0.6934307,3.467153,6,22,09/05/2042,0000-00-00,5,2017,1
,One Acre Fund,10161277,12,459,15.3,0.7843137,3.921569,4,16,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161278,8,281,9.366667,0.8540925,4.270463,3,12,0000-00-00,0000-00-00,2,2017,1
,One Acre Fund,10161279,22,979,32.63334,0.6741573,3.370786,7,25,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10161285,20,812,27.06667,0.7389162,3.694581,6,24,06/06/2042,0000-00-00,5,2017,1
,Yala,10161290,28,911,30.36667,0.9220636,4.610318,8,32,09/08/2042,2043-00-00,9,2017,1
,Yala,10161304,16,911,30.36667,0.5268935,2.634468,5,20,09/08/2042,2043-00-00,9,2017,1
,Yala,10161308,28,973,32.43333,0.8633093,4.316546,8,32,06/02/2042,0000-00-00,9,2017,1
,Yala,10161329,24,909,30.3,0.7920792,3.960396,7,28,01/09/2042,2043-00-00,9,2017,1
,Yala,10161331,28,911,30.36667,0.9220636,4.610318,8,32,09/08/2042,2043-00-00,9,2017,1
,Yala,10161340,28,911,30.36667,0.9220636,4.610318,8,32,09/08/2042,2043-00-00,9,2017,1
,Yala,10161346,20,971,32.36666,0.6179197,3.089598,6,23,06/02/2042,0000-00-00,9,2017,1
,Yala,10161355,8,934,31.13333,0.2569593,1.284797,3,10,2042-09-00,04/02/2043,10,2017,1
,Yala,10161356,20,855,28.5,0.7017544,3.508772,6,22,06/02/2042,0000-00-00,5,2017,1
,Yala,10161369,28,905,30.16667,0.9281768,4.640884,8,31,04/09/2042,0000-00-00,9,2017,1
,Yala,10161378,24,971,32.36666,0.7415037,3.707518,7,27,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161381,8,580,19.33333,0.4137931,2.068965,3,12,0000-00-00,0000-00-00,2,2017,1
,One Acre Fund,10161382,7,283,9.433333,0.7420495,3.710247,3,11,0000-00-00,0000-00-00,6,2016,1
,One Acre Fund,10161386,31,945,31.5,0.984127,4.920635,9,35,05/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161390,32,779,25.96667,1.232349,6.161746,9,36,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161396,12,579,19.3,0.6217617,3.108809,4,16,0000-00-00,0000-00-00,1,2017,1
,One Acre Fund,10161397,4,280,9.333333,0.4285714,2.142857,2,8,0000-00-00,0000-00-00,6,2016,1
,One Acre Fund,10161400,14,439,14.63333,0.9567198,4.783599,5,18,0000-00-00,0000-00-00,9,2016,1
,One Acre Fund,10161401,11,345,11.5,0.9565217,4.782609,4,15,0000-00-00,0000-00-00,6,2016,1
,One Acre Fund,10161403,16,677,22.56667,0.7090103,3.545052,5,20,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161408,12,678,22.6,0.5309734,2.654867,4,16,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161410,8,448,14.93333,0.5357143,2.678571,3,12,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161415,1,247,8.233334,0.1214575,0.6072874,2,4,0000-00-00,0000-00-00,3,2016,1
,One Acre Fund,10161424,15,583,19.43333,0.7718697,3.859348,6,19,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161425,12,239,7.966667,1.506276,7.531381,4,16,0000-00-00,0000-00-00,5,2016,1
,One Acre Fund,10161435,3,59,1.966667,1.525424,7.627118,2,7,0000-00-00,0000-00-00,8,2015,1
,One Acre Fund,10161447,27,793,26.43333,1.021438,5.107188,8,31,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161448,4,230,7.666667,0.5217391,2.608696,2,8,0000-00-00,0000-00-00,2,2016,1
,One Acre Fund,10161449,28,950,31.66667,0.8842105,4.421052,8,32,05/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161453,23,797,26.56667,0.8657465,4.328732,7,27,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161458,16,347,11.56667,1.383285,6.916427,5,20,0000-00-00,0000-00-00,6,2016,1
,One Acre Fund,10161464,24,946,31.53333,0.7610994,3.805497,8,28,05/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161468,16,474,15.8,1.012658,5.063291,5,20,05/02/2042,0000-00-00,5,2016,1
,One Acre Fund,10161469,23,838,27.93333,0.8233891,4.116945,7,27,05/02/2042,0000-00-00,5,2017,1
,One Acre Fund,10161473,19,710,23.66667,0.8028169,4.014085,6,22,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161477,25,860,28.66667,0.872093,4.360465,8,29,02/08/2042,0000-00-00,7,2017,1
,One Acre Fund,10161480,28,848,28.26667,0.9905661,4.95283,8,32,05/09/2042,0000-00-00,7,2017,1
,One Acre Fund,10161482,24,761,25.36667,0.9461235,4.730618,7,28,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10161484,12,762,25.4,0.472441,2.362205,4,16,05/09/2042,0000-00-00,5,2017,1
,One Acre Fund,10161487,16,680,22.66667,0.7058824,3.529412,5,20,02/08/2042,0000-00-00,1,2017,1
,One Acre Fund,10161489,14,680,22.66667,0.6176471,3.088235,5,18,02/08/2042,0000-00-00,1,2017,1
,One Acre Fund,10161492,23,781,26.03333,0.8834828,4.417414,7,27,02/08/2042,0000-00-00,5,2017,1
,One Acre Fund,10161493,14,680,22.66667,0.6176471,3.088235,5,18,02/08/2042,0000-00-00,1,2017,1
,One Acre Fund,10161496,20,848,28.26667,0.7075472,3.537736,6,24,05/09/2042,0000-00-00,7,2017,1
,One Acre Fund,10161497,16,775,25.83333,0.6193548,3.096774,5,20,02/08/2042,0000-00-00,5,2017,1
,Yala,10161498,8,927,30.9,0.2588997,1.294498,3,11,04/02/2042,0000-00-00,8,2017,1
,Yala,10161509,8,954,31.8,0.2515723,1.257862,3,11,04/02/2042,0000-00-00,8,2017,1
,Yala,10161510,16,539,17.96667,0.890538,4.45269,5,20,05/04/2042,0000-00-00,8,2016,1
,Yala,10161511,24,966,32.2,0.7453416,3.726708,7,27,04/04/2042,2043-01-00,10,2017,1
,Yala,10161513,20,637,21.23333,0.9419152,4.709576,6,23,04/04/2042,0000-00-00,11,2016,1
,Yala,10161516,24,958,31.93333,0.7515658,3.757829,7,27,05/04/2042,2043-00-03,9,2017,1
,Yala,10161520,8,239,7.966667,1.004184,5.020921,3,11,06/04/2042,0000-00-00,10,2015,1
,One Acre Fund,10161524,3,156,5.2,0.5769231,2.884615,2,7,0000-00-00,0000-00-00,9,2017,1
,One Acre Fund,10161526,10,896,29.86667,0.3348214,1.674107,4,14,06/09/2042,0000-00-00,9,2017,1
,One Acre Fund,10161535,8,925,30.83333,0.2594595,1.297297,3,12,06/09/2042,01/02/2043,10,2017,1
,One Acre Fund,10161543,16,897,29.9,0.5351171,2.675586,5,20,03/07/2042,0000-00-00,8,2017,1
,One Acre Fund,10161544,23,911,30.36667,0.7574095,3.787047,7,27,2042-06-00,0000-00-00,8,2017,1
,One Acre Fund,10161547,16,833,27.76667,0.5762305,2.881153,5,20,08/04/2042,0000-00-00,5,2017,1
,One Acre Fund,10161548,18,961,32.03333,0.5619147,2.809573,6,22,2042-06-00,01/02/2043,10,2017,1
,One Acre Fund,10161551,20,858,28.6,0.6993007,3.496504,6,24,03/02/2042,0000-00-00,5,2017,1
,One Acre Fund,10161568,12,735,24.5,0.4897959,2.44898,4,16,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161578,8,807,26.9,0.2973978,1.486989,3,12,03/07/2042,0000-00-00,5,2017,1
,One Acre Fund,10161585,16,897,29.9,0.5351171,2.675586,5,20,03/07/2042,0000-00-00,8,2017,1
,One Acre Fund,10161596,13,897,29.9,0.4347826,2.173913,5,17,03/07/2042,0000-00-00,8,2017,1
,One Acre Fund,10161606,19,902,30.06667,0.631929,3.159645,6,23,06/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161611,15,722,24.06667,0.6232687,3.116343,5,19,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161613,18,810,27,0.6666667,3.333333,6,22,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161620,16,708,23.6,0.6779661,3.389831,5,20,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161624,16,906,30.2,0.5298013,2.649007,5,20,02/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161627,19,902,30.06667,0.631929,3.159645,6,23,06/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161628,11,580,19.33333,0.5689655,2.844827,4,15,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161642,16,908,30.26667,0.5286344,2.643172,5,20,01/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161643,10,962,32.06667,0.3118503,1.559252,4,14,02/06/2042,04/02/2043,10,2017,1
,One Acre Fund,10161646,9,906,30.2,0.2980132,1.490066,4,13,02/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161649,22,906,30.2,0.7284768,3.642384,7,26,02/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161655,8,599,19.96667,0.4006678,2.003339,3,12,0000-00-00,0000-00-00,4,2017,1
,One Acre Fund,10161659,15,872,29.06667,0.516055,2.580275,5,19,05/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161661,15,868,28.93333,0.5184332,2.592166,5,19,05/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161664,7,738,24.6,0.2845528,1.422764,3,11,06/07/2042,0000-00-00,3,2017,1
,One Acre Fund,10161674,8,769,25.63333,0.3120936,1.560468,3,12,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10161677,15,862,28.73333,0.5220417,2.610209,5,19,01/08/2042,0000-00-00,7,2017,1
,One Acre Fund,10161678,12,789,26.3,0.4562738,2.281369,4,16,05/07/2042,0000-00-00,5,2017,1
,One Acre Fund,10161684,14,868,28.93333,0.483871,2.419355,5,18,06/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161688,23,862,28.73333,0.800464,4.00232,7,27,01/08/2042,0000-00-00,7,2017,1
,One Acre Fund,10161696,11,868,28.93333,0.3801844,1.900922,4,15,05/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161699,14,688,22.93333,0.6104652,3.052326,5,18,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10161702,16,740,24.66667,0.6486487,3.243243,5,20,05/07/2042,0000-00-00,3,2017,1
,One Acre Fund,10161707,16,789,26.3,0.6083651,3.041825,5,20,06/07/2042,0000-00-00,5,2017,1
,One Acre Fund,10161710,4,95,3.166667,1.263158,6.315789,2,8,06/07/2042,0000-00-00,6,2015,1
,One Acre Fund,10161715,22,868,28.93333,0.7603687,3.801844,7,26,06/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161721,24,868,28.93333,0.8294931,4.147466,7,28,06/07/2042,0000-00-00,7,2017,1
,One Acre Fund,10161731,29,1000,33.33333,0.87,4.35,9,33,2042-02-00,2043-02-00,10,2017,1
,One Acre Fund,10161737,38,1003,33.43333,1.13659,5.682951,11,42,07/01/2042,2043-02-00,10,2017,1
,One Acre Fund,10161738,37,1003,33.43333,1.10668,5.5334,11,40,07/01/2042,2043-02-00,10,2017,1
,One Acre Fund,10161739,34,995,33.16667,1.025126,5.125628,10,38,08/01/2042,03/01/2043,10,2017,1
,One Acre Fund,10161740,31,995,33.16667,0.9346733,4.673367,10,33,08/01/2042,03/01/2043,10,2017,1
,One Acre Fund,10161742,35,862,28.73333,1.218097,6.090487,10,38,08/01/2042,0000-00-00,5,2017,1
,One Acre Fund,10161750,25,695,23.16667,1.079137,5.395684,8,28,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161757,34,995,33.16667,1.025126,5.125628,10,38,08/01/2042,03/01/2043,10,2017,1
,One Acre Fund,10161759,35,995,33.16667,1.055276,5.276382,10,39,08/01/2042,03/01/2043,10,2017,1
,One Acre Fund,10161760,38,1002,33.4,1.137725,5.688622,11,41,07/01/2042,09/01/2043,10,2017,1
,One Acre Fund,10161761,31,946,31.53333,0.9830867,4.915433,10,35,05/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161763,24,707,23.56667,1.018388,5.091938,7,28,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10161769,32,947,31.56667,1.013728,5.068638,10,36,04/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161770,33,947,31.56667,1.045406,5.227032,10,37,04/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161771,28,975,32.5,0.8615385,4.307693,8,32,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161775,33,946,31.53333,1.046512,5.232558,10,37,05/02/2042,0000-00-00,8,2017,1
,One Acre Fund,10161779,32,975,32.5,0.9846154,4.923077,10,36,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161780,33,975,32.5,1.015385,5.076923,10,37,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161781,14,358,11.93333,1.173184,5.865922,5,18,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161783,26,834,27.8,0.9352518,4.676259,8,30,04/02/2042,0000-00-00,5,2017,1
,Yala,10161785,24,928,30.93333,0.7758621,3.879311,7,27,02/08/2042,2043-01-00,10,2017,1
,Yala,10161787,28,1009,33.63334,0.8325074,4.162537,8,30,0000-00-00,0000-00-00,9,2017,1
,Yala,10161790,16,927,30.9,0.5177994,2.588997,5,20,04/08/2042,01/01/2043,10,2017,1
,Yala,10161793,29,922,30.73333,0.9436008,4.718004,9,33,07/07/2042,0000-00-00,9,2017,1
,Yala,10161794,24,917,30.56667,0.785169,3.925845,7,28,06/07/2042,0000-00-00,9,2017,1
,Yala,10161800,15,675,22.5,0.6666667,3.333333,5,18,06/07/2042,0000-00-00,1,2017,1
,Yala,10161805,20,928,30.93333,0.6465517,3.232759,6,24,02/08/2042,2043-01-00,10,2017,1
,Yala,10161807,20,584,19.46667,1.027397,5.136986,6,24,06/07/2042,0000-00-00,10,2016,1
,Yala,10161808,4,114,3.8,1.052632,5.263158,2,8,04/09/2042,0000-00-00,7,2015,1
,Yala,10161811,12,923,30.76667,0.3900325,1.950163,4,16,04/09/2042,07/01/2043,10,2017,1
,Yala,10161812,16,506,16.86667,0.9486166,4.743083,5,20,07/07/2042,0000-00-00,8,2016,1
,Yala,10161817,12,296,9.866667,1.216216,6.081081,4,15,2042-08-00,0000-00-00,1,2016,1
,Yala,10161818,28,927,30.9,0.9061489,4.530744,8,32,2042-08-00,2043-00-07,9,2017,1
,Yala,10161819,24,915,30.5,0.7868853,3.934426,7,27,06/07/2042,0000-00-00,9,2017,1
,Yala,10161820,24,920,30.66667,0.7826087,3.913043,7,27,06/07/2042,0000-00-00,9,2017,1
,Yala,10161826,32,927,30.9,1.035599,5.177994,9,36,2042-08-00,2043-00-07,9,2017,1
,Yala,10161829,24,915,30.5,0.7868853,3.934426,7,27,06/07/2042,0000-00-00,9,2017,1
,Yala,10161832,15,919,30.63333,0.4896627,2.448313,5,19,04/09/2042,03/01/2043,10,2017,1
,One Acre Fund,10161881,20,804,26.8,0.7462687,3.731344,6,24,06/06/2042,0000-00-00,5,2017,1
,One Acre Fund,10161886,18,907,30.23333,0.5953693,2.976847,6,22,02/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161894,18,908,30.26667,0.5947137,2.973568,6,22,01/06/2042,0000-00-00,8,2017,1
,One Acre Fund,10161897,17,897,29.9,0.5685619,2.842809,6,21,03/07/2042,0000-00-00,8,2017,1
,One Acre Fund,10161919,23,831,27.7,0.8303249,4.151625,7,27,04/05/2042,0000-00-00,5,2017,1
,One Acre Fund,10161920,26,897,29.9,0.8695652,4.347826,8,30,04/05/2042,0000-00-00,8,2017,1
,One Acre Fund,10161945,8,748,24.93333,0.3208556,1.604278,3,12,03/07/2042,0000-00-00,3,2017,1
,One Acre Fund,10161946,12,807,26.9,0.4460967,2.230483,4,16,03/07/2042,0000-00-00,5,2017,1
,One Acre Fund,10161948,11,806,26.86667,0.4094293,2.047146,4,15,0000-00-00,0000-00-00,8,2017,1
,One Acre Fund,10161952,32,975,32.5,0.9846154,4.923077,10,36,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161953,34,975,32.5,1.046154,5.23077,11,38,04/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161956,30,973,32.43333,0.9249743,4.624871,9,34,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161957,24,973,32.43333,0.7399794,3.699897,8,28,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161958,24,973,32.43333,0.7399794,3.699897,9,28,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161959,34,846,28.2,1.205674,6.028368,10,38,06/02/2042,0000-00-00,5,2017,1
,One Acre Fund,10161963,34,972,32.4,1.049383,5.246913,10,38,07/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161964,31,972,32.4,0.9567901,4.78395,10,32,07/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161966,36,992,33.06667,1.08871,5.443549,10,40,07/02/2042,09/01/2043,10,2017,1
,One Acre Fund,10161970,39,973,32.43333,1.202467,6.012333,11,43,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161972,42,973,32.43333,1.294964,6.47482,12,46,06/02/2042,0000-00-00,9,2017,1
,One Acre Fund,10161978,26,844,28.13333,0.9241706,4.620853,9,30,06/02/2042,0000-00-00,5,2017,1
,One Acre Fund,10161982,27,719,23.96667,1.126565,5.632823,8,31,0000-00-00,0000-00-00,5,2017,1
,One Acre Fund,10162010,31,937,31.23333,0.9925293,4.962646,9,35,01/04/2042,0000-00-00,8,2017,1
,One Acre Fund,10162012,32,799,26.63333,1.201502,6.007509,9,36,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162014,25,730,24.33333,1.027397,5.136986,8,29,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162029,34,799,26.63333,1.276596,6.382978,10,38,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162030,35,799,26.63333,1.314143,6.570714,10,39,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162032,39,799,26.63333,1.46433,7.321652,11,43,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162033,35,799,26.63333,1.314143,6.570714,10,39,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162035,19,806,26.86667,0.707196,3.53598,8,23,0000-00-00,0000-00-00,7,2017,1
,One Acre Fund,10162036,19,711,23.7,0.8016877,4.008439,6,23,0000-00-00,0000-00-00,4,2017,1
,One Acre Fund,10162050,24,868,28.93333,0.8294931,4.147466,7,28,05/11/2042,0000-00-00,9,2017,1
,One Acre Fund,10162051,28,868,28.93333,0.967742,4.83871,8,32,05/11/2042,0000-00-00,9,2017,1
,Yala,10162067,12,956,31.86667,0.376569,1.882845,4,15,04/04/2042,2043-00-00,9,2017,1
,Yala,10162068,4,319,10.63333,0.3761756,1.880878,2,8,0000-00-00,2043-00-00,9,2017,1
,One Acre Fund,10162071,22,967,32.23333,0.6825233,3.412616,7,26,07/01/2042,0000-00-00,9,2017,1
,Yala,10162085,12,542,18.06667,0.6642066,3.321033,4,15,04/04/2042,0000-00-00,8,2016,1
,Yala,10162088,12,542,18.06667,0.6642066,3.321033,4,15,04/04/2042,0000-00-00,8,2016,1
,Yala,10162089,4,639,21.3,0.1877934,0.9389672,2,7,04/04/2042,0000-00-00,11,2016,1
,Vihiga,10162095,8,963,32.1,0.2492212,1.246106,3,11,05/05/2042,08/01/2043,10,2017,1
,One Acre Fund,10162105,24,792,26.4,0.9090909,4.545455,7,28,02/08/2042,0000-00-00,5,2017,1
,One Acre Fund,10162106,34,917,30.56667,1.112323,5.561614,10,38,02/08/2042,0000-00-00,9,2017,1
,One Acre Fund,10162115,12,251,8.366667,1.434263,7.171314,4,16,09/08/2042,0000-00-00,12,2015,1
