ID,program,programID,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Bungoma,10112501,4,966,32.2,0.1242236,0.621118,2,7,02/03/2042,0000-00-00,9,2017,1
,Bungoma,10112504,4,904,30.13333,0.1327434,0.6637168,2,7,04/09/2042,0000-00-00,9,2017,1
,Siaya,10120001,3,133,4.433333,0.6766917,3.383459,2,6,0000-00-00,0000-00-00,8,2016,1
,Siaya,10120003,10,1077,35.9,0.2785515,1.392758,4,13,0000-00-00,0000-00-00,6,2017,1
,Migori,10120006,17,798,26.6,0.6390978,3.195489,7,20,0000-00-00,0000-00-00,8,2016,1
,Migori,10120010,4,83,2.766667,1.445783,7.228916,2,7,01/03/2042,04/11/2042,4,2015,1
,Siaya,10120012,24,881,29.36667,0.8172531,4.086266,8,27,03/05/2042,0000-00-00,7,2017,1
,Siaya,10120013,17,881,29.36667,0.5788876,2.894438,6,20,03/05/2042,0000-00-00,7,2017,1
,Kakamega,10120014,12,794,26.46667,0.4534005,2.267003,4,15,08/03/2042,0000-00-00,4,2017,1
,Siaya,10120017,12,688,22.93333,0.5232558,2.616279,4,15,0000-00-00,0000-00-00,9,2017,1
,Siaya,10120018,12,351,11.7,1.025641,5.128205,4,16,0000-00-00,0000-00-00,9,2017,1
,Siaya,10120019,25,952,31.73333,0.7878151,3.939075,8,28,03/03/2042,0000-00-00,9,2017,1
,Siaya,10120022,17,974,32.46667,0.5236139,2.61807,6,21,05/04/2042,09/01/2043,10,2017,1
,Siaya,10120023,12,658,21.93333,0.5471125,2.735562,4,16,04/02/2042,0000-00-00,11,2016,1
,Siaya,10120027,15,685,22.83333,0.6569343,3.284671,5,19,0000-00-00,0000-00-00,9,2017,1
,Siaya,10120028,10,861,28.7,0.348432,1.74216,5,13,0000-00-00,09/05/2043,11,2017,1
,Siaya,10120031,18,1008,33.6,0.5357143,2.678572,7,22,02/05/2042,2043-06-00,11,2017,1
,Siaya,10120033,11,811,27.03333,0.4069051,2.034525,5,15,02/05/2042,0000-00-00,5,2017,1
,Siaya,10120034,18,1008,33.6,0.5357143,2.678572,8,21,08/04/2042,06/05/2043,11,2017,1
,Siaya,10120035,16,1035,34.5,0.4637681,2.318841,7,19,09/01/2042,04/05/2043,11,2017,1
,Siaya,10120037,8,198,6.6,1.212121,6.060606,3,9,0000-00-00,0000-00-00,7,2017,1
,Siaya,10120038,23,777,25.9,0.8880309,4.440155,7,27,07/08/2042,0000-00-00,5,2017,1
