ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,27,Mbl1,10,2014,2
,33,Mbl1,10,2014,2
,28,Srk,10,2014,2
,29,Srk,10,2014,2
,46,Mfw,10,2014,2
,114,Mfw,10,2014,2
,33,Mfw,10,2014,2
,24,Srk,10,2014,2
,25,Srk,10,2014,2
,45,Srk,10,2014,2
,66,Mfw,10,2014,2
,30,Mbl1,10,2014,2
,34,Srk,10,2014,2
,31,Srk,10,2014,2
,32,Srk,10,2014,2
,41,Mbl1,10,2014,2
,38,Mfw,10,2014,2
,49,Mfw,10,2014,2
,36,Mfw,10,2014,2
,51,Mfw,10,2014,2
,38,Mfw,10,2014,2
,57,Mfw,10,2014,2
,16,Srk,10,2014,2
,36,Srk,10,2014,2
,54,Mfw,10,2014,2
,72,Mfw,10,2014,2
,23,Srk,10,2014,2
,88,Mfw,10,2014,2
,49,Mbl1,10,2014,2
,31,Mfw,10,2014,2
,29,Mfw,10,2014,2
,26,Mfw,10,2014,2
,28,Mfw,10,2014,2
,53,Mfw,10,2014,2
,999,Mfw,10,2014,2
,32,Srk,10,2014,2
,71,Mfw,10,2014,2
,36,Srk,10,2014,2
,39,Srk,10,2014,2
,16,Srk,10,2014,2
,33,Mfw,10,2014,2
,113,Mfw,10,2014,2
,70,Mfw,10,2014,2
,44,Mfw,10,2014,2
,30,Mbl1,10,2014,2
,27,Srk,10,2014,2
,24,Srk,10,2014,2
,47,Mfw,10,2014,2
,50,Mfw,10,2014,2
,43,Mbl1,10,2014,2
,32,Srk,10,2014,2
,32,Mbl1,10,2014,2
,66,Srk,10,2014,2
,27,Srk,10,2014,2
,60,Mfw,10,2014,2
,25,Mbl1,10,2014,2
,21,Mbl1,10,2014,2
,60,Mbl1,10,2014,2
,25,Srk,10,2014,2
,64,Mfw,10,2014,2
,41,Mfw,10,2014,2
,74,Mfw,10,2014,2
,27,Mbl1,10,2014,2
,35,Mbl1,10,2014,2
,49,Mfw,10,2014,2
,67,Mfw,10,2014,2
,35,Mfw,10,2014,2
,45,Mbl1,10,2014,2
,43,Mfw,10,2014,2
,71,Mfw,10,2014,2
,27,Srk,10,2014,2
,37,Srk,10,2014,2
,45,Mfw,10,2014,2
,34,Mbl1,10,2014,2
,30,Srk,10,2014,2
,39,Mfw,10,2014,2
,47,Mfw,10,2014,2
,28,Srk,10,2014,2
,27,Srk,10,2014,2
,30,Srk,10,2014,2
,76,Mbl1,10,2014,2
,23,Srk,10,2014,2
,21,Srk,10,2014,2
,34,Mfw,10,2014,2
,60,Mfw,10,2014,2
,31,Mbl1,10,2014,2
,48,Srk,10,2014,2
,32,Srk,10,2014,2
,29,Srk,10,2014,2
,35,Srk,10,2014,2
,31,Srk,10,2014,2
,38,Mbl1,10,2014,2
,48,Mfw,10,2014,2
,33,Srk,10,2014,2
,31,Srk,10,2014,2
,55,Mfw,10,2014,2
,31,Mfw,10,2014,2
,34,Mfw,10,2014,2
,29,Mfw,10,2014,2
,34,Mfw,10,2014,2
,44,Srk,10,2014,2
,39,Srk,10,2014,2
,31,Srk,10,2014,2
,23,Mfw,10,2014,2
,36,Srk,10,2014,2
,31,Mbl1,10,2014,2
,36,Mbl1,10,2014,2
,22,Srk,10,2014,2
,48,Mbl1,10,2014,2
,74,Mfw,10,2014,2
,36,Mfw,10,2014,2
,34,Mbl1,10,2014,2
,41,Mbl1,10,2014,2
,48,Mfw,10,2014,2
,49,Mfw,10,2014,2
,24,Srk,10,2014,2
,54,Mfw,10,2014,2
,85,Mfw,10,2014,2
,55,Mfw,10,2014,2
,70,Mfw,10,2014,2
,31,Mfw,10,2014,2
,75,Mbl1,10,2014,2
,35,Mbl1,10,2014,2
,24,Mbl1,10,2014,2
,30,Mbl1,10,2014,2
,29,Srk,10,2014,2
,56,Mfw,10,2014,2
,53,Mfw,10,2014,2
,32,Mfw,10,2014,2
