id,cem102_wpt_id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,10160953,Once Acre Fund,20,1,5,2013,13may2013
,10160946,Once Acre Fund,19,1,5,2013,13may2013
,10161033,Once Acre Fund,19,1,5,2013,13may2013
,10161435,Once Acre Fund,16,1,5,2013,13may2013
,10181589,Once Acre Fund,28,1,5,2013,13may2013
,10161069,Once Acre Fund,17,1,5,2013,13may2013
,10162693,Once Acre Fund,30,1,5,2013,13may2013
,10161485,Once Acre Fund,18,1,5,2013,13may2013
,10161058,Once Acre Fund,22,1,5,2013,13may2013
,10181261,Once Acre Fund,23,1,5,2013,13may2013
,10161071,Once Acre Fund,233,1,5,2013,13may2013
,10166028,Once Acre Fund,18,1,5,2013,13may2013
,10160962,Once Acre Fund,22,1,5,2013,13may2013
,10181685,Once Acre Fund,21,1,5,2013,13may2013
,10160957,Once Acre Fund,21,1,5,2013,13may2013
,10161070,Once Acre Fund,20,1,5,2013,13may2013
,10161032,Once Acre Fund,17,1,5,2013,13may2013
,10181312,Once Acre Fund,22,1,5,2013,13may2013
,10181664,Once Acre Fund,29,1,5,2013,13may2013
,10181728,Once Acre Fund,22,1,5,2013,13may2013
,10160911,Once Acre Fund,17,1,5,2013,13may2013
,10162892,Once Acre Fund,27,1,5,2013,14may2013
,10161030,Once Acre Fund,22,1,5,2013,14may2013
,10161484,Once Acre Fund,28,1,5,2013,14may2013
,10181737,Once Acre Fund,21,1,5,2013,14may2013
,10181562,Once Acre Fund,23,1,5,2013,14may2013
,10160872,Once Acre Fund,15,1,5,2013,14may2013
,10161356,Once Acre Fund,23,1,5,2013,14may2013
,10160057,Once Acre Fund,21,1,5,2013,14may2013
,10181718,Once Acre Fund,21,1,5,2013,14may2013
,10181651,Once Acre Fund,27,1,5,2013,14may2013
,10181557,Once Acre Fund,32,1,5,2013,14may2013
,10166031,Once Acre Fund,19,1,5,2013,14may2013
,10160945,Once Acre Fund,24,1,5,2013,14may2013
,10166187,Once Acre Fund,21,1,5,2013,13may2013
,10181277,Once Acre Fund,28,1,5,2013,14may2013
,10160888,Once Acre Fund,16,1,5,2013,14may2013
,10161886,Once Acre Fund,31,1,5,2013,14may2013
,10160942,Once Acre Fund,32,1,5,2013,14may2013
,10162330,Once Acre Fund,15,1,5,2013,14may2013
,10181504,Once Acre Fund,30,1,5,2013,14may2013
,10160974,Once Acre Fund,12,1,5,2013,14may2013
,10181505,Once Acre Fund,27,1,5,2013,14may2013
,10160981,Once Acre Fund,11,1,5,2013,14may2013
,10161620,Once Acre Fund,23,1,5,2013,14may2013
,10163271,Once Acre Fund,20,1,5,2013,14may2013
,10181588,Once Acre Fund,19,1,5,2013,14may2013
,10161493,Once Acre Fund,32,1,5,2013,14may2013
,10161413,Once Acre Fund,19,1,5,2013,14may2013
,10161610,Once Acre Fund,39,1,5,2013,14may2013
,10181278,Once Acre Fund,30,1,5,2013,14may2013
,10161075,Once Acre Fund,39,1,5,2013,14may2013
,10160002,Once Acre Fund,18,1,5,2013,14may2013
,10161489,Once Acre Fund,33,1,5,2013,14may2013
,10161051,Once Acre Fund,22,1,5,2013,14may2013
,10181458,Once Acre Fund,26,1,5,2013,14may2013
,10162889,Once Acre Fund,26,1,5,2013,14may2013
,10162717,Once Acre Fund,15,1,5,2013,15may2013
,10181514,Once Acre Fund,22,1,5,2013,15may2013
,10162653,Once Acre Fund,20,1,5,2013,15may2013
,10160855,Once Acre Fund,18,1,5,2013,15may2013
,10162148,Once Acre Fund,25,1,5,2013,15may2013
,10181288,Once Acre Fund,15,1,5,2013,15may2013
,10166305,Once Acre Fund,21,1,5,2013,15may2013
,10161400,Once Acre Fund,22,1,5,2013,15may2013
,10181662,Once Acre Fund,26,1,5,2013,15may2013
,10181269,Once Acre Fund,21,1,5,2013,15may2013
,10160875,Once Acre Fund,21,1,5,2013,15may2013
,10161477,Once Acre Fund,22,1,5,2013,15may2013
,10160965,Once Acre Fund,24,1,5,2013,15may2013
,10160728,Once Acre Fund,25,1,5,2013,15may2013
,10162393,Once Acre Fund,21,1,5,2013,15may2013
,10181275,Once Acre Fund,18,1,5,2013,15may2013
,10181725,Once Acre Fund,17,1,5,2013,15may2013
,10160730,Once Acre Fund,20,1,5,2013,15may2013
,10162335,Once Acre Fund,19,1,5,2013,15may2013
,10160917,Once Acre Fund,16,1,5,2013,15may2013
,10162333,Once Acre Fund,16,1,5,2013,15may2013
,10160729,Once Acre Fund,24,1,5,2013,15may2013
,10181239,Once Acre Fund,21,1,5,2013,15may2013
,10162370,Once Acre Fund,31,1,5,2013,15may2013
,10160970,Once Acre Fund,20,1,5,2013,15may2013
,10160726,Once Acre Fund,19,1,5,2013,15may2013
,10161397,Once Acre Fund,22,1,5,2013,15may2013
,10160915,Once Acre Fund,20,1,5,2013,15may2013
,10162398,Once Acre Fund,39,1,5,2013,16may2013
,10166189,Once Acre Fund,22,1,5,2013,16may2013
,10161044,Once Acre Fund,19,1,5,2013,16may2013
,10181716,Once Acre Fund,17,1,5,2013,16may2013
,10181380,Once Acre Fund,19,1,5,2013,16may2013
,10181110,Once Acre Fund,21,1,5,2013,16may2013
,10163288,Once Acre Fund,27,1,5,2013,16may2013
,10160731,Once Acre Fund,20,1,5,2013,16may2013
,10161114,Once Acre Fund,33,1,5,2013,16may2013
,10162350,Once Acre Fund,16,1,5,2013,16may2013
,10160709,Once Acre Fund,27,1,5,2013,16may2013
,10162654,Once Acre Fund,18,1,5,2013,16may2013
,10181587,Once Acre Fund,19,1,5,2013,16may2013
,10181687,Once Acre Fund,22,1,5,2013,16may2013
,10181349,Once Acre Fund,18,1,5,2013,16may2013
,10181682,Once Acre Fund,19,1,5,2013,16may2013
,10162369,Once Acre Fund,15,1,5,2013,16may2013
,10181565,Once Acre Fund,29,1,5,2013,16may2013
,10161046,Once Acre Fund,19,1,5,2013,16may2013
,10161414,Once Acre Fund,30,1,5,2013,16may2013
,10161043,Once Acre Fund,20,1,5,2013,16may2013
,10161721,Once Acre Fund,14,1,5,2013,16may2013
,10162364,Once Acre Fund,27,1,5,2013,16may2013
,10162716,Once Acre Fund,37,1,5,2013,16may2013
,10161403,Once Acre Fund,21,1,5,2013,17may2013
,10181394,Once Acre Fund,44,1,5,2013,17may2013
,10161154,Once Acre Fund,16,1,5,2013,17may2013
,10160973,Once Acre Fund,10,1,5,2013,17may2013
,10181704,Once Acre Fund,26,1,5,2013,17may2013
,10181600,Once Acre Fund,21,1,5,2013,17may2013
,10161445,Once Acre Fund,31,1,5,2013,17may2013
,10181291,Once Acre Fund,16,1,5,2013,17may2013
,10160961,Once Acre Fund,22,1,5,2013,17may2013
,10162334,Once Acre Fund,28,1,5,2013,17may2013
,10161396,Once Acre Fund,17,1,5,2013,17may2013
,10162372,Once Acre Fund,19,1,5,2013,17may2013
,10161382,Once Acre Fund,27,1,5,2013,17may2013
,10162360,Once Acre Fund,21,1,5,2013,17may2013
,10181681,Once Acre Fund,20,1,5,2013,22may2013
,10162670,Once Acre Fund,23,1,5,2013,25may2013
,10161464,Once Acre Fund,26,1,5,2013,26may2013
,10161469,Once Acre Fund,19,1,5,2013,26may2013
,10161471,Once Acre Fund,26,1,5,2013,27may2013
,10162820,Once Acre Fund,37,1,5,2013,27may2013
,10181425,Once Acre Fund,44,1,5,2013,27may2013
,10161453,Once Acre Fund,27,1,5,2013,27may2013
,10161458,Once Acre Fund,21,1,5,2013,27may2013
,10161447,Once Acre Fund,24,1,5,2013,27may2013
,10161101,Once Acre Fund,17,1,5,2013,27may2013
,10161468,Once Acre Fund,26,1,5,2013,27may2013
,10161199,Once Acre Fund,30,1,5,2013,27may2013
,10161184,Once Acre Fund,24,1,5,2013,27may2013
,10181453,Once Acre Fund,20,1,5,2013,27may2013
,10181352,Once Acre Fund,17,1,5,2013,27may2013
,10161452,Once Acre Fund,31,1,5,2013,27may2013
,10161449,Once Acre Fund,25,1,5,2013,27may2013
,10160473,Once Acre Fund,16,1,5,2013,27may2013
,10181593,Once Acre Fund,27,1,5,2013,27may2013
,10181669,Once Acre Fund,18,1,5,2013,27may2013
,10161193,Once Acre Fund,17,1,5,2013,27may2013
,10181722,Once Acre Fund,20,1,5,2013,27may2013
,10161448,Once Acre Fund,28,1,5,2013,27may2013
,10160474,Once Acre Fund,27,1,5,2013,27may2013
,10163148,Once Acre Fund,20,1,5,2013,27may2013
,10181454,Once Acre Fund,19,1,5,2013,27may2013
,10161224,Once Acre Fund,19,1,5,2013,27may2013
,10161108,Once Acre Fund,11,1,5,2013,28may2013
,10161105,Once Acre Fund,34,1,5,2013,28may2013
,10181629,Once Acre Fund,21,1,5,2013,28may2013
,10181311,Once Acre Fund,18,1,5,2013,28may2013
,10162067,Once Acre Fund,22,1,5,2013,28may2013
,10181325,Once Acre Fund,18,1,5,2013,28may2013
,10161509,Once Acre Fund,26,1,5,2013,28may2013
,10162662,Once Acre Fund,21,1,5,2013,28may2013
,10161111,Once Acre Fund,18,1,5,2013,28may2013
,10162829,Once Acre Fund,25,1,5,2013,28may2013
,10181630,Once Acre Fund,25,1,5,2013,28may2013
,10161106,Once Acre Fund,22,1,5,2013,28may2013
,10162074,Once Acre Fund,27,1,5,2013,28may2013
,10162832,Once Acre Fund,30,1,5,2013,28may2013
,10162661,Once Acre Fund,21,1,5,2013,28may2013
,10162823,Once Acre Fund,30,1,5,2013,28may2013
,10162822,Once Acre Fund,26,1,5,2013,28may2013
,10161498,Once Acre Fund,20,1,5,2013,28may2013
,10181519,Once Acre Fund,27,1,5,2013,28may2013
,10162071,Once Acre Fund,20,1,5,2013,28may2013
,10181330,Once Acre Fund,23,1,5,2013,28may2013
,10162068,Once Acre Fund,29,1,5,2013,28may2013
,10181584,Once Acre Fund,23,1,5,2013,28may2013
,10161102,Once Acre Fund,21,1,5,2013,28may2013
,10162535,Once Acre Fund,28,1,5,2013,28may2013
,10161098,Once Acre Fund,20,1,5,2013,28may2013
,10161510,Once Acre Fund,26,1,5,2013,29may2013
,10181310,Once Acre Fund,21,1,5,2013,29may2013
,10161202,Once Acre Fund,19,1,5,2013,29may2013
,10162552,Once Acre Fund,10,1,5,2013,29may2013
,10181567,Once Acre Fund,30,1,5,2013,29may2013
,10160777,Once Acre Fund,37,1,5,2013,29may2013
,10162088,Once Acre Fund,17,1,5,2013,29may2013
,10160738,Once Acre Fund,31,1,5,2013,29may2013
,10161205,Once Acre Fund,19,1,5,2013,29may2013
,10181406,Once Acre Fund,22,1,5,2013,29may2013
,10181534,Once Acre Fund,18,1,5,2013,29may2013
,10181554,Once Acre Fund,22,1,5,2013,29may2013
,10181407,Once Acre Fund,20,1,5,2013,29may2013
,10182010,Once Acre Fund,23,1,5,2013,29may2013
,10181408,Once Acre Fund,15,1,5,2013,29may2013
,10163590,Once Acre Fund,23,1,5,2013,29may2013
,10161218,Once Acre Fund,20,1,5,2013,29may2013
,10181490,Once Acre Fund,34,1,5,2013,29may2013
,10162862,Once Acre Fund,15,1,5,2013,29may2013
,10181241,Once Acre Fund,23,1,5,2013,29may2013
,10161081,Once Acre Fund,19,1,5,2013,29may2013
,10160772,Once Acre Fund,20,1,5,2013,29may2013
,10181605,Once Acre Fund,18,1,5,2013,29may2013
,10181224,Once Acre Fund,30,1,5,2013,29may2013
,10162845,Once Acre Fund,18,1,5,2013,30may2013
,10161100,Once Acre Fund,29,1,5,2013,30may2013
,10162830,Once Acre Fund,28,1,5,2013,30may2013
,10162849,Once Acre Fund,28,1,5,2013,30may2013
,10181334,Once Acre Fund,22,1,5,2013,30may2013
,10181711,Once Acre Fund,16,1,5,2013,30may2013
,10166176,Once Acre Fund,15,1,5,2013,30may2013
,10181306,Once Acre Fund,22,1,5,2013,30may2013
,10161190,Once Acre Fund,28,1,5,2013,30may2013
