id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year
,UJA,19,1,12,2012
,UJA,21,1,2,2013
,UJA,29,1,1,2013
,UJA,19,1,2,2013
,UJA,17,1,1,2013
,UJA,28,1,1,2013
,UJA,12,1,1,2013
,UJA,28,1,1,2013
,UJA,37,1,1,2013
,UJA,47,1,1,2013
,UJA,15,1,1,2013
,UJA,23,1,1,2013
,UJA,40,1,12,2012
,UJA,35,1,12,2012
,UJA,30,1,12,2012
,UJA,33,1,12,2012
,UJA,16,1,12,2012
,UJA,56,1,12,2012
,UJA,11,1,12,2012
,UJA,30,1,12,2012
,UJA,13,1,12,2012
,UJA,22,1,12,2012
,UJA,40,1,12,2012
,UJA,16,1,12,2012
,UJA,38,1,12,2012
,UJA,38,1,12,2012
,UJA,81,1,12,2012
,UJA,14,1,12,2012
,UJA,22,1,12,2012
,UJA,25,1,12,2012
,UJA,24,1,12,2012
,UJA,15,1,12,2012
,UJA,15,1,12,2012
,UJA,19,1,12,2012
,UJA,22,1,12,2012
,UJA,14,1,1,2013
,UJA,16,1,1,2013
,UJA,25,1,1,2013
,UJA,33,1,1,2013
,UJA,27,1,1,2013
,UJA,23,1,1,2013
,UJA,12,1,1,2013
,UJA,28,1,1,2013
,UJA,17,1,1,2013
,UJA,20,1,1,2013
,UJA,22,1,1,2013
,UJA,13,1,1,2013
,UJA,13,1,1,2013
,UJA,13,1,1,2013
,UJA,23,1,1,2013
,UJA,19,1,1,2013
,UJA,12,1,1,2013
,UJA,17,1,1,2013
,UJA,14,1,1,2013
,UJA,14,1,1,2013
,UJA,16,1,1,2013
,UJA,27,1,1,2013
,UJA,36,1,12,2012
,UJA,25,1,12,2012
,UJA,15,1,12,2012
,UJA,18,1,12,2012
,UJA,12,1,12,2012
,UJA,23,1,12,2012
,UJA,21,1,12,2012
,UJA,13,1,12,2012
,UJA,25,1,12,2012
,UJA,11,1,12,2012
,UJA,13,1,12,2012
,UJA,11,1,12,2012
,UJA,11,1,12,2012
,UJA,14,1,12,2012
,UJA,17,1,12,2012
,UJA,20,1,12,2012
,UJA,54,1,12,2012
,UJA,14,1,12,2012
,UJA,25,1,1,2013
,UJA,14,1,12,2012
,UJA,17,1,12,2012
,UJA,18,1,12,2012
,UJA,20,1,12,2012
,UJA,15,1,12,2012
,UJA,13,1,1,2013
,UJA,13,1,12,2012
,UJA,10,1,12,2012
,UJA,22,1,12,2012
,UJA,32,1,12,2012
,UJA,13,1,12,2012
,UJA,14,1,1,2013
,UJA,18,1,12,2012
,UJA,28,1,12,2012
,UJA,11,1,12,2012
,UJA,19,1,12,2012
,UJA,10,1,12,2012
,UJA,26,1,12,2012
,UJA,17,1,12,2012
,UJA,29,1,12,2012
,UJA,13,1,12,2012
,UJA,18,1,12,2012
,UJA,12,1,1,2013
,UJA,27,1,12,2012
,UJA,33,1,12,2012
,UJA,23,1,12,2012
,UJA,46,1,11,2012
,UJA,23,1,11,2012
,UJA,31,1,11,2012
,UJA,31,1,12,2012
,UJA,22,1,12,2012
,UJA,38,1,11,2012
,UJA,22,1,11,2012
,UJA,19,1,11,2012
,UJA,42,1,11,2012
,UJA,22,1,11,2012
,UJA,42,1,11,2012
,UJA,31,1,11,2012
,UJA,30,1,12,2012
,UJA,49,1,12,2012
,UJA,26,1,1,2013
,UJA,31,1,1,2013
,UJA,25,1,1,2013
,UJA,32,1,1,2013
,UJA,24,1,1,2013
,UJA,20,1,1,2013
,UJA,16,1,1,2013
,UJA,24,1,1,2013
,UJA,20,1,1,2013
,UJA,13,1,1,2013
,UJA,40,1,1,2013
,UJA,13,1,1,2013
,UJA,63,1,12,2012
,UJA,24,1,12,2012
,UJA,14,1,12,2012
,UJA,25,1,12,2012
,UJA,22,1,12,2012
,UJA,51,1,12,2012
,UJA,12,1,12,2012
,UJA,15,1,12,2012
,UJA,13,1,12,2012
,UJA,21,1,12,2012
,UJA,34,1,12,2012
,UJA,25,1,12,2012
,UJA,16,1,12,2012
,UJA,14,1,12,2012
,UJA,57,1,12,2012
,UJA,34,1,12,2012
,UJA,29,1,12,2012
,UJA,26,1,12,2012
,UJA,22,1,12,2012
,UJA,23,1,12,2012
,UJA,19,1,12,2012
,UJA,20,1,12,2012
,UJA,16,1,12,2012
,UJA,16,1,12,2012
,UJA,28,1,12,2012
,UJA,15,1,12,2012
,UJA,24,1,12,2012
,UJA,27,1,12,2012
,UJA,24,1,12,2012
,UJA,3,1,12,2012
,UJA,22,1,12,2012
,UJA,39,1,12,2012
,UJA,39,1,1,2013
,UJA,45,1,1,2013
,UJA,19,1,1,2013
,UJA,17,1,1,2013
,UJA,18,1,1,2013
,UJA,29,1,1,2013
,UJA,14,1,1,2013
,UJA,18,1,1,2013
,UJA,25,1,1,2013
,UJA,25,1,1,2013
,UJA,17,1,1,2013
,UJA,11,1,1,2013
,UJA,21,1,1,2013
,UJA,18,1,1,2013
,UJA,15,1,12,2012
,UJA,25,1,12,2012
,UJA,26,1,12,2012
,UJA,38,1,12,2012
,UJA,61,1,12,2012
,UJA,17,1,12,2012
,UJA,15,1,12,2012
,UJA,15,1,12,2012
,UJA,28,1,12,2012
,UJA,18,1,12,2012
,UJA,39,1,12,2012
,UJA,43,1,12,2012
,UJA,19,1,12,2012
,UJA,41,1,12,2012
,UJA,24,1,12,2012
,UJA,26,1,12,2012
,UJA,18,1,12,2012
,UJA,60,1,12,2012
,UJA,47,1,12,2012
,UJA,26,1,12,2012
,UJA,25,1,12,2012
,UJA,24,1,12,2012
,UJA,17,1,12,2012
,UJA,11,1,1,2013
,UJA,15,1,11,2012
,UJA,19,1,12,2012
,UJA,49,1,11,2012
,UJA,38,1,11,2012
,UJA,17,1,11,2012
,UJA,36,1,11,2012
,UJA,27,1,11,2012
,UJA,85,1,11,2012
,UJA,16,1,1,2013
,UJA,27,1,11,2012
,UJA,24,1,11,2012
,UJA,20,1,11,2012
,UJA,18,1,12,2012
,UJA,26,1,12,2012
,UJA,11,1,12,2012
,UJA,16,1,11,2012
,UJA,45,1,1,2013
,UJA,14,1,1,2013
,UJA,24,1,2,2013
,UJA,35,1,1,2013
,UJA,21,1,1,2013
,UJA,28,1,1,2013
,UJA,20,1,12,2012
,UJA,15,1,1,2013
,UJA,20,1,1,2013
,UJA,11,1,1,2013
,UJA,13,1,1,2013
,UJA,19,1,12,2012
