id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,24,SYA,8,2013,1
,21,LGR,5,2014,1
,65,SYA,8,2013,1
,31,KKM2,10,2014,1
,31,KKM2,10,2014,1
,41,KKM2,10,2014,1
,36,KKM2,10,2014,1
,37,KKM2,10,2014,1
,36,KKM2,10,2014,1
,26,KKM2,10,2014,1
,52,KKM2,9,2014,1
,37,KKM2,10,2014,1
,30,KKM2,10,2014,1
,35,KKM2,10,2014,1
,45,KKM2,9,2014,1
,42,KKM2,10,2014,1
,35,KKM2,10,2014,1
,40,KKM2,10,2014,1
,31,KKM2,10,2014,1
,37,KKM2,10,2014,1
,39,KKM2,10,2014,1
,58,KKM2,9,2014,1
,36,KKM2,10,2014,1
,41,KKM2,10,2014,1
,32,KKM2,10,2014,1
,52,KKM2,9,2014,1
,44,KKM2,10,2014,1
,38,KKM2,10,2014,1
,48,KKM2,9,2014,1
,43,KKM2,10,2014,1
,40,KKM2,10,2014,1
,37,KKM2,10,2014,1
,37,KKM2,10,2014,1
,60,KKM2,9,2014,1
,53,KKM2,9,2014,1
,36,KKM2,10,2014,1
,57,KKM2,10,2014,1
,35,KKM2,10,2014,1
,32,KKM2,10,2014,1
,39,KKM2,10,2014,1
,35,KKM2,10,2014,1
,30,KKM2,10,2014,1
,34,KKM2,10,2014,1
,49,KKM2,9,2014,1
,38,KKM2,10,2014,1
,44,KKM2,9,2014,1
,47,SYA,8,2013,1
,46,VHG,1,2014,1
,43,VHG,1,2014,1
,43,VHG,1,2014,1
,71,VHG,1,2014,1
,43,VHG,1,2014,1
,37,VHG,1,2014,1
,51,VHG,1,2014,1
,69,VHG,1,2014,1
,44,VHG,1,2014,1
,44,VHG,1,2014,1
,18,SYA,8,2013,1
,60,SYA,8,2013,1
,31,SYA,8,2013,1
,36,SYA,8,2013,1
,72,SYA,8,2013,1
,20,RNG,5,2014,1
,76,RNG,6,2014,1
,20,RNG,6,2014,1
,57,SYA,8,2013,1
,20,RNG,6,2014,1
,96,SYA,7,2013,1
,72,SYA,8,2013,1
,30,RNG,5,2014,1
,36,RNG,6,2014,1
,24,RNG,6,2014,1
,31,RNG,5,2014,1
,42,SYA,8,2013,1
,52,SYA,8,2013,1
,19,RNG,5,2014,1
,19,SYA,8,2013,1
,53,SYA,8,2013,1
,29,SYA,8,2013,1
,80,SYA,8,2013,1
,36,SYA,8,2013,1
,55,SYA,8,2013,1
,50,RNG,5,2014,1
,37,SYA,8,2013,1
,43,SYA,8,2013,1
,31,RNG,6,2014,1
,48,SYA,8,2013,1
,23,RNG,6,2014,1
,17,RNG,6,2014,1
,20,SYA,8,2013,1
,44,SYA,8,2013,1
,96,SYA,8,2013,1
,37,RNG,6,2014,1
,97,SYA,8,2013,1
,29,RNG,6,2014,1
,28,SYA,8,2013,1
,48,SYA,8,2013,1
,18,SYA,8,2013,1
,29,SYA,8,2013,1
,33,RNG,5,2014,1
,19,RNG,6,2014,1
,47,SYA,8,2013,1
,27,RNG,6,2014,1
,18,SYA,8,2013,1
,43,SYA,8,2013,1
,80,RNG,6,2014,1
,36,SYA,9,2013,1
,45,SYA,8,2013,1
,101,SYA,9,2013,1
,72,SYA,9,2013,1
,38,RNG,5,2014,1
,22,SYA,8,2013,1
,68,SYA,9,2013,1
,81,SYA,9,2013,1
,106,SYA,9,2013,1
,35,SYA,8,2013,1
,37,SYA,9,2013,1
,48,SYA,9,2013,1
,35,SYA,8,2013,1
,58,SYA,8,2013,1
,49,SYA,8,2013,1
,67,SYA,8,2013,1
,50,SYA,8,2013,1
,71,SYA,8,2013,1
,60,SYA,8,2013,1
,77,SYA,8,2013,1
,52,SYA,8,2013,1
,23,RNG,5,2014,1
,34,RNG,5,2014,1
,21,RNG,5,2014,1
,24,RNG,10,2014,1
,72,RNG,5,2014,1
,95,SYA,8,2013,1
,49,SYA,8,2013,1
,52,RNG,5,2014,1
,41,SYA,8,2013,1
,52,SYA,8,2013,1
,36,RNG,5,2014,1
,39,RNG,10,2014,1
,52,SYA,8,2013,1
,51,SYA,8,2013,1
,39,SYA,8,2013,1
,39,RNG,10,2014,1
,21,RNG,10,2014,1
,72,RNG,5,2014,1
,120,SYA,8,2013,1
,43,RNG,5,2014,1
,34,RNG,10,2014,1
,31,RNG,5,2014,1
,23,RNG,5,2014,1
,31,RNG,10,2014,1
,39,RNG,10,2014,1
,65,SYA,8,2013,1
,41,RNG,10,2014,1
,36,RNG,5,2014,1
,36,RNG,10,2014,1
,34,RNG,10,2014,1
,24,RNG,5,2014,1
,57,SYA,8,2013,1
,91,SYA,8,2013,1
,106,SYA,8,2013,1
,26,SYA,8,2013,1
,31,RNG,10,2014,1
,42,SYA,8,2013,1
,42,RNG,10,2014,1
,49,SYA,8,2013,1
,52,SYA,9,2013,1
,23,RNG,10,2014,1
,28,RNG,5,2014,1
,40,SYA,8,2013,1
,46,SYA,8,2013,1
,118,LGR,1,2014,1
,33,SYA,8,2013,1
,58,LGR,1,2014,1
,61,SYA,8,2013,1
,40,SYA,8,2013,1
,56,LGR,2,2014,1
,48,SYA,8,2013,1
,42,SYA,8,2013,1
,45,LGR,1,2014,1
,25,LGR,2,2014,1
,25,SYA,8,2013,1
,60,SYA,8,2013,1
,40,SYA,8,2013,1
,32,LGR,2,2014,1
,60,SYA,8,2013,1
,33,SYA,8,2013,1
,25,SYA,8,2013,1
,41,SYA,8,2013,1
,34,SYA,8,2013,1
,53,LGR,1,2014,1
,30,LGR,2,2014,1
,76,LGR,1,2014,1
,35,SYA,8,2013,1
,35,SYA,8,2013,1
,35,SYA,8,2013,1
,30,SYA,8,2013,1
,32,SYA,8,2013,1
,35,SYA,8,2013,1
,40,SYA,8,2013,1
,27,SYA,8,2013,1
,36,SYA,8,2013,1
,31,SYA,8,2013,1
,40,SYA,8,2013,1
,31,SYA,8,2013,1
,75,SYA,8,2013,1
,39,SYA,8,2013,1
,58,SYA,9,2013,1
,42,SYA,8,2013,1
,32,SYA,8,2013,1
,37,SYA,8,2013,1
,40,SYA,8,2013,1
,31,SYA,8,2013,1
,66,SYA,9,2013,1
,43,SYA,8,2013,1
,45,SYA,8,2013,1
,32,SYA,8,2013,1
,46,SYA,8,2013,1
,28,MGR,5,2014,1
,69,SYA,8,2013,1
,41,SYA,8,2013,1
,59,SYA,8,2013,1
,45,SYA,8,2013,1
,33,SYA,8,2013,1
,49,SYA,8,2013,1
,31,SYA,8,2013,1
,25,MGR,5,2014,1
,58,MGR,4,2014,1
,44,SYA,8,2013,1
,86,SYA,8,2013,1
,48,SYA,8,2013,1
,40,SYA,8,2013,1
,59,SYA,8,2013,1
,40,MGR,5,2014,1
,31,SYA,8,2013,1
,32,MGR,5,2014,1
,22,SYA,8,2013,1
,14,SYA,8,2013,1
,47,MGR,5,2014,1
,91,SYA,8,2013,1
,52,SYA,8,2013,1
,25,SYA,8,2013,1
,60,SYA,8,2013,1
,63,SYA,8,2013,1
,45,SYA,8,2013,1
,17,SYA,8,2013,1
,33,SYA,8,2013,1
,23,MGR,5,2014,1
,21,SYA,8,2013,1
,51,SYA,8,2013,1
,40,MGR,5,2014,1
,49,SYA,8,2013,1
,105,SYA,8,2013,1
,300,SYA,8,2013,1
,26,MGR,5,2014,1
,45,KLF,3,2014,1
,84,KLF,3,2014,1
,52,SYA,8,2013,1
,55,KLF,3,2014,1
,52,SYA,8,2013,1
,22,SYA,8,2013,1
,32,SYA,8,2013,1
,47,KLF,4,2014,1
,58,SYA,8,2013,1
,60,SYA,8,2013,1
,50,SYA,8,2013,1
,50,KLF,4,2014,1
,52,KLF,3,2014,1
,28,SYA,8,2013,1
,33,SYA,8,2013,1
,22,SYA,8,2013,1
,47,KLF,4,2014,1
,55,SYA,8,2013,1
,49,SYA,8,2013,1
,75,KLF,3,2014,1
,23,SYA,8,2013,1
,40,SYA,8,2013,1
,43,SYA,8,2013,1
,50,SYA,8,2013,1
,41,SYA,8,2013,1
,52,KLF,4,2014,1
,53,KLF,3,2014,1
,45,KLF,4,2014,1
,32,SYA,8,2013,1
,57,SYA,8,2013,1
,53,KLF,4,2014,1
,21,SYA,8,2013,1
,57,SYA,8,2013,1
,44,SYA,8,2013,1
,45,SYA,9,2013,1
,42,KLF,3,2014,1
,52,KLF,3,2014,1
,41,SYA,8,2013,1
,88,SYA,8,2013,1
,40,KLF,3,2014,1
,67,SYA,8,2013,1
,43,MGR,9,2014,1
,35,MGR,9,2014,1
,47,SYA,8,2013,1
,51,SYA,8,2013,1
,72,SYA,8,2013,1
,70,SYA,8,2013,1
,44,SYA,8,2013,1
,61,SYA,8,2013,1
,61,SYA,8,2013,1
,41,SYA,8,2013,1
,53,SYA,8,2013,1
,52,MGR,4,2014,1
,121,SYA,8,2013,1
,50,SYA,8,2013,1
,51,SYA,8,2013,1
,49,SYA,8,2013,1
,44,SYA,8,2013,1
,21,RNG,10,2014,1
,19,RNG,10,2014,1
,20,RNG,10,2014,1
,32,RNG,10,2014,1
,46,SYA,8,2013,1
,26,RNG,10,2014,1
,20,RNG,10,2014,1
,47,SYA,8,2013,1
,21,RNG,10,2014,1
,20,RNG,10,2014,1
,22,RNG,10,2014,1
,34,SYA,8,2013,1
,36,SYA,8,2013,1
,40,SYA,8,2013,1
,45,KRA,10,2014,1
,51,KRA,10,2014,1
,44,KRA,9,2014,1
,51,KRA,10,2014,1
,26,KRA,10,2014,1
,34,KRA,10,2014,1
,36,KRA,10,2014,1
,54,KRA,10,2014,1
,28,KRA,10,2014,1
,32,KRA,9,2014,1
,28,KRA,10,2014,1
,53,KRA,10,2014,1
,49,KRA,9,2014,1
,28,KRA,10,2014,1
,28,KRA,9,2014,1
,46,KRA,10,2014,1
,24,KRA,9,2014,1
,29,KRA,9,2014,1
,44,KRA,10,2014,1
,25,KRA,10,2014,1
,33,KRA,9,2014,1
,32,KRA,10,2014,1
,26,KRA,9,2014,1
,25,KRA,9,2014,1
,102,VHG,1,2014,1
,51,VHG,1,2014,1
,87,VHG,1,2014,1
,70,VHG,1,2014,1
,52,VHG,8,2013,1
,92,VHG,7,2013,1
,30,VHG,7,2013,1
,81,VHG,7,2013,1
,30,VHG,8,2013,1
,98,VHG,1,2014,1
,50,VHG,7,2013,1
,47,VHG,7,2013,1
,40,VHG,7,2013,1
,126,VHG,1,2014,1
,66,VHG,1,2014,1
,47,VHG,1,2014,1
,70,VHG,1,2014,1
,57,VHG,1,2014,1
,73,VHG,7,2013,1
,52,VHG,1,2014,1
,70,VHG,1,2014,1
,21,VHG,7,2013,1
,50,VHG,7,2013,1
,26,VHG,7,2013,1
,55,VHG,1,2014,1
,40,VHG,7,2013,1
,40,VHG,7,2013,1
,450,VHG,1,2014,1
,30,VHG,8,2013,1
,68,VHG,7,2013,1
,70,VHG,7,2013,1
,40,VHG,7,2013,1
,30,VHG,7,2013,1
,49,VHG,1,2014,1
,7,VHG,7,2013,1
,53,VHG,7,2013,1
,50,VHG,8,2013,1
,44,VHG,8,2013,1
,24,VHG,7,2013,1
,33,SYA,8,2013,1
,25,SYA,8,2013,1
,32,SYA,8,2013,1
,55,SYA,8,2013,1
,34,SYA,8,2013,1
,32,SYA,8,2013,1
,55,SYA,8,2013,1
,32,SYA,8,2013,1
,32,SYA,8,2013,1
,30,SYA,8,2013,1
,72,SYA,8,2013,1
,36,SYA,8,2013,1
,35,SYA,8,2013,1
,53,SYA,8,2013,1
,26,SYA,8,2013,1
,41,SYA,8,2013,1
,37,MGR,4,2014,1
,41,SYA,8,2013,1
,25,SYA,8,2013,1
,42,SYA,8,2013,1
,30,SYA,8,2013,1
,28,SYA,8,2013,1
,28,SYA,8,2013,1
,42,SYA,8,2013,1
,34,SYA,8,2013,1
,35,BSA,9,2014,1
,67,BSA,9,2014,1
,83,LGR,5,2014,1
,53,LGR,1,2014,1
,60,BSA,9,2014,1
,42,LGR,5,2014,1
,35,BSA,9,2014,1
,83,LGR,3,2014,1
,76,LGR,1,2014,1
,98,LGR,3,2014,1
,29,LGR,6,2014,1
,51,LGR,3,2014,1
,49,BSA,9,2014,1
,78,BSA,9,2014,1
,26,BSA,9,2014,1
,51,LGR,3,2014,1
,33,BSA,9,2014,1
,47,LGR,2,2014,1
,42,LGR,5,2014,1
,62,LGR,3,2014,1
,74,LGR,3,2014,1
,21,LGR,6,2014,1
,74,BSA,9,2014,1
,44,LGR,5,2014,1
,30,LGR,5,2014,1
,79,LGR,3,2014,1
,54,LGR,1,2014,1
,33,LGR,5,2014,1
,55,LGR,3,2014,1
,73,BSA,9,2014,1
,31,BSA,9,2014,1
,49,BSA,9,2014,1
,49,LGR,3,2014,1
,45,BSA,9,2014,1
,49,LGR,5,2014,1
,54,LGR,2,2014,1
,56,BSA,9,2014,1
,85,LGR,1,2014,1
,68,LGR,2,2014,1
,41,BSA,9,2014,1
,79,LGR,3,2014,1
,49,BSA,9,2014,1
,24,LGR,6,2014,1
,24,LGR,6,2014,1
,44,BSA,9,2014,1
,30,LGR,3,2014,1
,34,BSA,9,2014,1
,37,BSA,9,2014,1
,77,LGR,2,2014,1
,46,BSA,9,2014,1
,27,BSA,9,2014,1
,46,BSA,9,2014,1
,37,BSA,9,2014,1
,33,BSA,9,2014,1
,50,BSA,9,2014,1
,28,LGR,5,2014,1
,38,BSA,9,2014,1
,51,BSA,9,2014,1
,56,BSA,9,2014,1
,38,BSA,9,2014,1
,48,BSA,9,2014,1
,57,BSA,9,2014,1
,25,LGR,5,2014,1
,57,BSA,9,2014,1
,43,BSA,9,2014,1
,56,BSA,9,2014,1
,40,BSA,9,2014,1
,32,LGR,5,2014,1
,37,BSA,9,2014,1
,34,LGR,5,2014,1
,47,BSA,9,2014,1
,36,BSA,9,2014,1
,26,LGR,5,2014,1
,63,BSA,9,2014,1
,50,LGR,5,2014,1
,53,BSA,9,2014,1
,36,LGR,5,2014,1
,40,BSA,9,2014,1
,32,LGR,5,2014,1
,24,LGR,5,2014,1
,22,LGR,5,2014,1
,43,LGR,5,2014,1
,24,BSA,9,2014,1
,39,LGR,5,2014,1
,44,BSA,9,2014,1
,27,BSA,9,2014,1
,45,BSA,9,2014,1
,39,KKM2,9,2014,1
,47,KKM2,10,2014,1
,36,KKM2,10,2014,1
,50,KKM2,10,2014,1
,42,KKM2,9,2014,1
,64,KKM2,10,2014,1
,46,KKM2,10,2014,1
,46,KKM2,10,2014,1
,49,KKM2,10,2014,1
,35,KKM2,10,2014,1
,51,KKM2,9,2014,1
,51,KKM2,10,2014,1
,46,KKM2,10,2014,1
,41,KKM2,10,2014,1
,36,KKM2,10,2014,1
,51,KKM2,10,2014,1
,41,KKM2,9,2014,1
,40,KKM2,10,2014,1
,45,KKM2,10,2014,1
,50,KKM2,9,2014,1
,40,KKM2,9,2014,1
,40,KKM2,10,2014,1
,46,KKM2,10,2014,1
,46,KKM2,10,2014,1
,57,KKM2,10,2014,1
,47,KKM2,10,2014,1
,37,KKM2,10,2014,1
,31,KKM2,9,2014,1
,37,KKM2,10,2014,1
,49,KKM2,9,2014,1
,28,KKM2,10,2014,1
,42,KKM2,9,2014,1
,31,KKM2,9,2014,1
,32,VHG,4,2014,1
,40,1AF,10,2014,1
,62,VHG,4,2014,1
,43,KKM2,10,2014,1
,64,VHG,1,2014,1
,59,VHG,4,2014,1
,67,VHG,4,2014,1
,70,VHG,4,2014,1
,52,KKM2,10,2014,1
,47,1AF,10,2014,1
,74,VHG,4,2014,1
,31,1AF,10,2014,1
,70,VHG,1,2014,1
,32,1AF,10,2014,1
,40,VHG,1,2014,1
,42,VHG,2,2014,1
,27,1AF,10,2014,1
,50,VHG,4,2014,1
,50,VHG,4,2014,1
,65,VHG,1,2014,1
,32,1AF,10,2014,1
,56,VHG,1,2014,1
,47,VHG,4,2014,1
,42,KKM2,10,2014,1
,83,VHG,1,2014,1
,40,VHG,1,2014,1
,51,VHG,4,2014,1
,43,KKM2,9,2014,1
,33,KKM2,10,2014,1
,57,VHG,5,2014,1
,63,VHG,1,2014,1
,56,VHG,4,2014,1
,33,VHG,4,2014,1
,51,VHG,4,2014,1
,30,1AF,10,2014,1
,40,1AF,10,2014,1
,79,VHG,1,2014,1
,43,KKM2,9,2014,1
,28,1AF,10,2014,1
,23,VHG,4,2014,1
,53,VHG,4,2014,1
,51,1AF,10,2014,1
,22,1AF,10,2014,1
,48,VHG,1,2014,1
,37,KKM2,9,2014,1
,56,VHG,4,2014,1
,30,1AF,10,2014,1
,51,VHG,1,2014,1
,59,VHG,1,2014,1
,55,KKM2,10,2014,1
,48,VHG,4,2014,1
,45,KKM2,10,2014,1
,41,KKM2,10,2014,1
,42,1AF,10,2014,1
,40,VHG,4,2014,1
,50,1AF,10,2014,1
,39,1AF,9,2014,1
,72,VHG,4,2014,1
,60,VHG,4,2014,1
,70,VHG,4,2014,1
,36,1AF,10,2014,1
,53,VHG,4,2014,1
,55,KKM2,9,2014,1
,62,VHG,2,2014,1
,34,1AF,10,2014,1
,35,1AF,10,2014,1
,56,VHG,1,2014,1
,56,VHG,4,2014,1
,43,VHG,4,2014,1
,45,1AF,10,2014,1
,31,VHG,4,2014,1
,51,KKM2,9,2014,1
,52,VHG,4,2014,1
,58,KKM2,10,2014,1
,27,1AF,10,2014,1
,57,VHG,4,2014,1
,52,VHG,4,2014,1
,94,VHG,4,2014,1
,48,VHG,4,2014,1
,28,1AF,10,2014,1
,44,1AF,10,2014,1
,78,VHG,4,2014,1
,37,KKM2,9,2014,1
,37,VHG,4,2014,1
,59,VHG,5,2014,1
,51,VHG,4,2014,1
,54,VHG,1,2014,1
,66,VHG,4,2014,1
,50,KKM2,10,2014,1
,55,KKM2,9,2014,1
,51,VHG,4,2014,1
,37,KKM2,10,2014,1
,64,VHG,1,2014,1
,49,VHG,4,2014,1
,40,KKM2,10,2014,1
,45,KKM2,9,2014,1
,31,VHG,1,2014,1
,96,VHG,4,2014,1
,61,VHG,4,2014,1
