t101a_wpt_verifn_id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
"10124003","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,27jan2014
"10124004","ZMB1_2","Yes",,,,,,.s,.s,.s,.s,,,"Malawi",1,2014,27jan2014
"10124005","ZMB1_2","Yes",,,,,,.s,.s,.s,.s,,,"Malawi",1,2014,27jan2014
"10125001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10125002","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10125003","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10125004","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10125005","ZMB1_2","No",,,,,,.s,.s,.s,.s,,,"Malawi",1,2014,29jan2014
"10127001","ZMB2",,.s,.s,,,"Yes",.s,"Tea With No Milk","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10129001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2012,02jan2012
"10130001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2012,02jan2012
"10132001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2012,01jan2012
"10133001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2012,02jan2012
"10133001","ZMB1_2","Yes",.s,"No",,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10133002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,28jan2014
"10133003","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,28jan2014
"10133004","ZMB1_2","No",.s,"Yes",,,"No",.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10133005","ZMB1_2","No",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,28jan2014
