id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 3,80020543,20,566,18.86667,1.060071,5.300353,12,24,15-Feb-16,27-Aug-17,8,2017,3
,Zomba 3,80020544,10,436,14.53333,0.6880734,3.440367,5,12,07mar2016,17may2017,5,2017,3
,Zomba 3,80020546,4,384,12.8,0.3125,1.5625,3,6,30mar2016,18-Apr-17,4,2017,3
,Zomba 3,80020547,10,433,14.43333,0.6928406,3.464203,6,12,15-Apr-16,22-Jun-17,6,2017,3
,Zomba 3,80020548,6,360,12,0.5,2.5,4,8,10-Jun-16,05-Jun-17,6,2017,3
,Zomba 3,80020549,8,332,11.06667,0.7228916,3.614458,4,10,28-Sep-16,26-Aug-17,8,2017,3
,Zomba 3,80020550,16,467,15.56667,1.027837,5.139186,9,18,05-Feb-16,17may2017,5,2017,3
,Zomba 3,80020551,4,504,16.8,0.2380953,1.190476,4,11,08mar2016,25-Jul-17,7,2017,3
,Zomba 3,80020553,12.5,375,12.5,1,5,5,16.5,20-Jun-16,30-Jun-17,6,2017,3
,Zomba 3,80020554,18,553,18.43333,0.9764919,4.88246,10,20,17-Feb-16,23-Aug-17,8,2017,3
,Zomba 3,80020556,2,121,4.033333,0.4958678,2.479339,2,4,25-Apr-17,24-Aug-17,8,2017,3
,Zomba 3,80020558,6,175,5.833333,1.028571,5.142857,4,8,06-Feb-17,31-Jul-17,7,2017,3
,Zomba 3,80020559,2,57,1.9,1.052632,5.263158,2,4,29may2017,25-Jul-17,7,2017,3
,Zomba 3,80020561,2,121,4.033333,0.4958678,2.479339,2,5,11-Apr-17,10-Aug-17,8,2017,3
,Zomba 3,80020563,4,223,7.433333,0.5381166,2.690583,3,6,21dec2016,01-Aug-17,8,2017,3
,Zomba 3,80020564,6,246,8.2,0.7317073,3.658537,4,8,12dec2016,15-Aug-17,8,2017,3
,Zomba 3,80020565,2,22,0.7333333,2.727273,13.63636,2,6,11-Apr-17,03may2017,5,2017,3
,Zomba 3,80020568,2,58,1.933333,1.034483,5.172414,2,4,11-Apr-17,08-Jun-17,6,2017,3
,Zomba 3,80020569,2,111,3.7,0.5405405,2.702703,2,4,11-Apr-17,31-Jul-17,7,2017,3
,Zomba 3,80020570,4,117,3.9,1.025641,5.128205,3,6,12-Apr-17,07-Aug-17,8,2017,3
,Zomba 3,80020571,6,198,6.6,0.9090909,4.545455,4,8,03-Jan-17,20-Jul-17,7,2017,3
,Zomba 3,80020573,6,298,9.933333,0.6040269,3.020134,4,8,14oct2016,08-Aug-17,8,2017,3
,Zomba 3,80020574,2,50,1.666667,1.2,6,2,4,25may2017,14-Jul-17,7,2017,3
,Zomba 3,80020575,2,336,11.2,0.1785714,0.8928572,2,6,22-Aug-16,24-Jul-17,7,2017,3
,Zomba 3,80020576,8,340,11.33333,0.7058824,3.529412,6,12,22-Aug-16,31-Jul-17,7,2017,3
,Zomba 3,80020577,6,354,11.8,0.5084746,2.542373,4,8,22-Aug-16,11-Aug-17,8,2017,3
,Zomba 3,80020578,10,367,12.23333,0.8174387,4.087193,6,12,22-Aug-16,24-Aug-17,8,2017,3
,Zomba 3,80020579,2,310,10.33333,0.1935484,0.967742,2,4,22-Aug-16,28-Jun-17,6,2017,3
,Zomba 3,80020580,2,110,3.666667,0.5454546,2.727273,2,4,19-Jan-17,09may2017,5,2017,3
,Zomba 3,80020581,4,122,4.066667,0.9836066,4.918033,4,9,27-Jan-17,29may2017,5,2017,3
,Zomba 3,80020582,11,377,12.56667,0.8753316,4.376658,8,15,30-Aug-16,23-Aug-17,8,2017,3
,Zomba 3,80020583,12,331,11.03333,1.087613,5.438066,7,14,23-Aug-16,20-Jul-17,7,2017,3
,Zomba 3,80020584,10,337,11.23333,0.8902077,4.451038,6,12,23-Aug-16,26-Jul-17,7,2017,3
,Zomba 3,80020585,8,304,10.13333,0.7894737,3.947369,4,10,23-Aug-16,23-Jun-17,6,2017,3
,Zomba 3,80020586,8,356,11.86667,0.6741573,3.370787,5,10,23-Aug-16,14-Aug-17,8,2017,3
,Zomba 3,80020588,2,266,8.866667,0.2255639,1.12782,2,6,19-Aug-16,12may2017,5,2017,3
,Zomba 3,80020590,6,336,11.2,0.5357143,2.678571,4,8,19-Aug-16,21-Jul-17,7,2017,3
,Zomba 3,80020592,12,304,10.13333,1.184211,5.921053,5,16,27-Sep-16,28-Jul-17,7,2017,3
,Zomba 3,80020593,8.5,225,7.5,1.133333,5.666667,5,9,31oct2016,11-Aug-17,8,2017,3
,Zomba 3,80020646,4,73,2.433333,1.643836,8.219177,2,8,09may2017,21-Jul-17,7,2017,3
,Zomba 3,80020648,6,120,4,1.5,7.5,5,10,23mar2017,21-Jul-17,7,2017,3
,Zomba 3,80020677,8.5,130,4.333333,1.961538,9.807693,4,13,10-Apr-17,18-Aug-17,8,2017,3
,Zomba 3,80020679,4,29,0.9666666,4.137931,20.68966,2,6,18may2017,16-Jun-17,6,2017,3
,Zomba 3,80020689,10,175,5.833333,1.714286,8.571428,5,12,07mar2017,29-Aug-17,8,2017,3
,Zomba 3,80020690,2,82,2.733333,0.7317073,3.658537,2,6,17may2017,07-Aug-17,8,2017,3
,Zomba 3,80510024,18,266,8.866667,2.030075,10.15038,7,23,02-Jul-16,07mar2017,3,2017,3
,Zomba 4,80030125,2,52,1.733333,1.153846,5.769231,3,5,04dec2015,25-Jan-16,1,2016,3
,Zomba 4,80040001,8,493,16.43333,0.4868155,2.434077,5,10,26-Feb-16,03-Jul-17,7,2017,3
,Zomba 4,80040002,7,481,16.03333,0.4365905,2.182952,5,9,18mar2016,12-Jul-17,7,2017,3
,Zomba 4,80040003,42,602,20.06667,2.093023,10.46512,26,49,29dec2015,10-Aug-17,8,2017,3
,Zomba 4,80040004,32,541,18.03333,1.774492,8.872459,18,36,11-Feb-16,01-Aug-17,8,2017,3
,Zomba 4,80040006,4,165,5.5,0.7272727,3.636364,3,6,20-Jan-17,04-Jul-17,7,2017,3
,Zomba 4,80040007,15,613,20.43333,0.7340946,3.670473,10,18,31dec2015,15-Aug-17,8,2017,3
,Zomba 4,80040008,11,420,14,0.7857143,3.928571,9,16,25-Jan-16,20mar2017,3,2017,3
,Zomba 4,80040010,6,488,16.26667,0.3688525,1.844262,4,10,25-Feb-16,27-Jun-17,6,2017,3
,Zomba 4,80040011,4,539,17.96667,0.2226345,1.113173,3,6,07-Jan-16,29-Jun-17,6,2017,3
,Zomba 4,80040012,12,398,13.26667,0.9045227,4.522614,8,16,17-Apr-16,22may2017,5,2017,3
,Zomba 4,80040013,12,685,22.83333,0.5255474,2.627737,8,16,16-Sep-15,07-Aug-17,8,2017,3
,Zomba 4,80040014,9,511,17.03333,0.5283757,2.641879,8,14,10-Feb-16,28-Jun-17,6,2017,3
,Zomba 4,80040015,16,535,17.83333,0.8971962,4.485981,9,18,15-Feb-16,03-Aug-17,8,2017,3
,Zomba 4,80040016,20,575,19.16667,1.043478,5.217391,13,26,21-Jan-16,09-Aug-17,8,2017,3
,Zomba 4,80040017,13,499,16.63333,0.7815631,3.907815,8,15,02mar2016,14-Jul-17,7,2017,3
,Zomba 4,80040018,6,372,12.4,0.483871,2.419355,4,8,25may2016,01-Jun-17,6,2017,3
,Zomba 4,80040019,24,637,21.23333,1.130298,5.651491,14,28,16-Sep-15,20-Jun-17,6,2017,3
,Zomba 4,80040020,14,539,17.96667,0.7792208,3.896104,8,16,03-Feb-16,26-Jul-17,7,2017,3
,Zomba 4,80040022,4,316,10.53333,0.3797468,1.898734,4,8,16-Aug-16,28-Jun-17,6,2017,3
,Zomba 4,80040023,6,502,16.73333,0.3585657,1.792829,4,8,19mar2016,03-Aug-17,8,2017,3
,Zomba 4,80040024,10,493,16.43333,0.6085193,3.042597,6,12,11-Jan-16,18may2017,5,2017,3
,Zomba 4,80040025,10,324,10.8,0.9259259,4.62963,6,12,29-Jun-16,19may2017,5,2017,3
,Zomba 4,80040026,8,514,17.13333,0.4669261,2.33463,5,10,22-Jan-16,19-Jun-17,6,2017,3
,Zomba 4,80040027,18,723,24.1,0.746888,3.73444,12,24,16-Sep-15,02-Aug-17,8,2017,3
,Zomba 4,80040028,8,493,16.43333,0.4868155,2.434077,5,10,28dec2015,04may2017,5,2017,3
,Zomba 4,80040029,10,487,16.23333,0.6160164,3.080082,6,12,25-Jan-16,26may2017,5,2017,3
,Zomba 4,80040031,8,579,19.3,0.4145078,2.072539,5,10,09oct2015,10may2017,5,2017,3
,Zomba 4,80040032,2,224,7.466667,0.2678571,1.339286,3,6,13-Sep-16,25-Apr-17,4,2017,3
,Zomba 4,80040033,8,412,13.73333,0.5825242,2.912621,5,10,08-Jul-16,24-Aug-17,8,2017,3
,Zomba 4,80040034,6,155,5.166667,1.16129,5.806452,4,8,04-Aug-16,06-Jan-17,1,2017,3
,Zomba 4,80040035,4,312,10.4,0.3846154,1.923077,3,6,11-Apr-16,17-Feb-17,2,2017,3
,Zomba 4,80040037,10,433,14.43333,0.6928406,3.464203,6,12,17may2016,24-Jul-17,7,2017,3
,Zomba 4,80040038,23,579,19.3,1.19171,5.958549,13,25,06-Jan-16,07-Aug-17,8,2017,3
,Zomba 4,80040039,8,556,18.53333,0.4316547,2.158273,5,10,18-Sep-15,27mar2017,3,2017,3
,Zomba 4,80040040,16,617,20.56667,0.7779579,3.889789,10,21,18-Sep-15,01-Jun-17,6,2017,3
,Zomba 4,80040041,6,449,14.96667,0.4008909,2.004454,4,8,16mar2016,08-Jun-17,6,2017,3
,Zomba 4,80040042,2,445,14.83333,0.1348315,0.6741573,2,4,10mar2016,29may2017,5,2017,3
,Zomba 4,80040043,4,405,13.5,0.2962963,1.481482,3,6,06-Apr-16,16may2017,5,2017,3
,Zomba 4,80040044,14,564,18.8,0.7446809,3.723404,9,18,09-Feb-16,10-Aug-17,8,2017,3
,Zomba 4,80040045,4,256,8.533334,0.46875,2.34375,3,6,10may2016,21-Jan-17,1,2017,3
,Zomba 4,80040046,6,299,9.966666,0.6020067,3.010034,4,8,13oct2016,08-Aug-17,8,2017,3
,Zomba 4,80040047,2,161,5.366667,0.3726708,1.863354,2,4,27-Jul-16,04-Jan-17,1,2017,3
,Zomba 4,80040048,8,511,17.03333,0.4696673,2.348337,5,10,10mar2016,03-Aug-17,8,2017,3
,Zomba 4,80040049,14,489,16.3,0.8588957,4.294478,8,18,01-Sep-15,02-Jan-17,1,2017,3
,Zomba 4,80040050,10,445,14.83333,0.6741573,3.370787,6,14,05-Feb-16,25-Apr-17,4,2017,3
,Zomba 4,80040051,6,251,8.366667,0.7171314,3.585657,3,10,10-Nov-16,19-Jul-17,7,2017,3
,Zomba 4,80040052,20,514,17.13333,1.167315,5.836576,8,24,19-Feb-16,17-Jul-17,7,2017,3
,Zomba 4,80040053,9,399,13.3,0.6766917,3.383459,6,13,15-Jul-16,18-Aug-17,8,2017,3
,Zomba 4,80040054,3,175,5.833333,0.5142857,2.571428,2,4,18-Aug-16,09-Feb-17,2,2017,3
,Zomba 4,80040055,8,458,15.26667,0.5240175,2.620087,5,10,08-Feb-16,11may2017,5,2017,3
,Zomba 4,80040056,8,456,15.2,0.5263158,2.631579,6,12,07mar2016,07-Jun-17,6,2017,3
,Zomba 4,80040057,2,116,3.866667,0.5172414,2.586207,2,4,08-Feb-16,03-Jun-16,6,2016,3
,Zomba 4,80040058,21,559,18.63333,1.127012,5.635062,12,23,29dec2015,10-Jul-17,7,2017,3
,Zomba 4,80040059,10,442,14.73333,0.678733,3.393665,6,14,09-Feb-16,26-Apr-17,4,2017,3
,Zomba 4,80040060,28,574,19.13333,1.463415,7.317073,17,34,01-Jan-16,19-Jul-17,7,2017,3
,Zomba 4,80040061,9,553,18.43333,0.488246,2.44123,6,11,18-Jan-16,24-Jul-17,7,2017,3
,Zomba 4,80040062,13,550,18.33333,0.7090909,3.545455,8,15,22-Feb-16,25-Aug-17,8,2017,3
,Zomba 4,80040063,7,480,16,0.4375,2.1875,5,9,11-Jan-16,05may2017,5,2017,3
,Zomba 4,80040064,4,174,5.8,0.6896551,3.448276,3,6,12-Jan-16,04-Jul-16,7,2016,3
,Zomba 4,80040065,6,393,13.1,0.4580153,2.290076,4,8,21mar2016,18-Apr-17,4,2017,3
,Zomba 4,80040066,24,688,22.93333,1.046512,5.232558,15,30,22-Sep-15,27-Jul-17,7,2017,3
,Zomba 4,80040067,16,672,22.4,0.7142857,3.571429,10,20,28-Sep-15,26-Jul-17,7,2017,3
,Zomba 4,80040068,6,396,13.2,0.4545455,2.272727,4,8,11-Apr-16,12may2017,5,2017,3
,Zomba 4,80040069,4,348,11.6,0.3448276,1.724138,3,6,04-Sep-15,17-Aug-16,8,2016,3
,Zomba 4,80040070,6,364,12.13333,0.4945055,2.472528,4,8,26-Jan-16,24-Jan-17,1,2017,3
,Zomba 4,80040071,10,511,17.03333,0.5870842,2.935421,6,12,26-Jan-16,20-Jun-17,6,2017,3
,Zomba 4,80040072,4,296,9.866667,0.4054054,2.027027,4,6,04-Aug-16,27may2017,5,2017,3
,Zomba 4,80040074,12,575,19.16667,0.626087,3.130435,7,14,26-Jan-16,23-Aug-17,8,2017,3
,Zomba 4,80040075,6,667,22.23333,0.2698651,1.349325,4,8,28-Sep-15,26-Jul-17,7,2017,3
,Zomba 4,80040076,4,455,15.16667,0.2637362,1.318681,3,6,26-Jan-16,25-Apr-17,4,2017,3
,Zomba 4,80040078,9,469,15.63333,0.575693,2.878465,6,11,29-Feb-16,12-Jun-17,6,2017,3
,Zomba 4,80040079,18,547,18.23333,0.9872029,4.936014,10,20,18-Jan-16,18-Jul-17,7,2017,3
,Zomba 4,80040080,6,398,13.26667,0.4522613,2.261307,4,8,19-Apr-16,22may2017,5,2017,3
,Zomba 4,80040081,8,348,11.6,0.6896551,3.448276,5,10,04-Aug-16,18-Jul-17,7,2017,3
,Zomba 4,80040082,4,585,19.5,0.2051282,1.025641,5,8,14-Jan-16,25-Aug-17,8,2017,3
,Zomba 4,80040083,4,343,11.43333,0.3498542,1.749271,3,6,10-Feb-16,18-Jan-17,1,2017,3
,Zomba 4,80040084,10,474,15.8,0.6329114,3.164557,5,12,16mar2016,03-Jul-17,7,2017,3
,Zomba 4,80040085,14,287,9.566667,1.463415,7.317073,10,20,11oct2016,26-Jul-17,7,2017,3
,Zomba 4,80040086,6,430,14.33333,0.4186047,2.093023,4,8,17may2016,21-Jul-17,7,2017,3
,Zomba 4,80040087,7,470,15.66667,0.4468085,2.234042,5,9,20-Jan-16,04may2017,5,2017,3
,Zomba 4,80040088,3,430,14.33333,0.2093023,1.046512,3,5,29-Feb-16,04may2017,5,2017,3
,Zomba 4,80040089,6,282,9.4,0.6382979,3.19149,4,8,31-Aug-16,09-Jun-17,6,2017,3
,Zomba 4,80040090,4,127,4.233333,0.9448819,4.72441,3,6,26-Apr-17,31-Aug-17,8,2017,3
,Zomba 4,80040093,2,78,2.6,0.7692308,3.846154,2,4,04-Aug-16,21oct2016,10,2016,3
,Zomba 4,80040094,2,306,10.2,0.1960784,0.9803922,2,4,31mar2016,31-Jan-17,1,2017,3
,Zomba 4,80040095,4,460,15.33333,0.2608696,1.304348,3,6,21-Jan-16,25-Apr-17,4,2017,3
,Zomba 4,80040096,2,202,6.733333,0.2970297,1.485149,2,4,31-Jan-17,21-Aug-17,8,2017,3
,Zomba 4,80040097,26,570,19,1.368421,6.842105,16,32,11-Jan-16,14-Aug-17,8,2017,3
,Zomba 4,80040098,14,575,19.16667,0.7304348,3.652174,9,18,12-Feb-16,24-Aug-17,8,2017,3
,Zomba 4,80040099,10,503,16.76667,0.5964215,2.982107,6,12,08-Jan-16,25may2017,5,2017,3
,Zomba 4,80040100,8,673,22.43333,0.3566122,1.783061,5,10,16-Sep-15,20-Jul-17,7,2017,3
,Zomba 4,80040101,4,173,5.766667,0.6936416,3.468208,4,8,16-Sep-15,04mar2016,3,2016,3
,Zomba 4,80040102,10,327,10.9,0.9174312,4.587156,6,12,05oct2016,28-Aug-17,8,2017,3
,Zomba 4,80040103,8,514,17.13333,0.4669261,2.33463,6,10,25-Jan-16,22-Jun-17,6,2017,3
,Zomba 4,80040104,11,500,16.66667,0.66,3.3,7,13,14-Jan-16,28may2017,5,2017,3
,Zomba 4,80040105,10,551,18.36667,0.5444646,2.722323,7,14,05oct2015,10-Apr-17,4,2017,3
,Zomba 4,80040106,10,562,18.73333,0.5338078,2.669039,7,14,26-Feb-16,14-Aug-17,8,2017,3
,Zomba 4,80040107,4,461,15.36667,0.2603037,1.301518,3,6,02mar2016,06-Jun-17,6,2017,3
,Zomba 4,80040109,6,513,17.1,0.3508772,1.754386,5,10,18-Sep-15,02-Feb-17,2,2017,3
,Zomba 4,80040110,13,588,19.6,0.6632653,3.316326,9,15,18-Jan-16,28-Aug-17,8,2017,3
,Zomba 4,80040111,22,540,18,1.222222,6.111111,17,31,31dec2015,05-Jun-17,6,2017,3
,Zomba 4,80040112,18,595,19.83333,0.907563,4.537815,12,21,31dec2015,10-Aug-17,8,2017,3
,Zomba 4,80040113,13,598,19.93333,0.6521739,3.26087,9,16,05-Jan-16,25-Aug-17,8,2017,3
,Zomba 4,80040114,19,380,12.66667,1.5,7.5,11,21,19-Apr-16,04may2017,5,2017,3
,Zomba 4,80040115,21,512,17.06667,1.230469,6.152343,13,24,21-Jan-16,16-Jun-17,6,2017,3
,Zomba 4,80040116,22,585,19.5,1.128205,5.641026,13,26,16dec2015,20-Jul-17,7,2017,3
,Zomba 4,80040117,21,516,17.2,1.22093,6.104651,15,28,25-Jan-16,19-Jun-17,6,2017,3
,Zomba 4,80040118,12,433,14.43333,0.8314088,4.157044,8,14,10-Feb-16,18-Apr-17,4,2017,3
,Zomba 4,80040119,14,506,16.86667,0.8300395,4.150198,12,18,21-Jan-16,19may2017,5,2017,3
,Zomba 4,80040120,19,539,17.96667,1.057514,5.287569,14,23,08-Feb-16,21-Jul-17,7,2017,3
,Zomba 4,80040121,28,593,19.76667,1.416526,7.082631,19,33,28dec2015,04-Aug-17,8,2017,3
,Zomba 4,80040122,12,496,16.53333,0.7258065,3.629032,9,15,18-Jan-16,01-Jun-17,6,2017,3
,Zomba 4,80040123,8,497,16.56667,0.4828974,2.414487,5,10,04mar2016,14-Jul-17,7,2017,3
,Zomba 4,80040124,4,390,13,0.3076923,1.538462,3,6,06-Apr-16,01may2017,5,2017,3
,Zomba 4,80040125,15,524,17.46667,0.8587786,4.293893,10,19,16-Feb-16,24-Jul-17,7,2017,3
,Zomba 4,80040126,15,540,18,0.8333333,4.166667,11,19,20-Jan-16,14-Jul-17,7,2017,3
,Zomba 4,80040127,1,426,14.2,0.0704225,0.3521127,2,3,17mar2016,17may2017,5,2017,3
,Zomba 4,80040128,12,450,15,0.8,4,7,14,22-Feb-16,17may2017,5,2017,3
,Zomba 4,80040129,6,551,18.36667,0.3266788,1.633394,4,8,09dec2015,12-Jun-17,6,2017,3
,Zomba 4,80040130,17,517,17.23333,0.9864603,4.932302,10,19,29dec2015,29may2017,5,2017,3
,Zomba 4,80040131,10,508,16.93333,0.5905512,2.952756,6,12,02-Apr-16,23-Aug-17,8,2017,3
,Zomba 4,80040132,14,477,15.9,0.8805032,4.402516,8,16,31mar2016,21-Jul-17,7,2017,3
,Zomba 4,80040133,19,576,19.2,0.9895833,4.947917,13,22,21-Jan-16,23-Aug-17,8,2017,3
,Zomba 4,80040134,16,528,17.6,0.9090909,4.545455,11,20,21-Feb-16,28-Jul-17,7,2017,3
,Zomba 4,80040135,19,538,17.93333,1.05948,5.297398,12,21,21-Jan-16,12-Jul-17,7,2017,3
,Zomba 4,80040136,8,449,14.96667,0.5345212,2.672606,7,10,25-Jan-16,18-Apr-17,4,2017,3
,Zomba 4,80040137,24,582,19.4,1.237113,6.185567,13,26,06-Jan-16,10-Aug-17,8,2017,3
,Zomba 4,80040138,35,607,20.23333,1.729819,8.649094,21,38,09dec2015,31-Jul-17,7,2017,3
,Zomba 4,80040139,30,629,20.96667,1.430843,7.154212,18,34,07dec2015,04-Aug-17,8,2017,3
,Zomba 4,80040140,19,591,19.7,0.964467,4.822335,12,23,05-Jan-16,21-Jul-17,7,2017,3
,Zomba 4,80040141,13,564,18.8,0.6914894,3.457447,10,17,19-Jan-16,11-Aug-17,8,2017,3
,Zomba 4,80040142,1,432,14.4,0.0694444,0.3472222,2,3,19-Feb-16,26-Apr-17,4,2017,3
,Zomba 4,80040143,16,534,17.8,0.8988764,4.494382,10,20,19-Feb-16,14-Jul-17,7,2017,3
,Zomba 4,80040144,13,533,17.76667,0.7317073,3.658537,9,17,15-Feb-16,20-Jul-17,7,2017,3
,Zomba 4,80040145,12,492,16.4,0.7317073,3.658537,7,14,22-Feb-16,28-Jun-17,6,2017,3
,Zomba 4,80040146,11,584,19.46667,0.5650685,2.825342,8,14,06-Jan-16,08-Aug-17,8,2017,3
,Zomba 4,80040147,15,532,17.73333,0.8458647,4.229323,9,17,10-Feb-16,26-Jul-17,7,2017,3
,Zomba 4,80040148,18,567,18.9,0.952381,4.761905,12,22,15-Feb-16,10-Aug-17,8,2017,3
,Zomba 4,80040151,10,423,14.1,0.7092198,3.546099,6,12,17may2016,14-Jul-17,7,2017,3
,Zomba 4,80040152,4,326,10.86667,0.3680982,1.840491,3,6,18-Jun-16,10may2017,5,2017,3
,Zomba 4,80040153,12,422,14.06667,0.8530806,4.265403,7,14,29-Feb-16,26-Apr-17,4,2017,3
,Zomba 4,80040154,12,668,22.26667,0.5389222,2.694611,8,16,31-Aug-15,27-Jun-17,6,2017,3
,Zomba 4,80040155,6,312,10.4,0.5769231,2.884615,4,8,18-Jun-16,26-Apr-17,4,2017,3
,Zomba 4,80040156,8,398,13.26667,0.6030151,3.015075,5,10,17may2016,19-Jun-17,6,2017,3
,Zomba 4,80040157,20,495,16.5,1.212121,6.060606,12,24,05-Apr-16,07-Aug-17,8,2017,3
,Zomba 4,80040159,6,677,22.56667,0.2658789,1.329394,6,12,01-Sep-15,07-Jul-17,7,2017,3
,Zomba 4,80040160,7,364,12.13333,0.5769231,2.884615,5,9,02oct2015,30-Sep-16,9,2016,3
,Zomba 4,80040162,4,461,15.36667,0.2603037,1.301518,5,10,11-Jan-16,19-Apr-17,4,2017,3
,Zomba 4,80040163,12,518,17.26667,0.6949807,3.474903,7,14,27-Jan-16,28-Jun-17,6,2017,3
,Zomba 4,80040164,28,558,18.6,1.505376,7.526882,16,32,22-Feb-16,18-Aug-17,8,2017,3
,Zomba 4,80040166,6,440,14.66667,0.4090909,2.045455,4,8,06may2016,20-Jul-17,7,2017,3
,Zomba 4,80040167,12,711,23.7,0.5063291,2.531646,8,16,23-Sep-15,27-Aug-17,8,2017,3
,Zomba 4,80040169,2,263,8.766666,0.2281369,1.140684,2,4,05may2016,23-Jan-17,1,2017,3
,Zomba 4,80040170,18,633,21.1,0.8530806,4.265403,12,24,22-Sep-15,31may2017,5,2017,3
,Zomba 4,80040171,4,124,4.133333,0.967742,4.83871,3,8,13-Jan-17,17may2017,5,2017,3
,Zomba 4,80040172,4,255,8.5,0.4705882,2.352941,3,6,15-Aug-16,27-Apr-17,4,2017,3
,Zomba 4,80040173,12,525,17.5,0.6857143,3.428571,8,16,09-Nov-15,19-Apr-17,4,2017,3
,Zomba 4,80040174,12,456,15.2,0.7894737,3.947369,7,16,11-Feb-16,12may2017,5,2017,3
,Zomba 4,80040175,28,560,18.66667,1.5,7.5,12,30,11-Feb-16,24-Aug-17,8,2017,3
,Zomba 4,80040176,30,681,22.7,1.321586,6.607929,15,36,01-Sep-15,04-Jul-17,7,2017,3
,Zomba 4,80040177,32,721,24.03333,1.331484,6.65742,18,38,18-Sep-15,18-Aug-17,8,2017,3
,Zomba 4,80040178,38,642,21.4,1.775701,8.878505,20,44,29-Sep-15,05-Jul-17,7,2017,3
,Zomba 4,80040179,22,660,22,1,5,11,26,31-Aug-15,21-Jun-17,6,2017,3
,Zomba 4,80040180,29,691,23.03333,1.259045,6.295224,17,33,21-Sep-15,07-Aug-17,8,2017,3
,Zomba 4,80040181,12,621,20.7,0.5797101,2.898551,8,16,09-Sep-15,10may2017,5,2017,3
,Zomba 4,80040182,17,672,22.4,0.7589286,3.794643,10,21,28-Sep-15,31-Jul-17,7,2017,3
,Zomba 4,80040184,14,497,16.56667,0.8450704,4.225352,8,18,06-Apr-16,18-Aug-17,8,2017,3
,Zomba 4,80040185,4,560,18.66667,0.2142857,1.071429,3,6,25-Jan-16,07-Aug-17,8,2017,3
,Zomba 4,80040186,12,454,15.13333,0.7929515,3.964758,8,16,09-Feb-16,08may2017,5,2017,3
,Zomba 4,80040187,16,610,20.33333,0.7868852,3.934426,9,26,06dec2015,08-Aug-17,8,2017,3
,Zomba 4,80040188,10,700,23.33333,0.4285714,2.142857,6,12,23-Sep-15,23-Aug-17,8,2017,3
,Zomba 4,80040189,12,595,19.83333,0.605042,3.02521,7,16,16-Sep-15,03may2017,5,2017,3
,Zomba 4,80040190,10,467,15.56667,0.6423983,3.211992,6,14,13-Jan-16,24-Apr-17,4,2017,3
,Zomba 4,80040191,21,558,18.6,1.129032,5.645161,12,23,10-Feb-16,21-Aug-17,8,2017,3
,Zomba 4,80040192,6,655,21.83333,0.2748092,1.374046,5,10,23-Sep-15,23-Jun-17,6,2017,3
,Zomba 4,80040193,4,259,8.633333,0.4633205,2.316602,3,6,01-Nov-16,18-Jul-17,7,2017,3
,Zomba 4,80040194,10,541,18.03333,0.5545287,2.772643,6,14,27-Jan-16,21-Jul-17,7,2017,3
,Zomba 4,80040195,10,497,16.56667,0.6036217,3.018109,5,14,11-Apr-16,21-Aug-17,8,2017,3
,Zomba 4,80040196,2,12,0.4,5,25,3,6,26-Jan-16,11-Feb-16,2,2016,3
,Zomba 4,80040197,18,501,16.7,1.077844,5.389221,6,20,04mar2016,18-Jul-17,7,2017,3
,Zomba 4,80040198,4,396,13.2,0.3030303,1.515152,3,6,08-Jan-16,07-Feb-17,2,2017,3
,Zomba 4,80040199,8,553,18.43333,0.4339964,2.169982,5,10,15dec2015,20-Jun-17,6,2017,3
,Zomba 4,80040201,6,334,11.13333,0.5389222,2.694611,5,10,22-Jun-16,22may2017,5,2017,3
,Zomba 4,80040202,40,692,23.06667,1.734104,8.67052,21,42,29-Sep-15,21-Aug-17,8,2017,3
,Zomba 4,80040203,6,471,15.7,0.3821656,1.910828,4,8,11-Jan-16,26-Apr-17,4,2017,3
,Zomba 4,80040204,2,379,12.63333,0.1583114,0.7915568,2,4,08-Feb-16,21-Feb-17,2,2017,3
,Zomba 4,80040205,13,682,22.73333,0.5718475,2.859237,8,15,05oct2015,17-Aug-17,8,2017,3
,Zomba 4,80040206,6,378,12.6,0.4761904,2.380952,4,8,05-Apr-16,18-Apr-17,4,2017,3
,Zomba 4,80040208,22,666,22.2,0.9909909,4.954955,15,30,31-Aug-15,02-Jun-17,6,2017,3
,Zomba 4,80040209,26,687,22.9,1.135371,5.676856,14,28,29-Sep-15,16-Aug-17,8,2017,3
,Zomba 4,80040210,10,476,15.86667,0.6302521,3.151261,6,12,01-Apr-16,21-Jul-17,7,2017,3
,Zomba 4,80040211,2,49,1.633333,1.22449,6.122449,2,4,21-Jun-17,09-Aug-17,8,2017,3
,Zomba 4,80040212,20,668,22.26667,0.8982036,4.491018,11,22,02oct2015,31-Jul-17,7,2017,3
,Zomba 4,80040213,12,390,13,0.9230769,4.615385,8,16,30-Jun-16,28-Jul-17,7,2017,3
,Zomba 4,80040214,6,457,15.23333,0.3938731,1.969365,4,8,25-Jan-16,26-Apr-17,4,2017,3
,Zomba 4,80040215,18,599,19.96667,0.9015025,4.507513,10,20,28-Aug-15,18-Apr-17,4,2017,3
