id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 3,80020244,10,511,17.03333,0.5870842,2.935421,5,14,23-Feb-16,18-Jul-17,7,2017,3
,Zomba 3,80020245,12,404,13.46667,0.8910891,4.455446,4,16,11mar2016,19-Apr-17,4,2017,3
,Zomba 3,80020249,4,440,14.66667,0.2727273,1.363636,2,8,18mar2016,01-Jun-17,6,2017,3
,Zomba 3,80020251,8,318,10.6,0.7547169,3.773585,4,12,15-Feb-16,29dec2016,12,2016,3
,Zomba 3,80020252,30,513,17.1,1.754386,8.77193,9,34,10-Feb-16,07-Jul-17,7,2017,3
,Zomba 3,80020253,8,483,16.1,0.4968944,2.484472,3,12,25-Apr-16,21-Aug-17,8,2017,3
,Zomba 3,80020254,4,478,15.93333,0.251046,1.25523,3,6,30mar2016,21-Jul-17,7,2017,3
,Zomba 3,80020255,12,457,15.23333,0.7877461,3.938731,6,14,29-Feb-16,31may2017,5,2017,3
,Zomba 3,80020256,30,613,20.43333,1.468189,7.340946,16,32,09-Nov-15,14-Jul-17,7,2017,3
,Zomba 3,80020257,6,379,12.63333,0.474934,2.37467,4,9,14-Jul-16,28-Jul-17,7,2017,3
,Zomba 3,80020258,19,617,20.56667,0.9238249,4.619124,11,31,16dec2015,23-Aug-17,8,2017,3
,Zomba 3,80020259,20,584,19.46667,1.027397,5.136986,10,22,08-Jan-16,14-Aug-17,8,2017,3
,Zomba 3,80020260,20,534,17.8,1.123596,5.617978,12,24,19-Jan-16,07-Jul-17,7,2017,3
,Zomba 3,80020261,10,466,15.53333,0.6437768,3.218884,6,16,14-Jan-16,24-Apr-17,4,2017,3
,Zomba 3,80020262,36,695,23.16667,1.553957,7.769784,13,44,05oct2015,11-Aug-17,8,2017,3
,Zomba 3,80020263,9.5,333,11.1,0.8558558,4.279279,4,12,25-Jul-16,23-Jun-17,6,2017,3
,Zomba 3,80020264,18,451,15.03333,1.197339,5.986696,7,22,29mar2016,23-Jun-17,6,2017,3
,Zomba 3,80020265,10,569,18.96667,0.5272408,2.636204,4,14,09-Sep-15,31mar2017,3,2017,3
,Zomba 3,80020266,10,596,19.86667,0.5033557,2.516778,6,18,11-Jan-16,29-Aug-17,8,2017,3
,Zomba 3,80020267,2,8,0.2666667,7.5,37.5,2,4,12-Jan-16,20-Jan-16,1,2016,3
,Zomba 3,80020268,52,602,20.06667,2.591362,12.95681,18,64,11-Jan-16,07-Aug-17,8,2017,3
,Zomba 3,80020269,12,395,13.16667,0.9113924,4.556962,5,14,14mar2016,13-Apr-17,4,2017,3
,Zomba 3,80020270,4,86,2.866667,1.395349,6.976745,2,8,17-Jan-17,13-Apr-17,4,2017,3
,Zomba 3,80020271,9,394,13.13333,0.6852792,3.426396,7,15,16-Apr-16,19may2017,5,2017,3
,Zomba 3,80020272,12,462,15.4,0.7792208,3.896104,8,16,12-Feb-16,22may2017,5,2017,3
