ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK4
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,KBK3
,,,,,,,3,2014,2,MFW
,,,,,,,3,2014,2,MFW
,,,,,,,3,2014,2,MFW
,,,,,,,3,2014,2,MFW
,.s,.s,,,,,3,2014,2,MFW
,,,,,,,3,2014,2,MFW
,.s,.s,,,,,3,2014,2,MFW
,.s,.s,,,,,3,2014,2,MFW
,,,,,,,3,2014,2,MFW
,1,0,,,,,3,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,KBK3
,,,,,,,4,2014,2,KBK4
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
,,,,,,,4,2014,2,MFW
