ID,vcs201_attendees_total,vcs011_prgrm,month,year,country
,46,SRK,10,2014,2
,33,SRK,10,2014,2
,48,SRK,10,2014,2
,35,SRK,10,2014,2
,20,SRK,10,2014,2
,24,SRK,10,2014,2
,37,SRK,10,2014,2
,26,SRK,10,2014,2
,29,SRK,10,2014,2
,19,SRK,10,2014,2
,24,SRK,10,2014,2
,24,SRK,10,2014,2
,26,SRK,10,2014,2
,31,SRK,10,2014,2
,25,SRK,10,2014,2
,31,SRK,10,2014,2
,46,SRK,10,2014,2
,31,SRK,10,2014,2
,30,SRK,10,2014,2
,35,SRK,10,2014,2
,31,SRK,10,2014,2
,37,SRK,10,2014,2
,36,SRK,10,2014,2
,24,SRK,10,2014,2
,30,SRK,10,2014,2
,25,SRK,10,2014,2
,19,SRK,10,2014,2
,20,SRK,10,2014,2
,30,SRK,10,2014,2
,47,SRK,10,2014,2
,38,SRK,10,2014,2
,35,SRK,10,2014,2
,35,SRK,10,2014,2
,35,SRK,10,2014,2
,40,SRK,10,2014,2
,40,SRK,10,2014,2
,41,SRK,10,2014,2
,22,SRK,10,2014,2
,36,SRK,10,2014,2
,25,SRK,10,2014,2
,42,SRK,10,2014,2
,42,SRK,10,2014,2
,35,SRK,10,2014,2
,25,SRK,10,2014,2
,46,SRK,10,2014,2
,28,MFW,10,2014,2
,36,SRK,10,2014,2
,52,SRK,10,2014,2
,31,SRK,10,2014,2
,32,SRK,10,2014,2
,28,SRK,10,2014,2
,32,SRK,10,2014,2
,25,SRK,10,2014,2
,34,SRK,10,2014,2
,25,SRK,10,2014,2
,21,SRK,10,2014,2
,31,SRK,10,2014,2
,37,SRK,10,2014,2
,32,SRK,10,2014,2
,40,SRK,10,2014,2
,34,SRK,10,2014,2
,34,SRK,10,2014,2
,30,SRK,10,2014,2
,42,SRK,10,2014,2
,22,SRK,10,2014,2
,25,SRK,10,2014,2
,28,SRK,10,2014,2
,24,SRK,10,2014,2
,33,SRK,10,2014,2
,37,SRK,10,2014,2
,28,SRK,10,2014,2
,30,SRK,10,2014,2
,33,SRK,10,2014,2
,28,SRK,10,2014,2
,35,SRK,10,2014,2
,49,SRK,10,2014,2
,48,SRK,10,2014,2
,27,SRK,10,2014,2
,34,SRK,10,2014,2
,23,SRK,10,2014,2
,11,SRK,10,2014,2
,16,SRK,10,2014,2
,30,SRK,10,2014,2
,29,SRK,10,2014,2
,16,SRK,10,2014,2
,32,SRK,10,2014,2
,45,SRK,10,2014,2
,44,SRK,10,2014,2
,32,SRK,10,2014,2
,24,SRK,10,2014,2
,25,SRK,10,2014,2
,23,SRK,10,2014,2
,19,SRK,10,2014,2
,18,SRK,10,2014,2
,21,SRK,10,2014,2
,98,SRK,10,2014,2
,33,SRK,10,2014,2
,33,SRK,10,2014,2
,41,SRK,10,2014,2
,35,SRK,10,2014,2
,25,SRK,10,2014,2
,57,SRK,10,2014,2
,26,SRK,10,2014,2
,28,SRK,10,2014,2
,30,SRK,10,2014,2
,24,SRK,10,2014,2
,29,SRK,10,2014,2
,24,SRK,10,2014,2
,24,SRK,10,2014,2
,26,MBL,10,2014,2
,41,SRK,10,2014,2
,25,SRK,10,2014,2
,30,SRK,10,2014,2
,24,SRK,10,2014,2
,24,SRK,10,2014,2
,21,SRK,10,2014,2
,21,SRK,10,2014,2
,45,SRK,10,2014,2
,39,SRK,10,2014,2
,24,SRK,10,2014,2
,20,SRK,10,2014,2
,33,SRK,10,2014,2
,34,SRK,10,2014,2
,32,SRK,10,2014,2
,29,SRK,10,2014,2
,42,SRK,10,2014,2
,28,SRK,10,2014,2
,19,SRK,10,2014,2
,33,SRK,10,2014,2
,39,SRK,10,2014,2
,27,SRK,10,2014,2
,32,SRK,10,2014,2
,24,SRK,10,2014,2
,38,SRK,10,2014,2
,35,SRK,10,2014,2
,25,SRK,10,2014,2
,50,SRK,10,2014,2
,41,SRK,10,2014,2
,30,SRK,10,2014,2
,49,SRK,10,2014,2
,24,SRK,10,2014,2
,35,SRK,10,2014,2
,40,SRK,10,2014,2
,34,SRK,10,2014,2
,30,SRK,10,2014,2
,38,SRK,10,2014,2
,31,SRK,10,2014,2
,44,SRK,10,2014,2
,34,SRK,10,2014,2
,37,SRK,10,2014,2
,31,SRK,10,2014,2
,49,SRK,10,2014,2
,36,SRK,10,2014,2
,39,SRK,10,2014,2
,40,SRK,10,2014,2
,47,SRK,10,2014,2
,40,SRK,10,2014,2
,46,SRK,10,2014,2
,33,SRK,10,2014,2
,44,SRK,10,2014,2
,66,SRK,10,2014,2
,41,SRK,10,2014,2
,28,SRK,10,2014,2
,31,SRK,10,2014,2
,38,SRK,10,2014,2
,29,SRK,10,2014,2
,30,SRK,10,2014,2
,22,SRK,10,2014,2
,31,SRK,10,2014,2
,32,SRK,10,2014,2
,23,SRK,10,2014,2
,61,SRK,10,2014,2
,22,SRK,10,2014,2
,44,SRK,10,2014,2
,25,SRK,10,2014,2
,31,SRK,10,2014,2
,63,SRK,10,2014,2
,66,SRK,10,2014,2
,41,SRK,10,2014,2
,54,SRK,10,2014,2
,41,SRK,10,2014,2
,46,SRK,10,2014,2
,29,SRK,10,2014,2
,25,SRK,10,2014,2
,38,SRK,10,2014,2
,22,SRK,10,2014,2
,30,SRK,10,2014,2
,31,SRK,10,2014,2
,31,SRK,10,2014,2
,36,SRK,10,2014,2
,37,SRK,10,2014,2
,30,SRK,10,2014,2
,34,SRK,10,2014,2
,23,SRK,10,2014,2
,37,SRK,10,2014,2
,41,SRK,10,2014,2
,49,SRK,10,2014,2
,64,SRK,10,2014,2
,25,SRK,10,2014,2
,103,SRK,10,2014,2
,25,SRK,10,2014,2
,38,SRK,10,2014,2
,29,SRK,10,2014,2
,40,SRK,10,2014,2
,32,SRK,10,2014,2
,40,SRK,10,2014,2
,45,SRK,10,2014,2
,49,SRK,10,2014,2
,33,SRK,10,2014,2
,44,SRK,10,2014,2
,35,SRK,10,2014,2
,33,SRK,10,2014,2
,40,SRK,10,2014,2
,73,SRK,10,2014,2
,33,SRK,10,2014,2
,30,SRK,10,2014,2
,33,SRK,10,2014,2
,24,SRK,10,2014,2
,26,SRK,10,2014,2
,32,SRK,10,2014,2
,28,SRK,10,2014,2
,37,SRK,10,2014,2
,37,SRK,10,2014,2
,36,SRK,10,2014,2
,36,SRK,10,2014,2
,24,SRK,10,2014,2
,30,SRK,10,2014,2
,35,SRK,10,2014,2
,42,SRK,10,2014,2
,45,SRK,10,2014,2
,24,SRK,10,2014,2
,26,SRK,10,2014,2
,51,SRK,10,2014,2
,31,SRK,10,2014,2
,28,SRK,10,2014,2
,27,SRK,10,2014,2
,54,SRK,10,2014,2
,31,SRK,10,2014,2
,51,SRK,10,2014,2
,31,SRK,10,2014,2
,31,SRK,10,2014,2
,35,SRK,10,2014,2
,30,SRK,10,2014,2
,49,SRK,10,2014,2
,34,SRK,10,2014,2
,53,SRK,10,2014,2
,27,SRK,10,2014,2
,48,SRK,10,2014,2
,42,SRK,10,2014,2
,43,SRK,10,2014,2
,52,SRK,10,2014,2
,31,SRK,10,2014,2
,32,SRK,10,2014,2
,23,SRK,10,2014,2
,23,SRK,10,2014,2
,24,SRK,10,2014,2
,30,SRK,10,2014,2
,30,SRK,10,2014,2
,31,SRK,10,2014,2
,31,SRK,10,2014,2
,29,SRK,10,2014,2
,22,SRK,10,2014,2
