ID,vcs201_attendees_total,vcs011_prgrm,year,vcs009_country,vcs014_mtg_date
,35,Manafwa,2014,Uganda,13-Nov-13
,44,Manafwa,2014,Uganda,13-Nov-13
,58,Namutumba,2014,Uganda,13-Nov-13
,48,Manafwa,2014,Uganda,13-Nov-13
,104,Manafwa,2014,Uganda,13-Nov-13
,69,Manafwa,2014,Uganda,14-Nov-13
,30,Manafwa,2014,Uganda,14-Nov-13
,59,Manafwa,2014,Uganda,14-Nov-13
,43,Manafwa,2014,Uganda,14-Nov-13
,40,Manafwa,2014,Uganda,14-Nov-13
,46,Manafwa,2014,Uganda,14-Nov-13
,41,Manafwa,2014,Uganda,14-Nov-13
,50,Manafwa,2014,Uganda,14-Nov-13
,25,Manafwa,2014,Uganda,14-Nov-13
,40,Manafwa,2014,Uganda,14-Nov-13
,99,Manafwa,2014,Uganda,14-Nov-13
,47,Manafwa,2014,Uganda,14-Nov-13
,26,Manafwa,2014,Uganda,14-Nov-13
,26,Manafwa,2014,Uganda,14-Nov-13
,40,Manafwa,2014,Uganda,14-Nov-13
,37,Manafwa,2014,Uganda,14-Nov-13
,49,Manafwa,2014,Uganda,18-Nov-13
,43,Manafwa,2014,Uganda,19-Nov-13
,45,Manafwa,2014,Uganda,19-Nov-13
,30,Manafwa,2014,Uganda,19-Nov-13
,57,Manafwa,2014,Uganda,20-Nov-13
,52,Manafwa,2014,Uganda,20-Nov-13
,26,Manafwa,2014,Uganda,20-Nov-13
,34,Manafwa,2014,Uganda,20-Nov-13
,43,Manafwa,2014,Uganda,20-Nov-13
,57,Manafwa,2014,Uganda,20-Nov-13
,38,Manafwa,2014,Uganda,20-Nov-13
,35,Manafwa,2014,Uganda,20-Nov-13
,34,Manafwa,2014,Uganda,21-Nov-13
,29,Manafwa,2014,Uganda,21-Nov-13
,34,Manafwa,2014,Uganda,21-Nov-13
,52,Manafwa,2014,Uganda,21-Nov-13
,47,Manafwa,2014,Uganda,21-Nov-13
,57,Manafwa,2014,Uganda,21-Nov-13
,39,Manafwa,2014,Uganda,21-Nov-13
,36,Manafwa,2014,Uganda,21-Nov-13
,31,Manafwa,2014,Uganda,21-Nov-13
,35,Manafwa,2014,Uganda,21-Nov-13
,50,Manafwa,2014,Uganda,21-Nov-13
,52,Manafwa,2014,Uganda,21-Nov-13
,63,Manafwa,2014,Uganda,21-Nov-13
,36,Manafwa,2014,Uganda,22-Nov-13
,72,Manafwa,2014,Uganda,22-Nov-13
,57,Manafwa,2014,Uganda,22-Nov-13
,44,Manafwa,2014,Uganda,22-Nov-13
,31,Manafwa,2014,Uganda,22-Nov-13
,66,Manafwa,2014,Uganda,22-Nov-13
,24,Manafwa,2014,Uganda,22-Nov-13
,36,Manafwa,2014,Uganda,22-Nov-13
,45,Manafwa,2014,Uganda,23-Nov-13
,49,Manafwa,2014,Uganda,23-Nov-13
,33,Manafwa,2014,Uganda,23-Nov-13
,60,Manafwa,2014,Uganda,23-Nov-13
,48,Manafwa,2014,Uganda,23-Nov-13
,48,Manafwa,2014,Uganda,23-Nov-13
,36,Manafwa,2014,Uganda,23-Nov-13
,57,Manafwa,2014,Uganda,23-Nov-13
,71,Manafwa,2014,Uganda,23-Nov-13
,78,Manafwa,2014,Uganda,23-Nov-13
,70,Manafwa,2014,Uganda,23-Nov-13
,35,Manafwa,2014,Uganda,23-Nov-13
,35,Manafwa,2014,Uganda,23-Nov-13
,46,Manafwa,2014,Uganda,23-Nov-13
,52,Manafwa,2014,Uganda,23-Nov-13
,52,Manafwa,2014,Uganda,24-Nov-13
,42,Manafwa,2014,Uganda,25-Nov-13
,64,Manafwa,2014,Uganda,25-Nov-13
,29,Manafwa,2014,Uganda,25-Nov-13
,70,Manafwa,2014,Uganda,25-Nov-13
,30,Manafwa,2014,Uganda,25-Nov-13
,40,Manafwa,2014,Uganda,25-Nov-13
,64,Manafwa,2014,Uganda,25-Nov-13
,40,Manafwa,2014,Uganda,25-Nov-13
,35,Manafwa,2014,Uganda,25-Nov-13
,98,Manafwa,2014,Uganda,25-Nov-13
,56,Manafwa,2014,Uganda,25-Nov-13
,65,Manafwa,2014,Uganda,25-Nov-13
,27,Manafwa,2014,Uganda,25-Nov-13
,37,Sironko,2014,Uganda,26-Nov-13
,42,Manafwa,2014,Uganda,26-Nov-13
,32,Manafwa,2014,Uganda,26-Nov-13
,48,Manafwa,2014,Uganda,26-Nov-13
,43,Manafwa,2014,Uganda,26-Nov-13
,25,Manafwa,2014,Uganda,26-Nov-13
,63,Manafwa,2014,Uganda,28-Nov-13
,57,Manafwa,2014,Uganda,28-Nov-13
,41,Manafwa,2014,Uganda,29-Nov-13
,57,Manafwa,2014,Uganda,29-Nov-13
,38,Manafwa,2014,Uganda,29-Nov-13
,86,Manafwa,2014,Uganda,29-Nov-13
,44,Manafwa,2014,Uganda,29-Nov-13
,47,Manafwa,2014,Uganda,29-Nov-13
,34,Manafwa,2014,Uganda,29-Nov-13
,70,Manafwa,2014,Uganda,29-Nov-13
,35,Manafwa,2014,Uganda,29-Nov-13
,43,Manafwa,2014,Uganda,29-Nov-13
,32,Manafwa,2014,Uganda,29-Nov-13
,30,Manafwa,2014,Uganda,29-Nov-13
,43,Manafwa,2014,Uganda,29-Nov-13
,32,Manafwa,2014,Uganda,29-Nov-13
,38,Manafwa,2014,Uganda,29-Nov-13
,70,Manafwa,2014,Uganda,30-Nov-13
,43,Manafwa,2014,Uganda,30-Nov-13
,40,Manafwa,2014,Uganda,30-Nov-13
