ID,cem301_attendees_total,month,year,country
,33,5,2013,2
,42,5,2013,2
,21,5,2013,2
,40,5,2013,2
,39,5,2013,2
,25,5,2013,2
,61,5,2013,2
,86,5,2013,2
,74,5,2013,2
,54,5,2013,2
,60,5,2013,2
,32,5,2013,2
,33,5,2013,2
,41,5,2013,2
,59,5,2013,2
,28,5,2013,2
,40,5,2013,2
,41,5,2013,2
,13,5,2013,2
,56,5,2013,2
,31,5,2013,2
,50,5,2013,2
,42,5,2013,2
,35,5,2013,2
,31,5,2013,2
,55,5,2013,2
,34,5,2013,2
,42,5,2013,2
,38,5,2013,2
,28,5,2013,2
,61,5,2013,2
,25,5,2013,2
,43,5,2013,2
,40,5,2013,2
,25,5,2013,2
,28,5,2013,2
,35,5,2013,2
,40,5,2013,2
,24,5,2013,2
,38,5,2013,2
,18,5,2013,2
,51,5,2013,2
,20,5,2013,2
,38,5,2013,2
,30,5,2013,2
,43,5,2013,2
,30,5,2013,2
,50,5,2013,2
,47,5,2013,2
,60,5,2013,2
,32,5,2013,2
,55,5,2013,2
,35,5,2013,2
,23,5,2013,2
,40,5,2013,2
,29,5,2013,2
,30,5,2013,2
,40,5,2013,2
,28,5,2013,2
,25,5,2013,2
,61,5,2013,2
,45,5,2013,2
,30,5,2013,2
,80,5,2013,2
,52,5,2013,2
,55,5,2013,2
,50,5,2013,2
,35,5,2013,2
,30,5,2013,2
,50,5,2013,2
,49,5,2013,2
,40,5,2013,2
,61,5,2013,2
,29,5,2013,2
,61,5,2013,2
,56,5,2013,2
,50,5,2013,2
,22,5,2013,2
,25,5,2013,2
,30,5,2013,2
,22,5,2013,2
,50,5,2013,2
,25,5,2013,2
,30,5,2013,2
,57,5,2013,2
,42,5,2013,2
,45,5,2013,2
,35,5,2013,2
,23,5,2013,2
,37,5,2013,2
,27,5,2013,2
,29,5,2013,2
,25,5,2013,2
,21,5,2013,2
,64,5,2013,2
,28,5,2013,2
,20,5,2013,2
,44,5,2013,2
,39,5,2013,2
,55,5,2013,2
,36,5,2013,2
,74,5,2013,2
,41,5,2013,2
,48,5,2013,2
,34,5,2013,2
,41,5,2013,2
,39,5,2013,2
,50,5,2013,2
,37,5,2013,2
,63,5,2013,2
,28,5,2013,2
,20,5,2013,2
,55,5,2013,2
,69,5,2013,2
,16,5,2013,2
,36,5,2013,2
,36,5,2013,2
,47,5,2013,2
,50,5,2013,2
,23,5,2013,2
,50,5,2013,2
,33,7,2013,2
,50,7,2013,2
,58,7,2013,2
,25,7,2013,2
,45,7,2013,2
,35,7,2013,2
,52,7,2013,2
,45,7,2013,2
,35,7,2013,2
,50,7,2013,2
,26,7,2013,2
,30,7,2013,2
,49,7,2013,2
,53,7,2013,2
,29,7,2013,2
,33,7,2013,2
,34,7,2013,2
,31,7,2013,2
,42,7,2013,2
,69,7,2013,2
,28,7,2013,2
,49,7,2013,2
,44,7,2013,2
,31,7,2013,2
,24,7,2013,2
,21,7,2013,2
,68,7,2013,2
,14,7,2013,2
,20,7,2013,2
,43,7,2013,2
,47,7,2013,2
,61,7,2013,2
,53,7,2013,2
,24,7,2013,2
,45,7,2013,2
,46,8,2013,2
,30,8,2013,2
,48,8,2013,2
,22,8,2013,2
,31,8,2013,2
,29,8,2013,2
,29,8,2013,2
,33,8,2013,2
,40,8,2013,2
,18,8,2013,2
,15,8,2013,2
,54,8,2013,2
,32,8,2013,2
,34,8,2013,2
,25,8,2013,2
,40,8,2013,2
,31,8,2013,2
,39,8,2013,2
,38,8,2013,2
,51,8,2013,2
,29,8,2013,2
,45,8,2013,2
,42,8,2013,2
,48,8,2013,2
,41,8,2013,2
,17,8,2013,2
,24,8,2013,2
,51,8,2013,2
,21,8,2013,2
,30,8,2013,2
,40,8,2013,2
,46,8,2013,2
,30,8,2013,2
,51,8,2013,2
,21,8,2013,2
,34,8,2013,2
,52,8,2013,2
,30,8,2013,2
,50,8,2013,2
,30,8,2013,2
,52,8,2013,2
,25,8,2013,2
,89,8,2013,2
,39,8,2013,2
,35,8,2013,2
,30,8,2013,2
,56,8,2013,2
,35,8,2013,2
,45,8,2013,2
,30,8,2013,2
,28,8,2013,2
,42,8,2013,2
,33,8,2013,2
,22,8,2013,2
,10,8,2013,2
,24,8,2013,2
,24,8,2013,2
,48,8,2013,2
,53,8,2013,2
,35,8,2013,2
,23,8,2013,2
,34,8,2013,2
,52,8,2013,2
,24,8,2013,2
,41,8,2013,2
,28,8,2013,2
,41,8,2013,2
,28,8,2013,2
,34,8,2013,2
,49,8,2013,2
,30,8,2013,2
,50,8,2013,2
,72,8,2013,2
,48,8,2013,2
,22,8,2013,2
,30,8,2013,2
,66,8,2013,2
,51,8,2013,2
,25,8,2013,2
,34,8,2013,2
,46,8,2013,2
,28,8,2013,2
,32,8,2013,2
,20,8,2013,2
,45,8,2013,2
,69,8,2013,2
,25,8,2013,2
,37,8,2013,2
,17,8,2013,2
,39,8,2013,2
,38,8,2013,2
,32,8,2013,2
,52,8,2013,2
,48,8,2013,2
,58,8,2013,2
,46,8,2013,2
,23,8,2013,2
,30,8,2013,2
,42,8,2013,2
,20,8,2013,2
,28,8,2013,2
,37,8,2013,2
,57,8,2013,2
,27,8,2013,2
,37,8,2013,2
,40,8,2013,2
,32,8,2013,2
,16,8,2013,2
,21,8,2013,2
,43,8,2013,2
,23,8,2013,2
,28,8,2013,2
,32,8,2013,2
,36,8,2013,2
,52,8,2013,2
,41,8,2013,2
,41,8,2013,2
,48,8,2013,2
,32,8,2013,2
,20,8,2013,2
,51,1,2014,2
,42,1,2014,2
,35,1,2014,2
,60,1,2014,2
,41,1,2014,2
,35,1,2014,2
,22,1,2014,2
,63,1,2014,2
,58,1,2014,2
,76,1,2014,2
,53,1,2014,2
,63,1,2014,2
,84,1,2014,2
,79,1,2014,2
,54,1,2014,2
,56,1,2014,2
,32,1,2014,2
,50,1,2014,2
,57,1,2014,2
,51,1,2014,2
,29,1,2014,2
,71,1,2014,2
,45,1,2014,2
,22,1,2014,2
,37,1,2014,2
,21,1,2014,2
,98,1,2014,2
,50,1,2014,2
,39,1,2014,2
,31,1,2014,2
,50,1,2014,2
,84,1,2014,2
,25,1,2014,2
,59,1,2014,2
,75,1,2014,2
,44,1,2014,2
,54,1,2014,2
,65,1,2014,2
,38,1,2014,2
,98,1,2014,2
,104,1,2014,2
,24,1,2014,2
,30,1,2014,2
,62,1,2014,2
,30,1,2014,2
,70,1,2014,2
,44,1,2014,2
,81,1,2014,2
,21,1,2014,2
,35,1,2014,2
