id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,17,Busia,10,2014,1
,18,Busia,6,2014,1
,25,Busia,1,2015,1
,16,Busia,6,2014,1
,19,Busia,6,2014,1
,15,Busia,12,2014,1
,51,Busia,12,2014,1
,18,Busia,6,2014,1
,14,Busia,6,2014,1
,12,Busia,6,2014,1
,16,Busia,6,2014,1
,19,Busia,6,2014,1
,12,Busia,6,2014,1
,20,Busia,6,2014,1
,15,Busia,6,2014,1
,19,Busia,7,2014,1
,16,Busia,6,2014,1
,25,Busia,6,2014,1
,10,Busia,6,2014,1
,22,Busia,6,2014,1
,16,Busia,6,2014,1
,24,Busia,6,2014,1
,12,Busia,6,2014,1
,30,Busia,1,2015,1
,15,Busia,1,2015,1
,31,Busia,12,2014,1
,17,Busia,6,2014,1
,19,Busia,6,2014,1
,18,Busia,6,2014,1
,16,Busia,12,2014,1
,16,Busia,6,2014,1
,22,Busia,1,2015,1
,33,Busia,2,2015,1
,13,Kakamega,5,2014,1
,14,Kakamega,6,2014,1
,17,Kakamega,1,2015,1
,19,Kakamega,6,2014,1
,25,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,6,Kakamega,5,2014,1
,18,Kakamega,6,2014,1
,14,Kakamega,5,2014,1
,7,Kakamega,5,2014,1
,22,Kakamega,5,2014,1
,10,Kakamega,5,2014,1
,20,Kakamega,6,2014,1
,12,Kakamega,5,2014,1
,19,Kakamega,5,2014,1
,22,Kakamega,5,2014,1
,19,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,23,Kakamega,6,2014,1
,10,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,21,Kakamega,6,2014,1
,16,Kakamega,5,2014,1
,19,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,19,Kakamega,6,2014,1
,16,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,14,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,13,Kakamega,6,2014,1
,15,Kakamega,5,2014,1
,18,Kakamega,5,2014,1
,16,Kakamega,5,2014,1
,15,Kakamega,5,2014,1
,18,Kakamega,5,2014,1
,21,One Acre Fund,7,2013,1
,21,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,36,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,16,One Acre Fund,7,2013,1
,25,One Acre Fund,7,2013,1
,19,One Acre Fund,7,2013,1
,34,One Acre Fund,7,2013,1
,49,One Acre Fund,7,2013,1
,31,One Acre Fund,7,2013,1
,28,One Acre Fund,7,2013,1
,24,One Acre Fund,7,2013,1
,21,One Acre Fund,5,2013,1
,41,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,44,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,37,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,37,One Acre Fund,7,2013,1
,47,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,17,One Acre Fund,7,2013,1
,40,One Acre Fund,7,2013,1
,34,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,31,One Acre Fund,7,2013,1
,31,One Acre Fund,7,2013,1
,24,One Acre Fund,7,2013,1
,19,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,17,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,24,One Acre Fund,7,2013,1
,20,One Acre Fund,6,2013,1
,22,One Acre Fund,6,2013,1
,23,One Acre Fund,6,2013,1
,23,One Acre Fund,6,2013,1
,16,One Acre Fund,6,2013,1
,26,One Acre Fund,6,2013,1
,20,One Acre Fund,6,2013,1
,32,One Acre Fund,6,2013,1
,20,One Acre Fund,6,2013,1
,20,One Acre Fund,6,2013,1
,24,One Acre Fund,6,2013,1
,16,One Acre Fund,6,2013,1
,18,One Acre Fund,6,2013,1
,29,One Acre Fund,6,2013,1
,41,One Acre Fund,6,2013,1
,23,One Acre Fund,6,2013,1
,29,One Acre Fund,6,2013,1
,29,One Acre Fund,6,2013,1
,16,One Acre Fund,6,2013,1
,25,One Acre Fund,7,2013,1
,28,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,20,One Acre Fund,7,2013,1
,32,One Acre Fund,7,2013,1
,21,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,16,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,17,One Acre Fund,7,2013,1
,23,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,30,One Acre Fund,7,2013,1
,21,One Acre Fund,7,2013,1
,21,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,22,One Acre Fund,7,2013,1
,19,One Acre Fund,7,2013,1
,18,One Acre Fund,7,2013,1
,19,One Acre Fund,7,2013,1
,30,One Acre Fund,7,2013,1
,16,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,26,One Acre Fund,7,2013,1
,27,One Acre Fund,7,2013,1
