id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_wsb_talkedto,t302b_rep_wsb_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,1,2014,28-Jan-14
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,1,2014,28-Jan-14
,ZMB3,,1,,1,1,1,,3,3,,46.66667,1,3,7,2014,31-Jul-14
,ZMB3,0,,,,,1,,1,1,,,,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,36,1,3,8,2014,01-Aug-14
,ZMB3,,,,1,1,1,,3,3,10,112,1,3,8,2014,04-Aug-14
,ZMB3,,,,1,1,1,,3,3,,400,1,3,8,2014,04-Aug-14
,ZMB3,0,,,1,1,1,,1,3,,,,3,8,2014,06-Aug-14
,ZMB3,,,1,,,1,,3,3,,146.6667,1,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,223.3333,1,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,234,1,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,79.66666,1,3,8,2014,08-Aug-14
,ZMB3,,,,1,1,1,,3,3,,116.6667,1,3,8,2014,08-Aug-14
,ZMB3,,1,,0,,1,,3,3,,66.66666,1,3,8,2014,07-Aug-14
,ZMB3,,1,,0,,1,,3,3,,96.66666,1,3,8,2014,07-Aug-14
,ZMB3,,1,,0,,1,,3,3,,76.66666,1,3,8,2014,07-Aug-14
,ZMB3,,1,,0,,1,,3,3,,146.6667,1,3,8,2014,07-Aug-14
,ZMB3,,,,1,1,1,,3,3,,67.33334,1,3,8,2014,01-Aug-14
,ZMB3,,,,0,,1,,3,3,,190,1,3,8,2014,06-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,391.3333,1,3,8,2014,07-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,183.3333,1,3,8,2014,07-Aug-14
,ZMB3,,1,,1,1,1,,3,3,,45.83333,1,3,8,2014,08-Aug-14
,ZMB3,1,0,,,,,,,,,,,3,8,2014,07-Aug-14
,ZMB3,1,0,,,,,,,,,,,3,8,2014,08-Aug-14
,ZMB3,1,0,,,,,,,,,,,3,8,2014,08-Aug-14
