ID,cem301_attendees_total,cem011 prgrm,month,year,cem005_today
,28,Kibuku 1,4,2013,24-Apr-13
,38,Kibuku 3,4,2013,24-Apr-13
,44,Kibuku 3,4,2013,24-Apr-13
,59,Kibuku 3,4,2013,24-Apr-13
,41,Kibuku 3,4,2013,24-Apr-13
,32,Kibuku 3,4,2013,25-Apr-13
,35,Kibuku 3,4,2013,25-Apr-13
,36,Kibuku 4,4,2013,25-Apr-13
,21,Kibuku 1,4,2013,25-Apr-13
,38,Kibuku 3,4,2013,25-Apr-13
,37,Kibuku 3,4,2013,25-Apr-13
,37,Kibuku 3,4,2013,26-Apr-13
,54,Kibuku 3,4,2013,26-Apr-13
,27,Kibuku 3,4,2013,26-Apr-13
,55,Kibuku 3,4,2013,26-Apr-13
,58,Kibuku 3,4,2013,26-Apr-13
,41,Kibuku 3,4,2013,26-Apr-13
,40,Kibuku 3,4,2013,26-Apr-13
,28,Kibuku 3,4,2013,26-Apr-13
,30,Kibuku 3,4,2013,27-Apr-13
,54,Kibuku 3,4,2013,27-Apr-13
,22,Kibuku 3,4,2013,27-Apr-13
,35,Kibuku 3,4,2013,27-Apr-13
,35,Kibuku 3,4,2013,27-Apr-13
,66,Kibuku 3,4,2013,27-Apr-13
,32,Kibuku 3,4,2013,27-Apr-13
,35,Kibuku 3,4,2013,27-Apr-13
,40,Kibuku 3,4,2013,27-Apr-13
,71,Kibuku 3,4,2013,27-Apr-13
,46,Kibuku 3,4,2013,27-Apr-13
,29,Kibuku 3,4,2013,27-Apr-13
,55,Kibuku 3,4,2013,27-Apr-13
,34,Kibuku 3,4,2013,27-Apr-13
,39,Kibuku 3,4,2013,28-Apr-13
,42,Kibuku 3,4,2013,28-Apr-13
,44,Kibuku 3,4,2013,28-Apr-13
,25,Kibuku 3,4,2013,28-Apr-13
,44,Kibuku 3,4,2013,28-Apr-13
,31,Kibuku 3,4,2013,28-Apr-13
,32,Kibuku 3,4,2013,28-Apr-13
,59,Kibuku 3,4,2013,28-Apr-13
,41,Kibuku 3,4,2013,28-Apr-13
,36,Kibuku 1,4,2013,28-Apr-13
,22,Kibuku 3,4,2013,28-Apr-13
,40,Kibuku 3,4,2013,28-Apr-13
,39,Kibuku 3,4,2013,28-Apr-13
,22,Kibuku 3,4,2013,28-Apr-13
,102,Kibuku 3,4,2013,29-Apr-13
,48,Kibuku 3,4,2013,29-Apr-13
,86,Kibuku 3,4,2013,29-Apr-13
,39,Kibuku 2,4,2013,29-Apr-13
,33,Kibuku 3,4,2013,29-Apr-13
,56,Kibuku 3,4,2013,30-Apr-13
,37,Kibuku 3,4,2013,30-Apr-13
,32,Kibuku 3,4,2013,30-Apr-13
,61,Kibuku 3,4,2013,30-Apr-13
,33,Kibuku 3,4,2013,30-Apr-13
,49,Kibuku 3,5,2013,02-May-13
,38,Kibuku 3,5,2013,02-May-13
,61,Kibuku 3,5,2013,02-May-13
,35,Kibuku 3,5,2013,02-May-13
,25,Kibuku 1,5,2013,02-May-13
,35,Kibuku 3,5,2013,02-May-13
,40,Kibuku 3,5,2013,02-May-13
,56,Kibuku 3,5,2013,02-May-13
,58,Kibuku 3,5,2013,02-May-13
,39,Kibuku 3,5,2013,02-May-13
,27,Kibuku 3,5,2013,02-May-13
,41,Kibuku 3,5,2013,02-May-13
,41,Kibuku 3,5,2013,04-May-13
,30,Kibuku 3,5,2013,04-May-13
,39,Kibuku 3,5,2013,04-May-13
,60,Kibuku 3,5,2013,04-May-13
,36,Kibuku 2,5,2013,04-May-13
,45,Kibuku 2,5,2013,04-May-13
,12,Kibuku 3,5,2013,04-May-13
,48,Kibuku 3,5,2013,04-May-13
,52,Kibuku 1,5,2013,04-May-13
,43,Kibuku 3,5,2013,04-May-13
,67,Kibuku 3,5,2013,04-May-13
,50,Kibuku 3,5,2013,04-May-13
,49,Kibuku 3,5,2013,04-May-13
,43,Kibuku 3,5,2013,04-May-13
,40,Kibuku 3,5,2013,04-May-13
,14,Kibuku 3,5,2013,04-May-13
,40,Kibuku 1,5,2013,04-May-13
,46,Kibuku 3,5,2013,05-May-13
,52,Kibuku 3,5,2013,05-May-13
,47,Kibuku 3,5,2013,05-May-13
,42,Kibuku 3,5,2013,06-May-13
,28,Kibuku 3,5,2013,06-May-13
,62,Kibuku 3,5,2013,06-May-13
,31,Kibuku 3,5,2013,06-May-13
,27,Kibuku 3,5,2013,07-May-13
,47,Kibuku 3,5,2013,07-May-13
,28,Kibuku 4,5,2013,07-May-13
,43,Kibuku 3,5,2013,07-May-13
,31,Kibuku 3,5,2013,07-May-13
,60,Kibuku 3,5,2013,07-May-13
,60,Kibuku 3,5,2013,07-May-13
,35,Kibuku 4,5,2013,07-May-13
,30,Kibuku 3,5,2013,07-May-13
,41,Kibuku 3,5,2013,07-May-13
,96,Kibuku 3,5,2013,07-May-13
,47,Kibuku 3,5,2013,07-May-13
,51,Kibuku 3,5,2013,07-May-13
,38,Kibuku 4,5,2013,07-May-13
,28,Kibuku 4,5,2013,07-May-13
,28,Kibuku 3,5,2013,07-May-13
,,Kibuku 3,5,2013,07-May-13
,15,Kibuku 3,5,2013,07-May-13
,55,Kibuku 3,5,2013,07-May-13
,63,Kibuku 3,5,2013,08-May-13
,40,Kibuku 3,5,2013,08-May-13
,35,Kibuku 3,5,2013,08-May-13
,72,Kibuku 3,5,2013,08-May-13
,78,Kibuku 3,5,2013,08-May-13
,57,Kibuku 3,5,2013,08-May-13
,38,Kibuku 3,5,2013,08-May-13
,38,Kibuku 3,5,2013,08-May-13
,43,Kibuku 3,5,2013,08-May-13
,60,Kibuku 3,5,2013,08-May-13
,78,Kibuku 3,5,2013,08-May-13
,51,Kibuku 3,5,2013,08-May-13
,36,Kibuku 3,5,2013,08-May-13
,23,Kibuku 3,5,2013,08-May-13
,40,Kibuku 3,5,2013,08-May-13
,45,Kibuku 3,5,2013,08-May-13
,41,Kibuku 3,5,2013,08-May-13
,36,Kibuku 3,5,2013,08-May-13
,79,Kibuku 3,5,2013,09-May-13
,34,Kibuku 3,5,2013,09-May-13
,32,Kibuku 3,5,2013,09-May-13
,34,Kibuku 3,5,2013,09-May-13
,30,Kibuku 3,5,2013,09-May-13
,89,Kibuku 3,5,2013,09-May-13
,70,Kibuku 3,5,2013,09-May-13
,22,Kibuku 3,5,2013,09-May-13
,52,Kibuku 3,5,2013,10-May-13
,25,Kibuku 3,5,2013,10-May-13
,46,Kibuku 3,5,2013,10-May-13
,40,Kibuku 3,5,2013,10-May-13
,89,Kibuku 3,5,2013,10-May-13
,26,Kibuku 3,5,2013,10-May-13
,25,Kibuku 3,5,2013,10-May-13
,37,Kibuku 3,5,2013,10-May-13
,37,Kibuku 3,5,2013,10-May-13
,67,Kibuku 3,5,2013,10-May-13
,46,Kibuku 3,5,2013,10-May-13
,70,Kibuku 3,5,2013,10-May-13
,60,Kibuku 3,5,2013,10-May-13
,41,Kibuku 3,5,2013,10-May-13
,46,Kibuku 3,5,2013,10-May-13
,50,Kibuku 3,5,2013,10-May-13
,35,Kibuku 3,5,2013,10-May-13
,49,Kibuku 3,5,2013,10-May-13
,48,Kibuku 3,5,2013,11-May-13
,50,Kibuku 3,5,2013,11-May-13
,40,Kibuku 3,5,2013,11-May-13
,36,Kibuku 3,5,2013,11-May-13
,35,Kibuku 3,5,2013,11-May-13
,22,Kibuku 3,5,2013,11-May-13
,49,Kibuku 3,5,2013,11-May-13
,30,Kibuku 3,5,2013,11-May-13
,67,Kibuku 3,5,2013,11-May-13
,39,Kibuku 3,5,2013,12-May-13
,43,Kibuku 3,5,2013,13-May-13
,22,Kibuku 3,5,2013,13-May-13
,83,Kibuku 3,5,2013,13-May-13
,28,Kibuku 3,5,2013,13-May-13
,27,Kibuku 3,5,2013,13-May-13
,46,Kibuku 3,5,2013,13-May-13
,45,Kibuku 3,5,2013,13-May-13
,40,Kibuku 4,5,2013,13-May-13
,45,Kibuku 3,5,2013,13-May-13
,60,Kibuku 3,5,2013,14-May-13
,56,Kibuku 3,5,2013,14-May-13
,38,Kibuku 3,5,2013,14-May-13
,33,Kibuku 3,5,2013,14-May-13
,35,Kibuku 4,5,2013,14-May-13
,24,Kibuku 3,5,2013,14-May-13
,33,Kibuku 3,5,2013,14-May-13
,63,Kibuku 3,5,2013,14-May-13
,42,Kibuku 3,5,2013,15-May-13
,25,Kibuku 3,5,2013,16-May-13
,39,Kibuku 3,5,2013,16-May-13
,40,Kibuku 3,5,2013,16-May-13
,21,Kibuku 3,5,2013,16-May-13
,61,Kibuku 3,5,2013,16-May-13
,86,Kibuku 3,5,2013,16-May-13
,28,Kibuku 3,5,2013,17-May-13
,60,Kibuku 3,5,2013,17-May-13
,40,Kibuku 3,5,2013,17-May-13
,56,Kibuku 3,5,2013,17-May-13
,13,Kibuku 3,5,2013,17-May-13
,41,Kibuku 3,5,2013,17-May-13
,59,Kibuku 3,5,2013,17-May-13
,32,Kibuku 3,5,2013,17-May-13
,41,Kibuku 3,5,2013,17-May-13
,31,Kibuku 3,5,2013,17-May-13
,54,Kibuku 3,5,2013,17-May-13
,74,Kibuku 3,5,2013,17-May-13
,50,Kibuku 3,5,2013,17-May-13
,35,Kibuku 3,5,2013,18-May-13
,43,Kibuku 3,5,2013,18-May-13
,31,Kibuku 3,5,2013,18-May-13
,25,Kibuku 3,5,2013,18-May-13
,35,Kibuku 3,5,2013,18-May-13
,28,Kibuku 3,5,2013,18-May-13
,28,Kibuku 3,5,2013,18-May-13
,42,Kibuku 3,5,2013,18-May-13
,38,Kibuku 3,5,2013,18-May-13
,40,Kibuku 3,5,2013,18-May-13
,55,Kibuku 3,5,2013,18-May-13
,24,Kibuku 3,5,2013,18-May-13
,40,Kibuku 3,5,2013,18-May-13
,61,Kibuku 3,5,2013,18-May-13
,42,Kibuku 3,5,2013,18-May-13
,34,Kibuku 3,5,2013,18-May-13
,25,Kibuku 3,5,2013,18-May-13
,20,Kibuku 3,5,2013,19-May-13
,18,Kibuku 3,5,2013,19-May-13
,38,Kibuku 3,5,2013,19-May-13
,51,Kibuku 3,5,2013,19-May-13
,30,Kibuku 3,5,2013,20-May-13
,60,Kibuku 3,5,2013,20-May-13
,30,Kibuku 3,5,2013,20-May-13
,50,Kibuku 3,5,2013,20-May-13
,43,Kibuku 3,5,2013,20-May-13
,38,Kibuku 3,5,2013,20-May-13
,47,Kibuku 3,5,2013,20-May-13
,23,Kibuku 3,5,2013,21-May-13
,30,Kibuku 3,5,2013,21-May-13
,40,Kibuku 3,5,2013,21-May-13
,55,Kibuku 3,5,2013,21-May-13
,40,Kibuku 3,5,2013,21-May-13
,29,Kibuku 3,5,2013,21-May-13
,32,Kibuku 3,5,2013,21-May-13
,35,Kibuku 3,5,2013,21-May-13
,28,Kibuku 3,5,2013,22-May-13
,80,Kibuku 3,5,2013,22-May-13
,25,Kibuku 3,5,2013,22-May-13
,45,Kibuku 3,5,2013,22-May-13
,61,Kibuku 3,5,2013,22-May-13
,30,Kibuku 3,5,2013,22-May-13
,55,Kibuku 3,5,2013,23-May-13
,30,Kibuku 3,5,2013,23-May-13
,35,Kibuku 3,5,2013,23-May-13
,50,Kibuku 3,5,2013,23-May-13
,50,Kibuku 3,5,2013,23-May-13
,52,Kibuku 3,5,2013,23-May-13
,29,Kibuku 3,5,2013,24-May-13
,40,Kibuku 3,5,2013,24-May-13
,25,Kibuku 3,5,2013,24-May-13
,49,Kibuku 3,5,2013,24-May-13
,56,Kibuku 3,5,2013,24-May-13
,30,Kibuku 3,5,2013,24-May-13
,22,Kibuku 3,5,2013,24-May-13
,61,Kibuku 3,5,2013,24-May-13
,22,Kibuku 3,5,2013,24-May-13
,50,Kibuku 3,5,2013,24-May-13
,57,Kibuku 3,5,2013,24-May-13
,50,Kibuku 3,5,2013,24-May-13
,30,Kibuku 3,5,2013,24-May-13
,25,Kibuku 3,5,2013,24-May-13
,61,Kibuku 3,5,2013,24-May-13
,42,Kibuku 3,5,2013,25-May-13
,35,Kibuku 3,5,2013,25-May-13
,29,Kibuku 3,5,2013,25-May-13
,27,Kibuku 3,5,2013,25-May-13
,20,Kibuku 3,5,2013,25-May-13
,64,Kibuku 3,5,2013,25-May-13
,37,Kibuku 3,5,2013,25-May-13
,45,Kibuku 3,5,2013,25-May-13
,23,Kibuku 3,5,2013,25-May-13
,44,Kibuku 3,5,2013,25-May-13
,25,Kibuku 3,5,2013,25-May-13
,28,Kibuku 3,5,2013,25-May-13
,21,Kibuku 3,5,2013,25-May-13
,55,Kibuku 3,5,2013,26-May-13
,39,Kibuku 3,5,2013,26-May-13
,39,Kibuku 3,5,2013,27-May-13
,34,Kibuku 3,5,2013,27-May-13
,74,Kibuku 3,5,2013,27-May-13
,48,Kibuku 3,5,2013,27-May-13
,36,Kibuku 3,5,2013,27-May-13
,41,Kibuku 3,5,2013,27-May-13
,41,Kibuku 3,5,2013,27-May-13
,37,Kibuku 3,5,2013,28-May-13
,28,Kibuku 3,5,2013,28-May-13
,63,Kibuku 3,5,2013,28-May-13
,50,Kibuku 3,5,2013,28-May-13
,36,Kibuku 3,5,2013,29-May-13
,36,Kibuku 3,5,2013,29-May-13
,16,Kibuku 3,5,2013,29-May-13
,69,Kibuku 3,5,2013,29-May-13
,23,Kibuku 3,5,2013,29-May-13
,47,Kibuku 3,5,2013,29-May-13
,50,Kibuku 4,5,2013,29-May-13
,55,Kibuku 3,5,2013,29-May-13
,20,Kibuku 3,5,2013,29-May-13
,50,Kibuku 3,5,2013,30-May-13
,50,Kibuku 4,7,2013,24-Jul-13
,25,Kibuku 4,7,2013,24-Jul-13
,58,Kibuku 2,7,2013,24-Jul-13
,33,Kibuku 2,7,2013,24-Jul-13
,45,Kibuku 4,7,2013,25-Jul-13
,52,Kibuku 4,7,2013,25-Jul-13
,45,Kibuku 4,7,2013,25-Jul-13
,35,Kibuku 4,7,2013,25-Jul-13
,35,Kibuku 4,7,2013,27-Jul-13
,50,Kibuku 4,7,2013,27-Jul-13
,30,Kibuku 4,7,2013,27-Jul-13
,26,Kibuku 4,7,2013,27-Jul-13
,49,Kibuku 4,7,2013,29-Jul-13
,53,Kibuku 4,7,2013,29-Jul-13
,29,Kibuku 4,7,2013,29-Jul-13
,33,Kibuku 4,7,2013,29-Jul-13
,28,Kibuku 4,7,2013,30-Jul-13
,34,Kibuku 4,7,2013,30-Jul-13
,21,Kibuku 1,7,2013,30-Jul-13
,24,Kibuku 4,7,2013,30-Jul-13
,31,Kibuku 4,7,2013,30-Jul-13
,31,Kibuku 4,7,2013,30-Jul-13
,44,Kibuku 4,7,2013,30-Jul-13
,14,Kibuku 4,7,2013,30-Jul-13
,69,Kibuku 1,7,2013,30-Jul-13
,68,Kibuku 4,7,2013,30-Jul-13
,49,Kibuku 4,7,2013,30-Jul-13
,42,Kibuku 4,7,2013,30-Jul-13
,20,Kibuku 4,7,2013,31-Jul-13
,43,Kibuku 4,7,2013,31-Jul-13
,61,Kibuku 4,7,2013,31-Jul-13
,45,Kibuku 4,7,2013,31-Jul-13
,24,Kibuku 4,7,2013,31-Jul-13
,53,Kibuku 4,7,2013,31-Jul-13
,47,Kibuku 4,7,2013,31-Jul-13
,29,Kibuku 4,8,2013,01-Aug-13
,46,Kibuku 4,8,2013,01-Aug-13
,30,Kibuku 4,8,2013,01-Aug-13
,48,Kibuku 4,8,2013,01-Aug-13
,31,Kibuku 4,8,2013,01-Aug-13
,22,Kibuku 4,8,2013,01-Aug-13
,40,Kibuku 4,8,2013,02-Aug-13
,18,Kibuku 4,8,2013,02-Aug-13
,32,Kibuku 4,8,2013,02-Aug-13
,54,Kibuku 4,8,2013,02-Aug-13
,34,Kibuku 4,8,2013,02-Aug-13
,15,Kibuku 4,8,2013,02-Aug-13
,29,Kibuku 4,8,2013,02-Aug-13
,33,Kibuku 4,8,2013,02-Aug-13
,38,Kibuku 4,8,2013,03-Aug-13
,40,Kibuku 4,8,2013,03-Aug-13
,51,Kibuku 4,8,2013,03-Aug-13
,39,Kibuku 4,8,2013,03-Aug-13
,31,Kibuku 4,8,2013,03-Aug-13
,29,Kibuku 4,8,2013,03-Aug-13
,25,Kibuku 4,8,2013,03-Aug-13
,51,Kibuku 1,8,2013,05-Aug-13
,48,Kibuku 4,8,2013,05-Aug-13
,41,Kibuku 4,8,2013,05-Aug-13
,24,Kibuku 4,8,2013,05-Aug-13
,42,Kibuku 4,8,2013,05-Aug-13
,45,Kibuku 4,8,2013,05-Aug-13
,21,Kibuku 4,8,2013,05-Aug-13
,17,Kibuku 4,8,2013,05-Aug-13
,51,Kibuku 4,8,2013,06-Aug-13
,21,Kibuku 4,8,2013,06-Aug-13
,34,Kibuku 4,8,2013,06-Aug-13
,30,Kibuku 4,8,2013,06-Aug-13
,52,Kibuku 2,8,2013,06-Aug-13
,46,Kibuku 2,8,2013,06-Aug-13
,30,Kibuku 4,8,2013,06-Aug-13
,40,Kibuku 4,8,2013,06-Aug-13
,25,Kibuku 4,8,2013,07-Aug-13
,52,Kibuku 3,8,2013,07-Aug-13
,35,Kibuku 4,8,2013,07-Aug-13
,39,Kibuku 3,8,2013,07-Aug-13
,30,Kibuku 4,8,2013,07-Aug-13
,30,Kibuku 4,8,2013,07-Aug-13
,50,Kibuku 4,8,2013,07-Aug-13
,89,Kibuku 4,8,2013,07-Aug-13
,56,Kibuku 2,8,2013,09-Aug-13
,35,Kibuku 2,8,2013,09-Aug-13
,45,Kibuku 4,8,2013,09-Aug-13
,30,Kibuku 2,8,2013,09-Aug-13
,30,Kibuku 4,8,2013,09-Aug-13
,28,Kibuku 4,8,2013,12-Aug-13
,24,Kibuku 4,8,2013,12-Aug-13
,42,Kibuku 4,8,2013,12-Aug-13
,33,Kibuku 4,8,2013,12-Aug-13
,22,Kibuku 4,8,2013,12-Aug-13
,10,Kibuku 4,8,2013,12-Aug-13
,48,Kibuku 4,8,2013,13-Aug-13
,53,Kibuku 4,8,2013,13-Aug-13
,35,Kibuku 1,8,2013,13-Aug-13
,34,Kibuku 4,8,2013,13-Aug-13
,24,Kibuku 4,8,2013,13-Aug-13
,23,Kibuku 4,8,2013,13-Aug-13
,28,Kibuku 4,8,2013,14-Aug-13
,52,Kibuku 4,8,2013,14-Aug-13
,41,Kibuku 4,8,2013,14-Aug-13
,24,Kibuku 4,8,2013,14-Aug-13
,41,Kibuku 4,8,2013,14-Aug-13
,72,Kibuku 4,8,2013,15-Aug-13
,22,Kibuku 4,8,2013,15-Aug-13
,28,Kibuku 4,8,2013,15-Aug-13
,30,Kibuku 4,8,2013,15-Aug-13
,66,Kibuku 4,8,2013,15-Aug-13
,50,Kibuku 4,8,2013,15-Aug-13
,30,Kibuku 4,8,2013,15-Aug-13
,48,Kibuku 4,8,2013,15-Aug-13
,49,Kibuku 4,8,2013,15-Aug-13
,51,Kibuku 4,8,2013,15-Aug-13
,34,Kibuku 4,8,2013,15-Aug-13
,28,Kibuku 4,8,2013,16-Aug-13
,25,Kibuku 4,8,2013,16-Aug-13
,25,Kibuku 4,8,2013,16-Aug-13
,69,Kibuku 4,8,2013,16-Aug-13
,45,Kibuku 4,8,2013,16-Aug-13
,32,Kibuku 4,8,2013,16-Aug-13
,20,Kibuku 4,8,2013,16-Aug-13
,46,Kibuku 4,8,2013,16-Aug-13
,34,Kibuku 4,8,2013,16-Aug-13
,37,Kibuku 4,8,2013,18-Aug-13
,17,Kibuku 4,8,2013,18-Aug-13
,23,Kibuku 4,8,2013,19-Aug-13
,48,Kibuku 4,8,2013,19-Aug-13
,32,Kibuku 4,8,2013,19-Aug-13
,46,Kibuku 4,8,2013,19-Aug-13
,38,Kibuku 4,8,2013,19-Aug-13
,39,Kibuku 4,8,2013,19-Aug-13
,42,Kibuku 4,8,2013,19-Aug-13
,30,Kibuku 4,8,2013,19-Aug-13
,58,Kibuku 4,8,2013,19-Aug-13
,52,Kibuku 4,8,2013,19-Aug-13
,20,Kibuku 4,8,2013,20-Aug-13
,37,Kibuku 4,8,2013,20-Aug-13
,40,Kibuku 4,8,2013,20-Aug-13
,32,Kibuku 4,8,2013,20-Aug-13
,28,Kibuku 4,8,2013,20-Aug-13
,57,Kibuku 4,8,2013,20-Aug-13
,27,Kibuku 4,8,2013,20-Aug-13
,37,Kibuku 4,8,2013,20-Aug-13
,21,Kibuku 4,8,2013,21-Aug-13
,28,Kibuku 4,8,2013,21-Aug-13
,16,Kibuku 2,8,2013,21-Aug-13
,36,Kibuku 2,8,2013,21-Aug-13
,32,Kibuku 4,8,2013,21-Aug-13
,52,Kibuku 4,8,2013,21-Aug-13
,43,Kibuku 4,8,2013,21-Aug-13
,23,Kibuku 4,8,2013,21-Aug-13
,48,Kibuku 2,8,2013,22-Aug-13
,32,Kibuku 4,8,2013,22-Aug-13
,41,Kibuku 2,8,2013,22-Aug-13
,41,Kibuku 4,8,2013,22-Aug-13
,20,Kibuku 4,8,2013,22-Aug-13
,37,Mbale,8,2014,30-Aug-14
,26,Sironko,9,2014,27-Sep-14
,53,Manafwa,1,2014,04-Jan-14
,76,Manafwa,1,2014,04-Jan-14
,63,Manafwa,1,2014,05-Jan-14
,79,Manafwa,1,2014,06-Jan-14
,84,Manafwa,1,2014,06-Jan-14
,56,Manafwa,1,2014,11-Jan-14
,54,Manafwa,1,2014,11-Jan-14
,32,Manafwa,1,2014,15-Jan-14
,50,Manafwa,1,2014,16-Jan-14
,65,Manafwa,1,2014,16-Jan-14
,59,Manafwa,1,2014,16-Jan-14
