ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,,UJA,,,1,,,,,2,2,,,,1,9,2012,03-Sep-12
,2331426102,KLF,,,1,,,1,,3,3,,10,1,1,3,2014,12-Mar-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,27-Aug-12
,,UJA,,,,,,,,2,3,,,,1,8,2012,30-Aug-12
,5751435304,KKM,,,,,,1,,3,3,,14.75,1,1,9,2014,15-Sep-14
,5840415503,VHG,,,,,,1,,3,3,,12,1,1,3,2015,05-Mar-15
,5738425503,KKM2,1,,1,,,1,,3,3,,6,,1,9,2014,01-Sep-14
,6045435205,BSA2,,,1,,,1,,3,3,,10,1,1,8,2014,29-Aug-14
,,UJA,,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,,UJA,,,,,,,,2,3,,,,1,9,2012,01-Sep-12
,,UJA,,,,,,1,,1,3,10,,1,1,5,2013,07-May-13
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,,UJA,,,,,,,,,,,,,1,8,2012,25-Aug-12
,6442415908,KRA,1,0,,,,,,,,,,,1,9,2014,08-Sep-14
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,,UJA,,,0,,,,,,,,,,1,8,2012,27-Aug-12
,4651417505,TNZ,,,,,,1,,3,3,,10.33333333,1,1,4,2015,30-Apr-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,6356417302,RNG,1,0,,,,,,,,,,,1,9,2014,05-Sep-14
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,,UJA,,,,,,,,,,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,5959516404,WASHB 75,,,,,,1,,3,3,,14.5,1,1,5,2016,01-May-16
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,,UJA,,,,,,,,,,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
