id,cem301_attendees_total,cem009_country,month,year,country
,21,1,7,2013,1
,26,1,7,2013,1
,22,1,7,2013,1
,19,1,7,2013,1
,18,1,7,2013,1
,19,1,7,2013,1
,30,1,7,2013,1
,16,1,7,2013,1
,26,1,7,2013,1
,26,1,7,2013,1
,27,1,7,2013,1
,22,1,7,2013,1
,26,1,7,2013,1
,16,1,7,2013,1
,22,1,7,2013,1
,25,1,7,2013,1
,26,1,6,2013,1
,16,1,6,2013,1
,16,1,6,2013,1
,18,1,6,2013,1
,22,1,6,2013,1
,20,1,6,2013,1
,16,1,5,2013,1
,27,1,5,2013,1
,35,1,6,2013,1
,25,1,6,2013,1
,22,1,6,2013,1
,27,1,6,2013,1
,15,1,7,2013,1
,26,1,6,2013,1
,23,1,7,2013,1
,16,1,7,2013,1
,18,1,7,2013,1
,21,1,7,2013,1
,21,1,7,2013,1
,38,1,7,2013,1
,24,1,7,2013,1
,33,1,7,2013,1
,38,1,7,2013,1
,26,1,7,2013,1
,37,1,7,2013,1
,24,1,7,2013,1
,27,1,7,2013,1
,22,1,7,2013,1
,15,1,7,2013,1
,26,1,7,2013,1
,29,1,7,2013,1
,25,1,7,2013,1
,20,1,7,2013,1
,20,1,7,2013,1
,39,1,7,2013,1
,24,1,7,2013,1
,20,1,7,2013,1
,14,1,8,2013,1
,23,1,9,2013,1
,23,1,7,2013,1
,20,1,7,2013,1
,20,1,7,2013,1
,19,1,7,2013,1
,24,1,7,2013,1
,20,1,7,2013,1
,24,1,7,2013,1
,23,1,7,2013,1
,26,1,7,2013,1
,22,1,7,2013,1
,16,1,7,2013,1
,26,1,7,2013,1
,23,1,6,2013,1
,18,1,6,2013,1
,21,1,6,2013,1
,30,1,6,2013,1
,22,1,6,2013,1
,27,1,6,2013,1
,19,1,6,2013,1
,27,1,5,2013,1
,14,1,5,2013,1
,19,1,5,2013,1
,16,1,5,2013,1
,20,1,5,2013,1
,38,1,5,2013,1
,31,1,5,2013,1
,19,1,5,2013,1
,18,1,5,2013,1
,25,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,20,1,5,2013,1
,31,1,5,2013,1
,26,1,5,2013,1
,17,1,5,2013,1
,17,1,5,2013,1
,28,1,5,2013,1
,20,1,5,2013,1
,20,1,5,2013,1
,20,1,5,2013,1
,37,1,5,2013,1
,18,1,5,2013,1
,17,1,5,2013,1
,20,1,6,2013,1
,19,1,5,2013,1
,62,1,7,2013,1
,25,1,7,2013,1
,31,1,7,2013,1
,32,1,7,2013,1
,49,1,7,2013,1
,30,1,7,2013,1
,20,1,7,2013,1
,22,1,7,2013,1
,33,1,7,2013,1
,21,1,7,2013,1
,33,1,7,2013,1
,28,1,7,2013,1
,22,1,7,2013,1
,18,1,7,2013,1
,29,1,7,2013,1
,15,1,5,2013,1
,15,1,5,2013,1
,43,1,5,2013,1
,30,1,5,2013,1
,18,1,5,2013,1
,21,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,15,1,6,2013,1
,15,1,5,2013,1
,15,1,5,2013,1
,15,1,5,2013,1
,21,1,5,2013,1
,18,1,5,2013,1
,16,1,5,2013,1
,22,1,5,2013,1
,17,1,5,2013,1
,20,1,5,2013,1
,16,1,5,2013,1
,33,1,7,2013,1
,17,1,7,2013,1
,45,1,7,2013,1
,27,1,7,2013,1
,32,1,5,2013,1
,24,1,5,2013,1
,19,1,5,2013,1
,22,1,6,2013,1
,20,1,5,2013,1
,21,1,5,2013,1
,22,1,5,2013,1
,22,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,20,1,5,2013,1
,10,1,5,2013,1
,12,1,5,2013,1
,11,1,5,2013,1
,17,1,5,2013,1
,16,1,5,2013,1
,23,1,7,2013,1
,19,1,6,2013,1
,24,1,6,2013,1
,15,1,6,2013,1
,21,1,6,2013,1
,20,1,6,2013,1
,28,1,6,2013,1
,20,1,5,2013,1
,19,1,5,2013,1
,22,1,5,2013,1
,17,1,5,2013,1
,19,1,5,2013,1
,21,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,19,1,5,2013,1
,19,1,5,2013,1
,22,1,5,2013,1
,14,1,5,2013,1
,24,1,5,2013,1
,22,1,5,2013,1
,23,1,5,2013,1
,29,1,5,2013,1
,20,1,5,2013,1
,22,1,5,2013,1
,17,1,5,2013,1
,20,1,5,2013,1
,233,1,5,2013,1
,43,1,5,2013,1
,39,1,5,2013,1
,19,1,5,2013,1
,20,1,6,2013,1
,16,1,6,2013,1
,23,1,5,2013,1
,25,1,6,2013,1
,21,1,5,2013,1
,20,1,5,2013,1
,19,1,5,2013,1
,29,1,5,2013,1
,17,1,5,2013,1
,21,1,5,2013,1
,34,1,5,2013,1
,22,1,5,2013,1
,11,1,5,2013,1
,18,1,5,2013,1
,33,1,5,2013,1
,29,1,5,2013,1
,19,1,5,2013,1
,17,1,5,2013,1
,20,1,5,2013,1
,30,1,5,2013,1
,20,1,5,2013,1
,36,1,5,2013,1
,21,1,5,2013,1
,28,1,5,2013,1
,16,1,5,2013,1
,17,1,5,2013,1
,25,1,5,2013,1
,20,1,5,2013,1
,19,1,5,2013,1
,23,1,5,2013,1
,37,1,5,2013,1
,20,1,5,2013,1
,34,1,5,2013,1
,25,1,5,2013,1
,19,1,5,2013,1
,24,1,5,2013,1
,28,1,5,2013,1
,16,1,5,2013,1
,17,1,5,2013,1
,22,1,5,2013,1
,23,1,5,2013,1
,30,1,5,2013,1
,19,1,5,2013,1
,19,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,24,1,5,2013,1
,19,1,5,2013,1
,21,1,5,2013,1
,20,1,6,2013,1
,18,1,6,2013,1
,19,1,6,2013,1
,20,1,6,2013,1
,18,1,6,2013,1
,29,1,6,2013,1
,19,1,6,2013,1
,31,1,6,2013,1
,27,1,6,2013,1
,10,1,5,2013,1
,18,1,7,2013,1
,20,1,7,2013,1
,51,1,7,2013,1
,24,1,7,2013,1
,28,1,7,2013,1
,22,1,7,2013,1
,22,1,7,2013,1
,25,1,7,2013,1
,23,1,5,2013,1
,27,1,7,2013,1
,20,1,5,2013,1
,14,1,5,2013,1
,27,1,5,2013,1
,48,1,5,2013,1
,36,1,5,2013,1
,21,1,5,2013,1
,31,1,5,2013,1
,15,1,9,2013,1
,17,1,5,2013,1
,22,1,5,2013,1
,22,1,5,2013,1
,25,1,5,2013,1
,21,1,5,2013,1
,16,1,6,2013,1
,46,1,5,2013,1
,19,1,5,2013,1
,30,1,5,2013,1
,18,1,5,2013,1
,24,1,5,2013,1
,20,1,5,2013,1
,26,1,5,2013,1
,16,1,6,2013,1
,16,1,5,2013,1
,32,1,5,2013,1
,41,1,5,2013,1
,31,1,5,2013,1
,32,1,5,2013,1
,24,1,5,2013,1
,23,1,5,2013,1
,25,1,5,2013,1
,31,1,5,2013,1
,27,1,5,2013,1
,17,1,8,2013,1
,21,1,5,2013,1
,26,1,5,2013,1
,23,1,6,2013,1
,26,1,5,2013,1
,19,1,5,2013,1
,26,1,5,2013,1
,23,1,5,2013,1
,22,1,5,2013,1
,20,1,5,2013,1
,24,1,5,2013,1
,28,1,5,2013,1
,18,1,5,2013,1
,24,1,5,2013,1
,33,1,5,2013,1
,17,1,5,2013,1
,32,1,5,2013,1
,31,1,5,2013,1
,20,1,5,2013,1
,20,1,5,2013,1
,26,1,5,2013,1
,26,1,5,2013,1
,20,1,6,2013,1
,21,1,6,2013,1
,28,1,6,2013,1
,22,1,6,2013,1
,22,1,7,2013,1
,20,1,7,2013,1
,49,1,7,2013,1
,43,1,7,2013,1
,23,1,7,2013,1
,20,1,7,2013,1
,18,1,7,2013,1
,17,1,7,2013,1
,31,1,7,2013,1
,15,1,7,2013,1
,20,1,6,2013,1
,18,1,7,2013,1
,29,1,7,2013,1
,19,1,7,2013,1
,21,1,7,2013,1
,13,1,6,2013,1
,39,1,5,2013,1
,29,1,6,2013,1
,26,1,6,2013,1
,24,1,6,2013,1
,23,1,5,2013,1
,23,1,6,2013,1
,20,1,6,2013,1
,30,1,6,2013,1
,24,1,6,2013,1
,31,1,6,2013,1
,33,1,6,2013,1
,22,1,6,2013,1
,32,1,6,2013,1
,19,1,6,2013,1
,38,1,6,2013,1
,32,1,6,2013,1
,31,1,6,2013,1
,27,1,7,2013,1
,16,1,6,2013,1
,28,1,6,2013,1
,24,1,6,2013,1
,17,1,6,2013,1
,36,1,6,2013,1
,28,1,7,2013,1
,23,1,6,2013,1
,24,1,6,2013,1
,30,1,6,2013,1
,33,1,6,2013,1
,18,1,7,2013,1
,29,1,7,2013,1
,39,1,7,2013,1
,25,1,7,2013,1
,44,1,7,2013,1
,28,1,7,2013,1
,20,1,7,2013,1
,31,1,7,2013,1
,29,1,7,2013,1
,32,1,7,2013,1
,25,1,7,2013,1
,17,1,6,2013,1
,25,1,6,2013,1
,20,1,6,2013,1
,26,1,6,2013,1
,28,1,6,2013,1
,23,1,6,2013,1
,40,1,6,2013,1
,22,1,6,2013,1
,17,1,6,2013,1
,27,1,6,2013,1
,34,1,6,2013,1
,23,1,7,2013,1
,27,1,7,2013,1
,21,1,7,2013,1
,18,1,7,2013,1
,23,1,7,2013,1
,24,1,7,2013,1
,26,1,7,2013,1
,29,1,5,2013,1
,24,1,7,2013,1
,25,1,7,2013,1
,16,1,7,2013,1
,27,1,7,2013,1
,47,1,7,2013,1
,17,1,7,2013,1
,19,1,7,2013,1
,23,1,7,2013,1
,24,1,7,2013,1
,22,1,7,2013,1
,23,1,6,2013,1
,25,1,6,2013,1
,20,1,6,2013,1
,31,1,5,2013,1
,24,1,6,2013,1
,25,1,7,2013,1
,26,1,7,2013,1
,17,1,8,2013,1
,26,1,7,2013,1
,13,1,6,2013,1
,20,1,7,2013,1
,20,1,6,2013,1
,27,1,6,2013,1
,27,1,7,2013,1
,22,1,6,2013,1
,22,1,6,2013,1
,20,1,6,2013,1
,29,1,6,2013,1
,26,1,6,2013,1
,29,1,6,2013,1
,23,1,6,2013,1
,15,1,6,2013,1
,28,1,6,2013,1
,22,1,6,2013,1
,23,1,6,2013,1
,24,1,6,2013,1
,30,1,6,2013,1
,23,1,6,2013,1
,31,1,6,2013,1
,15,1,6,2013,1
,21,1,6,2013,1
,30,1,6,2013,1
,21,1,6,2013,1
,22,1,6,2013,1
,22,1,6,2013,1
,20,1,7,2013,1
,20,1,7,2013,1
,23,1,6,2013,1
,22,1,6,2013,1
,30,1,6,2013,1
,37,1,5,2013,1
,22,1,5,2013,1
,29,1,5,2013,1
,20,1,5,2013,1
,27,1,5,2013,1
,39,1,7,2013,1
,21,1,6,2013,1
,17,1,5,2013,1
,25,1,6,2013,1
,23,1,9,2013,1
,19,1,7,2013,1
,31,1,7,2013,1
,25,1,6,2013,1
,30,1,6,2013,1
,29,1,6,2013,1
,33,1,6,2013,1
,34,1,7,2013,1
,23,1,7,2013,1
,34,1,7,2013,1
,28,1,7,2013,1
,21,1,7,2013,1
,25,1,5,2013,1
,16,1,5,2013,1
,25,1,7,2013,1
,41,1,6,2013,1
,24,1,6,2013,1
,15,1,7,2013,1
,21,1,6,2013,1
,26,1,7,2013,1
,15,1,7,2013,1
,29,1,7,2013,1
,27,1,5,2013,1
,25,1,6,2013,1
,23,1,6,2013,1
,21,1,6,2013,1
,20,1,6,2013,1
,21,1,6,2013,1
,27,1,6,2013,1
,23,1,6,2013,1
,40,1,6,2013,1
,20,1,6,2013,1
,32,1,6,2013,1
,22,1,6,2013,1
,49,1,7,2013,1
,32,1,6,2013,1
,23,1,6,2013,1
,22,1,6,2013,1
,15,1,5,2013,1
,16,1,5,2013,1
,28,1,5,2013,1
,19,1,5,2013,1
,16,1,5,2013,1
,21,1,5,2013,1
,21,1,5,2013,1
,27,1,5,2013,1
,15,1,5,2013,1
,31,1,5,2013,1
,19,1,5,2013,1
,18,1,5,2013,1
,21,1,5,2013,1
,39,1,5,2013,1
,18,1,5,2013,1
,40,1,6,2013,1
,31,1,7,2013,1
,24,1,6,2013,1
,21,1,5,2013,1
,22,1,5,2013,1
,28,1,7,2013,1
,25,1,7,2013,1
,25,1,7,2013,1
,18,1,6,2013,1
,46,1,7,2013,1
,44,1,6,2013,1
,29,1,6,2013,1
,23,1,6,2013,1
,28,1,5,2013,1
,26,1,6,2013,1
,16,1,7,2013,1
,19,1,7,2013,1
,24,1,6,2013,1
,48,1,6,2013,1
,10,1,5,2013,1
,20,1,6,2013,1
,20,1,6,2013,1
,22,1,7,2013,1
,21,1,7,2013,1
,27,1,9,2013,1
,20,1,9,2013,1
,20,1,9,2013,1
,17,1,9,2013,1
,16,1,9,2013,1
,19,1,7,2013,1
,19,1,7,2013,1
,30,1,7,2013,1
,39,1,7,2013,1
,23,1,7,2013,1
,18,1,6,2013,1
,26,1,6,2013,1
,26,1,6,2013,1
,26,1,7,2013,1
,30,1,6,2013,1
,21,1,6,2013,1
,28,1,7,2013,1
,16,1,7,2013,1
,19,1,7,2013,1
,17,1,7,2013,1
,15,1,6,2013,1
,21,1,5,2013,1
,20,1,5,2013,1
,18,1,5,2013,1
,21,1,5,2013,1
,21,1,5,2013,1
,23,1,5,2013,1
,31,1,7,2013,1
,16,1,6,2013,1
,17,1,6,2013,1
,20,1,5,2013,1
,30,1,5,2013,1
,30,1,5,2013,1
,24,1,6,2013,1
,22,1,6,2013,1
,46,1,6,2013,1
,22,1,6,2013,1
,16,1,6,2013,1
,23,1,5,2013,1
,37,1,5,2013,1
,15,1,5,2013,1
,22,1,6,2013,1
,22,1,6,2013,1
,25,1,6,2013,1
,25,1,6,2013,1
,24,1,6,2013,1
,29,1,6,2013,1
,24,1,6,2013,1
,17,1,7,2013,1
,27,1,6,2013,1
,24,1,6,2013,1
,19,1,6,2013,1
,25,1,6,2013,1
,21,1,7,2013,1
,32,1,7,2013,1
,30,1,7,2013,1
,35,1,7,2013,1
,27,1,7,2013,1
,16,1,7,2013,1
,28,1,7,2013,1
,37,1,5,2013,1
,26,1,5,2013,1
,30,1,5,2013,1
,24,1,6,2013,1
,25,1,5,2013,1
,28,1,5,2013,1
,30,1,5,2013,1
,11,1,6,2013,1
,18,1,5,2013,1
,24,1,6,2013,1
,24,1,5,2013,1
,28,1,5,2013,1
,28,1,6,2013,1
,28,1,6,2013,1
,16,1,7,2013,1
,21,1,6,2013,1
,15,1,5,2013,1
,20,1,6,2013,1
,20,1,6,2013,1
,32,1,7,2013,1
,21,1,6,2013,1
,26,1,5,2013,1
,22,1,8,2013,1
,27,1,5,2013,1
,18,1,6,2013,1
,15,1,6,2013,1
,19,1,6,2013,1
,23,1,6,2013,1
,16,1,7,2013,1
,33,1,7,2013,1
,45,1,7,2013,1
,18,1,6,2013,1
,27,1,6,2013,1
,24,1,6,2013,1
,22,1,8,2013,1
,34,1,7,2013,1
,24,1,7,2013,1
,36,1,6,2013,1
,35,1,7,2013,1
,25,1,7,2013,1
,29,1,7,2013,1
,22,1,7,2013,1
,23,1,6,2013,1
,21,1,6,2013,1
,29,1,7,2013,1
,25,1,6,2013,1
,21,1,6,2013,1
,29,1,6,2013,1
,45,1,6,2013,1
,20,1,7,2013,1
,21,1,7,2013,1
,24,1,7,2013,1
,42,1,7,2013,1
,12,1,6,2013,1
,18,1,6,2013,1
,19,1,6,2013,1
,15,1,9,2013,1
,22,1,6,2013,1
,23,1,5,2013,1
,22,1,5,2013,1
,25,1,6,2013,1
,20,1,5,2013,1
,38,1,7,2013,1
,19,1,7,2013,1
,29,1,7,2013,1
,30,1,7,2013,1
,27,1,7,2013,1
,27,1,7,2013,1
,25,1,7,2013,1
,21,1,7,2013,1
,36,1,7,2013,1
,28,1,7,2013,1
,27,1,7,2013,1
,49,1,7,2013,1
,29,1,7,2013,1
,19,1,7,2013,1
,19,1,6,2013,1
,26,1,6,2013,1
,20,1,6,2013,1
,20,1,6,2013,1
,18,1,6,2013,1
,16,1,6,2013,1
,20,1,5,2013,1
,17,1,6,2013,1
,18,1,6,2013,1
,22,1,6,2013,1
,27,1,5,2013,1
,23,1,6,2013,1
,16,1,6,2013,1
,21,1,6,2013,1
,34,1,6,2013,1
,31,1,7,2013,1
,28,1,7,2013,1
,21,1,6,2013,1
,15,1,6,2013,1
,22,1,6,2013,1
,14,1,6,2013,1
,21,1,6,2013,1
,23,1,6,2013,1
,21,1,6,2013,1
,16,1,6,2013,1
,42,1,6,2013,1
,15,1,7,2013,1
,32,1,6,2013,1
,23,1,6,2013,1
,17,1,6,2013,1
,26,1,6,2013,1
,23,1,7,2013,1
,30,1,7,2013,1
,31,1,7,2013,1
,20,1,7,2013,1
,27,1,7,2013,1
,19,1,7,2013,1
,21,1,6,2013,1
,17,1,6,2013,1
,23,1,5,2013,1
,26,1,6,2013,1
,19,1,7,2013,1
,19,1,7,2013,1
,19,1,6,2013,1
,18,1,6,2013,1
,16,1,6,2013,1
,19,1,6,2013,1
,28,1,6,2013,1
,25,1,6,2013,1
,24,1,6,2013,1
,25,1,6,2013,1
,33,1,7,2013,1
,19,1,5,2013,1
,18,1,5,2013,1
,19,1,5,2013,1
,22,1,5,2013,1
,20,1,5,2013,1
,38,1,7,2013,1
,17,1,6,2013,1
,31,1,7,2013,1
,27,1,6,2013,1
,21,1,6,2013,1
,18,1,6,2013,1
,24,1,7,2013,1
,27,1,7,2013,1
,29,1,6,2013,1
,36,1,7,2013,1
,30,1,6,2013,1
,21,1,6,2013,1
,33,1,6,2013,1
,27,1,6,2013,1
,23,1,6,2013,1
,13,1,6,2013,1
,38,1,6,2013,1
,23,1,6,2013,1
,33,1,7,2013,1
,17,1,6,2013,1
,17,1,7,2013,1
,28,1,7,2013,1
,18,1,7,2013,1
,25,1,7,2013,1
,25,1,6,2013,1
,21,1,7,2013,1
,21,1,7,2013,1
,27,1,5,2013,1
,23,1,5,2013,1
,18,1,5,2013,1
,31,1,7,2013,1
,28,1,7,2013,1
,20,1,7,2013,1
,16,1,6,2013,1
,15,1,5,2013,1
,49,1,7,2013,1
,49,1,7,2013,1
,21,1,5,2013,1
,22,1,5,2013,1
,29,1,6,2013,1
,21,1,6,2013,1
,26,1,7,2013,1
,19,1,7,2013,1
,15,1,6,2013,1
,22,1,6,2013,1
,21,1,6,2013,1
,24,1,5,2013,1
,21,1,9,2013,1
,19,1,9,2013,1
,24,1,9,2013,1
,23,1,7,2013,1
,25,1,7,2013,1
,20,1,7,2013,1
,26,1,7,2013,1
,43,1,7,2013,1
,23,1,7,2013,1
,31,1,7,2013,1
,35,1,7,2013,1
,31,1,7,2013,1
,21,1,7,2013,1
,23,1,6,2013,1
,18,1,7,2013,1
,37,1,7,2013,1
,21,1,6,2013,1
,21,1,5,2013,1
,35,1,5,2013,1
,23,1,5,2013,1
,30,1,6,2013,1
,20,1,5,2013,1
,20,1,6,2013,1
,17,1,6,2013,1
,20,1,6,2013,1
,26,1,6,2013,1
,23,1,6,2013,1
,21,1,5,2013,1
,30,1,5,2013,1
,19,1,7,2013,1
,29,1,6,2013,1
,31,1,7,2013,1
,22,1,7,2013,1
,39,1,7,2013,1
,21,1,7,2013,1
,24,1,7,2013,1
,32,1,7,2013,1
,20,1,5,2013,1
,38,1,5,2013,1
,16,1,6,2013,1
,21,1,6,2013,1
,17,1,6,2013,1
,21,1,5,2013,1
,23,1,5,2013,1
,23,1,5,2013,1
,17,1,6,2013,1
,28,1,6,2013,1
,20,1,6,2013,1
,30,1,7,2013,1
,36,1,6,2013,1
,29,1,6,2013,1
,27,1,7,2013,1
,32,1,7,2013,1
,22,1,6,2013,1
,21,1,5,2013,1
,22,1,6,2013,1
,20,1,6,2013,1
,20,1,6,2013,1
,25,1,6,2013,1
,16,1,6,2013,1
,20,1,7,2013,1
,23,1,5,2013,1
,22,1,5,2013,1
,33,1,7,2013,1
,24,1,6,2013,1
,30,1,7,2013,1
,21,1,5,2013,1
,26,1,6,2013,1
,33,1,6,2013,1
,20,1,7,2013,1
,18,1,5,2013,1
,40,1,7,2013,1
,28,1,5,2013,1
,30,1,5,2013,1
,23,1,7,2013,1
,21,1,7,2013,1
,38,1,7,2013,1
,21,1,5,2013,1
,33,1,5,2013,1
,19,1,6,2013,1
,18,1,6,2013,1
,22,1,7,2013,1
,15,1,5,2013,1
,16,1,5,2013,1
,21,1,8,2013,1
,16,1,5,2013,1
,20,1,6,2013,1
,26,1,7,2013,1
,30,1,7,2013,1
,26,1,7,2013,1
,14,1,7,2013,1
,17,1,6,2013,1
,31,1,6,2013,1
,18,1,6,2013,1
,25,1,5,2013,1
,15,1,5,2013,1
,21,1,5,2013,1
,22,1,5,2013,1
,26,1,7,2013,1
,30,1,7,2013,1
,19,1,5,2013,1
,36,1,1,2015,1
,18,1,5,2013,1
,22,1,5,2013,1
,33,1,5,2013,1
,27,1,6,2013,1
,24,1,7,2013,1
,38,1,7,2013,1
,45,1,5,2013,1
,21,1,6,2013,1
,20,1,6,2013,1
,31,1,7,2013,1
,19,1,7,2013,1
,27,1,7,2013,1
,25,1,6,2013,1
,33,1,7,2013,1
,18,1,5,2013,1
,17,1,7,2013,1
,26,1,6,2013,1
,27,1,6,2013,1
,23,1,5,2013,1
,28,1,6,2013,1
,34,1,6,2013,1
,21,1,7,2013,1
,22,1,5,2013,1
,4,1,7,2013,1
,17,1,6,2013,1
,36,1,6,2013,1
,29,1,6,2013,1
,30,1,7,2013,1
,20,1,5,2013,1
,21,1,5,2013,1
,18,1,5,2013,1
,21,1,7,2013,1
,17,1,5,2013,1
,30,1,6,2013,1
,18,1,6,2013,1
,17,1,6,2013,1
,31,1,7,2013,1
,35,1,7,2013,1
,15,1,7,2013,1
,17,1,6,2013,1
,26,1,6,2013,1
,22,1,6,2013,1
,30,1,7,2013,1
,22,1,6,2013,1
,18,1,7,2013,1
,30,1,7,2013,1
,26,1,7,2013,1
,27,1,7,2013,1
,20,1,7,2013,1
,19,1,7,2013,1
,30,1,7,2013,1
,28,1,7,2013,1
,30,1,7,2013,1
,19,1,5,2013,1
,11,1,6,2013,1
,20,1,7,2013,1
,17,1,5,2013,1
,16,1,5,2013,1
,18,1,7,2013,1
,23,1,7,2013,1
,26,1,7,2013,1
,21,1,6,2013,1
,18,1,7,2013,1
,32,1,7,2013,1
,44,1,5,2013,1
,44,1,7,2013,1
,28,1,6,2013,1
,28,1,6,2013,1
,17,1,6,2013,1
,26,1,6,2013,1
,22,1,5,2013,1
,22,1,5,2013,1
,20,1,5,2013,1
,15,1,5,2013,1
,15,1,5,2013,1
,35,1,7,2013,1
,30,1,7,2013,1
,67,1,6,2013,1
,18,1,6,2013,1
,23,1,7,2013,1
,27,1,7,2013,1
,20,1,6,2013,1
,23,1,6,2013,1
,19,1,7,2013,1
,30,1,7,2013,1
,44,1,5,2013,1
,36,1,5,2013,1
,25,1,7,2013,1
,22,1,7,2013,1
,24,1,7,2013,1
,20,1,6,2013,1
,21,1,7,2013,1
,15,1,6,2013,1
,22,1,6,2013,1
,36,1,6,2013,1
,23,1,7,2013,1
,15,1,7,2013,1
,32,1,7,2013,1
,17,1,7,2013,1
,18,1,5,2013,1
,19,1,7,2013,1
,15,1,6,2013,1
,27,1,7,2013,1
,20,1,7,2013,1
,25,1,7,2013,1
,25,1,6,2013,1
,23,1,7,2013,1
,20,1,5,2013,1
,19,1,5,2013,1
,15,1,7,2013,1
,26,1,5,2013,1
,23,1,7,2013,1
,19,1,8,2013,1
,15,1,6,2013,1
,28,1,8,2013,1
,32,1,6,2013,1
,24,1,6,2013,1
,22,1,6,2013,1
,15,1,6,2013,1
,24,1,6,2013,1
,24,1,6,2013,1
,24,1,6,2013,1
,18,1,6,2013,1
,33,1,6,2013,1
,16,1,6,2013,1
,21,1,6,2013,1
,21,1,6,2013,1
,14,1,9,2013,1
,31,1,5,2013,1
,41,1,6,2013,1
,27,1,7,2013,1
,21,1,7,2013,1
,26,1,7,2013,1
,20,1,6,2013,1
,32,1,7,2013,1
,26,1,7,2013,1
,17,1,7,2013,1
,34,1,5,2013,1
,15,1,5,2013,1
,12,1,5,2013,1
,22,1,6,2013,1
,26,1,7,2013,1
,17,1,5,2013,1
,18,1,6,2013,1
,32,1,5,2013,1
,35,1,6,2013,1
,23,1,5,2013,1
,17,1,6,2013,1
,30,1,5,2013,1
,27,1,5,2013,1
,20,1,7,2013,1
,38,1,7,2013,1
,27,1,7,2013,1
