id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,LGR,10300437,4,274,9.133333,0.4379562,2.189781,5,8,2014-06-17,2015-08-19,8,2015,3
,LGR,10300438,10,319,10.63333,0.9404389,4.702194,4,10,2014-06-20,2015-09-08,9,2015,3
,LGR,10300439,30,464,15.46667,1.939655,9.698276,8,30,2014-06-26,2015-10-03,10,2015,3
,LGR,10300440,14,362,12.06667,1.160221,5.801105,6,13,2014-06-27,2015-06-24,6,2015,3
,LGR,10300441,12,451,15.03333,0.7982261,3.991131,6,15,2014-06-23,2015-09-17,9,2015,3
,LGR,10300442,24,460,15.33333,1.565217,7.826087,8,24,2014-06-23,2015-09-26,9,2015,3
,LGR,10300444,10,245,8.166667,1.22449,6.122448,4,13,2014-09-03,2015-05-06,5,2015,3
,LGR,10300445,9.5,227,7.566667,1.255507,6.277533,6,17,2014-07-01,2015-07-17,7,2015,3
,LGR,10300446,10,286,9.533334,1.048951,5.244755,5,14,2014-07-01,2015-07-17,7,2015,3
,LGR,10300448,9,240,8,1.125,5.625,7,14,2014-07-05,2015-12-01,12,2015,3
,LGR,10300449,6,101,3.366667,1.782178,8.910892,6,6,2014-07-15,2015-12-01,12,2015,3
,LGR,10300450,5,249,8.3,0.6024096,3.012048,7,8,2014-06-30,2015-12-01,12,2015,3
,LGR,10300451,11,284,9.466666,1.161972,5.80986,6,11,2014-07-03,2015-12-03,12,2015,3
,LGR,10300452,9,207,6.9,1.304348,6.521739,6,13,2014-07-06,2015-09-16,9,2015,3
,LGR,10300454,4,229,7.633333,0.5240175,2.620087,5,11,2014-07-10,2015-09-28,9,2015,3
,LGR,10300456,2,225,7.5,0.2666667,1.333333,5,9,2014-07-08,2015-11-25,11,2015,3
,LGR,10300457,7,229,7.633333,0.9170306,4.585153,6,10,2014-07-04,2015-11-24,11,2015,3
,LGR,10300458,11,325,10.83333,1.015385,5.076923,7,11,2014-07-12,2015-10-05,10,2015,3
,LGR,10300459,6,193,6.433333,0.9326425,4.663212,6,14,2014-07-11,2015-09-28,9,2015,3
,LGR,10300461,7,227,7.566667,0.9251102,4.625551,5,8,2014-07-09,2015-08-28,8,2015,3
,LGR,10300463,1.5,235,7.833333,0.1914894,0.9574468,4,5,2014-07-12,2015-06-04,6,2015,3
,LGR,10300464,5,253,8.433333,0.5928854,2.964427,4,8,2014-07-08,2015-06-06,6,2015,3
,LGR,10300465,3,231,7.7,0.3896104,1.948052,5,9,2014-07-08,2015-06-06,6,2015,3
,LGR,10300466,7,216,7.2,0.9722223,4.861111,5,10,2014-07-08,2015-10-03,10,2015,3
,LGR,10300467,9,336,11.2,0.8035715,4.017858,6,13,2014-07-07,2015-11-27,11,2015,3
,LGR,10300469,2.5,114,3.8,0.6578947,3.289474,5,5,2014-11-03,2015-07-22,7,2015,3
,LGR,10300470,5,243,8.1,0.6172839,3.08642,5,6,2014-07-18,2015-09-17,9,2015,3
,LGR,10300471,2,232,7.733333,0.2586207,1.293104,6,5,2014-07-14,2015-12-09,12,2015,3
,LGR,10300472,2,98,3.266667,0.6122449,3.061224,5,4,2015-03-03,2015-12-09,12,2015,3
,LGR,10300474,10,358,11.93333,0.8379888,4.189944,5,14,2014-06-18,2015-07-29,7,2015,3
,LGR,10300475,13.5,338,11.26667,1.198225,5.991125,7,14,2014-06-22,2015-11-28,11,2015,3
,LGR,10300476,14.5,270,9,1.611111,8.055555,8,19,2014-06-22,2015-12-03,12,2015,3
,LGR,10300477,22.5,357,11.9,1.890756,9.453782,8,23,2014-06-19,2015-11-11,11,2015,3
,LGR,10300479,3,259,8.633333,0.3474903,1.737452,5,6,2014-06-16,2015-09-22,9,2015,3
,LGR,10300481,10,361,12.03333,0.8310249,4.155125,6,14,2014-06-16,2015-09-23,9,2015,3
,LGR,10300482,7,138,4.6,1.521739,7.608696,5,12,2015-01-26,2015-11-30,11,2015,3
,LGR,10300483,4,231,7.7,0.5194805,2.597403,6,11,2014-06-30,2015-08-17,8,2015,3
,LGR,10300486,5.5,196,6.533333,0.8418368,4.209184,3,8,2014-10-07,2015-04-21,4,2015,3
,LGR,10300488,8,270,9,0.8888889,4.444445,4,8,2014-06-26,2015-09-03,9,2015,3
,LGR,10300489,3,230,7.666667,0.3913043,1.956522,6,8,2014-06-18,2015-12-14,12,2015,3
,LGR,10300490,11.5,245,8.166667,1.408163,7.040816,7,14,2014-10-10,2015-09-26,9,2015,3
,LGR,10300491,12,322,10.73333,1.118012,5.590062,5,12,2014-06-19,2015-05-07,5,2015,3
,LGR,10300492,12,273,9.1,1.318681,6.593406,4,12,2014-06-19,2015-03-19,3,2015,3
,LGR,10300493,5,225,7.5,0.6666667,3.333333,5,12,2014-06-19,2015-05-07,5,2015,3
,LGR,10300494,5.5,246,8.2,0.6707317,3.353659,4,10,2014-06-18,2015-04-17,4,2015,3
,LGR,10300495,3.5,105,3.5,1,5,5,6,2015-01-28,2015-10-09,10,2015,3
,LGR,10300496,1,202,6.733333,0.1485149,0.7425743,4,5,2014-07-10,2015-12-11,12,2015,3
,LGR,10300498,6,320,10.66667,0.5625,2.8125,5,10,2014-06-27,2015-08-06,8,2015,3
,LGR,10300499,6,215,7.166667,0.8372093,4.186047,5,5,2014-06-27,2015-10-24,10,2015,3
,LGR,10300500,2,300,10,0.2,1,3,6,2014-07-23,2015-07-16,7,2015,3
,LGR,10300501,2,112,3.733333,0.5357143,2.678571,4,6,2014-07-04,2015-07-16,7,2015,3
,LGR,10300502,4,201,6.7,0.597015,2.985075,3,8,2014-06-28,2015-10-08,10,2015,3
,LGR,10300503,19,320,10.66667,1.78125,8.90625,7,19,2014-06-28,2015-10-12,10,2015,3
,LGR,10300505,12,199,6.633333,1.809045,9.045227,7,16,2014-06-28,2015-10-26,10,2015,3
,LGR,10300506,4,306,10.2,0.3921569,1.960784,7,8,2014-07-02,2015-11-27,11,2015,3
,LGR,10300507,11.5,256,8.533334,1.347656,6.738281,5,16,2014-07-10,2015-08-04,8,2015,3
