s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"10210004","","0","","","","",2,2013,"1","UJA"
"10210117","","1","","","11","",2,2013,"1","UJA"
"10210503","","0","","","","",2,2013,"1","UJA"
"10210031","","1","","","11","",2,2013,"1","UJA"
"10210113","","0","","","","",2,2013,"1","UJA"
"10210874","","0","","","","",2,2013,"1","UJA"
"10210878","","1","","","-996","",2,2013,"1","UJA"
"10210402","","0","","","","",2,2013,"1","UJA"
"10210399","","0","","","","",2,2013,"1","UJA"
"10210016","","0","","","","",2,2013,"1","UJA"
"10210882","","1","","","11","",2,2013,"1","UJA"
"10210876","","1","","","-996","",2,2013,"1","UJA"
"10210877","","0","","","","",2,2013,"1","UJA"
"10210396","","0","","","","",2,2013,"1","UJA"
"10210409","","0","","","","",2,2013,"1","UJA"
"10211052","","1","","","-996","",2,2013,"1","UJA"
"10210888","","0","","","","",2,2013,"1","UJA"
"10210017","","0","","","","",2,2013,"1","UJA"
"10210030","","1","","","11","",2,2013,"1","UJA"
"10210883","","1","","","11","",2,2013,"1","UJA"
"10210116","","0","","","","",2,2013,"1","UJA"
"10210037","","0","","","","",2,2013,"1","UJA"
"10210112","","0","","","","",2,2013,"1","UJA"
"10210889","","1","","","11","",2,2013,"1","UJA"
"10210021","","1","","","11","",2,2013,"1","UJA"
"10210018","","0","","","","",2,2013,"1","UJA"
"10210585","","0","","","","",2,2013,"1","UJA"
"10210114","","0","","","","",2,2013,"1","UJA"
"10210024","","0","","","","",2,2013,"1","UJA"
"10210033","","0","","","","",2,2013,"1","UJA"
"10210887","","0","","","","",2,2013,"1","UJA"
"10210890","","1","","","-996","",2,2013,"1","UJA"
"10210019","","0","","","","",2,2013,"1","UJA"
"10210029","","0","","","","",2,2013,"1","UJA"
"10210038","","0","","","","",2,2013,"1","UJA"
"10210717","","1","","","11","",2,2013,"1","UJA"
"10211608","","0","","","","",2,2013,"1","UJA"
"10210039","","0","","","","",2,2013,"1","UJA"
"10210404","","0","","","","",2,2013,"1","UJA"
"10210408","","0","","","","",2,2013,"1","UJA"
"10210403","","1","","","-996","",2,2013,"1","UJA"
"10210714","","0","","","","",2,2013,"1","UJA"
"10210025","","0","","","","",2,2013,"1","UJA"
"10210730","","0","","","","",2,2013,"1","UJA"
"10210034","","1","","","11","",2,2013,"1","UJA"
"10210023","","1","","","11","",2,2013,"1","UJA"
"10210737","","1","","","11","",2,2013,"1","UJA"
"10210729","","0","","","","",2,2013,"1","UJA"
"10210040","","0","","","","",2,2013,"1","UJA"
"10211604","","0","","","","",2,2013,"1","UJA"
"10210726","","0","","","","",2,2013,"1","UJA"
"10210721","","1","","","11","",2,2013,"1","UJA"
"10210411","","1","","","11","",2,2013,"1","UJA"
"10210718","","0","","","","",2,2013,"1","UJA"
"10210405","","0","","","","",2,2013,"1","UJA"
"10210715","","0","","","","",2,2013,"1","UJA"
"10210735","","0","","","","",2,2013,"1","UJA"
"10210738","","0","","","","",2,2013,"1","UJA"
"10210725","","0","","","","",2,2013,"1","UJA"
"10210397","","0","","","","",2,2013,"1","UJA"
"10210719","","0","","","","",2,2013,"1","UJA"
"10210731","","0","","","","",2,2013,"1","UJA"
"10210881","","0","","","","",2,2013,"1","UJA"
"10211040","","0","","","","",2,2013,"1","UJA"
"10210268","","1","","","11","",2,2013,"1","UJA"
"10211042","","0","","","","",2,2013,"1","UJA"
"10210880","","0","","","","",2,2013,"1","UJA"
"10210733","","0","","","","",2,2013,"1","UJA"
"10210036","","1","","","11","",2,2013,"1","UJA"
"10210447","","0","","","","",2,2013,"1","UJA"
"10210022","","0","","","","",2,2013,"1","UJA"
"10210027","","0","","","","",2,2013,"1","UJA"
"10210723","","0","","","","",2,2013,"1","UJA"
"10210028","","1","","","-996","",2,2013,"1","UJA"
"10210035","","0","","","","",2,2013,"1","UJA"
"10210026","","1","","","11","",2,2013,"1","UJA"
"10210722","","1","","","11","",2,2013,"1","UJA"
"10210398","","1","","","11","",2,2013,"1","UJA"
"10211590","","1","","","11","",2,2013,"1","UJA"
"10210393","","0","","","","",2,2013,"1","UJA"
"10210366","","0","","","","",2,2013,"1","UJA"
"10210693","","0","","","","",2,2013,"1","UJA"
"10210684","","0","","","","",2,2013,"1","UJA"
"10210390","","0","","","","",2,2013,"1","UJA"
"10210383","","1","","","11","",2,2013,"1","UJA"
"10210378","","1","","","11","",2,2013,"1","UJA"
"10210671","","0","","","","",2,2013,"1","UJA"
"10210694","","0","","","","",2,2013,"1","UJA"
"10210663","","0","","","","",2,2013,"1","UJA"
"10210661","","0","","","","",2,2013,"1","UJA"
"10210388","","0","","","","",2,2013,"1","UJA"
"10210363","","1","","","11","",2,2013,"1","UJA"
"10210662","","0","","","","",2,2013,"1","UJA"
"10210692","","0","","","","",2,2013,"1","UJA"
"10211213","","0","","","","",2,2013,"1","UJA"
"10210379","","0","","","","",2,2013,"1","UJA"
"10210681","","0","","","","",2,2013,"1","UJA"
"10210368","","0","","","","",2,2013,"1","UJA"
"10210375","","0","","","","",2,2013,"1","UJA"
"10211587","","0","","","","",2,2013,"1","UJA"
"10210377","","0","","","","",2,2013,"1","UJA"
"10210496","","0","","","","",2,2013,"1","UJA"
"10210381","","0","","","","",2,2013,"1","UJA"
"10210508","","0","","","","",2,2013,"1","UJA"
"10210498","","0","","","","",2,2013,"1","UJA"
"10210433","","0","","","","",2,2013,"1","UJA"
"10210492","","0","","","","",2,2013,"1","UJA"
"10210502","","1","","","11","",2,2013,"1","UJA"
"10210386","","0","","","","",2,2013,"1","UJA"
"10210435","","0","","","","",2,2013,"1","UJA"
"10210437","","0","","","","",2,2013,"1","UJA"
"10211601","","0","","","","",2,2013,"1","UJA"
"10210521","","0","","","","",3,2013,"1","UJA"
"10210674","","0","","","","",3,2013,"1","UJA"
"10210691","","0","","","","",3,2013,"1","UJA"
"10210666","","0","","","","",3,2013,"1","UJA"
"10210683","","0","","","","",3,2013,"1","UJA"
"10210664","","0","","","","",3,2013,"1","UJA"
"10211588","","0","","","","",3,2013,"1","UJA"
"10210682","","0","","","","",3,2013,"1","UJA"
"10210665","","0","","","","",3,2013,"1","UJA"
"10210690","","0","","","","",3,2013,"1","UJA"
"10210404","","0","","","","",3,2013,"1","UJA"
"10210695","","0","","","","",3,2013,"1","UJA"
"10210377","","0","","","","",3,2013,"1","UJA"
"10210688","","0","","","","",3,2013,"1","UJA"
"10210675","","0","","","","",3,2013,"1","UJA"
"10210385","","0","","","","",3,2013,"1","UJA"
"10210676","","0","","","","",3,2013,"1","UJA"
"10210689","","0","","","","",3,2013,"1","UJA"
"10210372","","0","","","","",3,2013,"1","UJA"
"10210685","","0","","","","",3,2013,"1","UJA"
"10210669","","0","","","","",3,2013,"1","UJA"
"10210672","","0","","","","",3,2013,"1","UJA"
"10210387","","0","","","","",3,2013,"1","UJA"
"10210687","","1","","","11","",3,2013,"1","UJA"
"10210380","","0","","","","",3,2013,"1","UJA"
"10210389","","1","","","11","",3,2013,"1","UJA"
"10210696","","1","","","11","",3,2013,"1","UJA"
"10210686","","0","","","","",3,2013,"1","UJA"
"10210391","","0","","","","",3,2013,"1","UJA"
"10210677","","0","","","","",3,2013,"1","UJA"
"10210536","","0","","","","",3,2013,"1","UJA"
"10210542","","1","","","11","",3,2013,"1","UJA"
