id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,t005_today
,Zomba 2,,,,,,1,,3,3,9,,1,3,24-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,25-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,27-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,01-Jan-13
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,30-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,24-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,27-Jan-14
,Zomba 2,,,1,,,1,,2,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,1,,,1,,3,3,,,1,3,27-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,25-Jan-14
,Zomba 2,,,1,,,1,,3,3,9,,1,3,26-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,1,,,1,,2,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,12,,1,3,24-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,01-Jan-13
,Zomba 2,,,,,,1,,3,3,,,1,3,27-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,1,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,1,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,29-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 2,,,,,,1,,3,3,,,1,3,28-Jan-14
,Zomba 3,,1,,,,1,,3,3,,163.3333,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,46.66667,1,3,31-Jul-14
,Zomba 3,0,,,,,1,,1,1,,,,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,36,1,3,01-Aug-14
,Zomba 3,,,,,,1,,3,3,10,112,1,3,04-Aug-14
,Zomba 3,,,,,,1,,3,3,,400,1,3,04-Aug-14
,Zomba 3,0,,,,,1,,1,3,,,,3,06-Aug-14
,Zomba 3,,,1,,,1,,3,3,,146.6667,1,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,223.3333,1,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,234,1,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,79.66666,1,3,08-Aug-14
