cem102_wpt_id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
"10161485","1AF","18","1",5,2013,13may2013
"10161058","1AF","22","1",5,2013,13may2013
"10181261","1AF","23","1",5,2013,13may2013
"10161071","1AF","233","1",5,2013,13may2013
"10166028","1AF","18","1",5,2013,13may2013
"10160962","1AF","22","1",5,2013,13may2013
"10181685","1AF","21","1",5,2013,13may2013
"10160957","1AF","21","1",5,2013,13may2013
"10161070","1AF","20","1",5,2013,13may2013
"10161032","1AF","17","1",5,2013,13may2013
"10181312","1AF","22","1",5,2013,13may2013
"10181664","1AF","29","1",5,2013,13may2013
"10181728","1AF","22","1",5,2013,13may2013
"10160911","1AF","17","1",5,2013,13may2013
"10162892","1AF","27","1",5,2013,14may2013
"10161030","1AF","22","1",5,2013,14may2013
"10161484","1AF","28","1",5,2013,14may2013
"10181737","1AF","21","1",5,2013,14may2013
"10181562","1AF","23","1",5,2013,14may2013
"10160872","1AF","15","1",5,2013,14may2013
"10161356","1AF","23","1",5,2013,14may2013
"10160057","1AF","21","1",5,2013,14may2013
"10181718","1AF","21","1",5,2013,14may2013
"10181651","1AF","27","1",5,2013,14may2013
"10181557","1AF","32","1",5,2013,14may2013
"10166031","1AF","19","1",5,2013,14may2013
"10160945","1AF","24","1",5,2013,14may2013
"10166187","1AF","21","1",5,2013,13may2013
"10181277","1AF","28","1",5,2013,14may2013
"10160888","1AF","16","1",5,2013,14may2013
"10161886","1AF","31","1",5,2013,14may2013
"10160942","1AF","32","1",5,2013,14may2013
"10162330","1AF","15","1",5,2013,14may2013
"10181504","1AF","30","1",5,2013,14may2013
"10160974","1AF","12","1",5,2013,14may2013
"10181505","1AF","27","1",5,2013,14may2013
"10160981","1AF","11","1",5,2013,14may2013
"10161620","1AF","23","1",5,2013,14may2013
"10163271","1AF","20","1",5,2013,14may2013
"10181588","1AF","19","1",5,2013,14may2013
"10161493","1AF","32","1",5,2013,14may2013
"10161413","1AF","19","1",5,2013,14may2013
"10161610","1AF","39","1",5,2013,14may2013
"10181278","1AF","30","1",5,2013,14may2013
"10161075","1AF","39","1",5,2013,14may2013
"10160002","1AF","18","1",5,2013,14may2013
"10161489","1AF","33","1",5,2013,14may2013
"10161051","1AF","22","1",5,2013,14may2013
"10181458","1AF","26","1",5,2013,14may2013
"10162889","1AF","26","1",5,2013,14may2013
"10162717","1AF","15","1",5,2013,15may2013
"10181514","1AF","22","1",5,2013,15may2013
"10162653","1AF","20","1",5,2013,15may2013
"10160855","1AF","18","1",5,2013,15may2013
"10162148","1AF","25","1",5,2013,15may2013
"10181288","1AF","15","1",5,2013,15may2013
"10166305","1AF","21","1",5,2013,15may2013
"10161400","1AF","22","1",5,2013,15may2013
"10181662","1AF","26","1",5,2013,15may2013
"10181269","1AF","21","1",5,2013,15may2013
"10160875","1AF","21","1",5,2013,15may2013
"10161477","1AF","22","1",5,2013,15may2013
"10160965","1AF","24","1",5,2013,15may2013
"10160728","1AF","25","1",5,2013,15may2013
"10162393","1AF","21","1",5,2013,15may2013
"10181275","1AF","18","1",5,2013,15may2013
"10181725","1AF","17","1",5,2013,15may2013
"10160730","1AF","20","1",5,2013,15may2013
"10162335","1AF","19","1",5,2013,15may2013
"10160917","1AF","16","1",5,2013,15may2013
"10162333","1AF","16","1",5,2013,15may2013
"10160729","1AF","24","1",5,2013,15may2013
"10181239","1AF","21","1",5,2013,15may2013
"10162370","1AF","31","1",5,2013,15may2013
"10160970","1AF","20","1",5,2013,15may2013
"10160726","1AF","19","1",5,2013,15may2013
"10161397","1AF","22","1",5,2013,15may2013
"10160915","1AF","20","1",5,2013,15may2013
"10162398","1AF","39","1",5,2013,16may2013
"10166189","1AF","22","1",5,2013,16may2013
"10161044","1AF","19","1",5,2013,16may2013
"10181716","1AF","17","1",5,2013,16may2013
"10181380","1AF","19","1",5,2013,16may2013
"10181110","1AF","21","1",5,2013,16may2013
"10163288","1AF","27","1",5,2013,16may2013
"10160731","1AF","20","1",5,2013,16may2013
"10161114","1AF","33","1",5,2013,16may2013
"10162350","1AF","16","1",5,2013,16may2013
"10160709","1AF","27","1",5,2013,16may2013
"10162654","1AF","18","1",5,2013,16may2013
"10181587","1AF","19","1",5,2013,16may2013
"10181687","1AF","22","1",5,2013,16may2013
"10181349","1AF","18","1",5,2013,16may2013
"10181682","1AF","19","1",5,2013,16may2013
"10162369","1AF","15","1",5,2013,16may2013
"10181565","1AF","29","1",5,2013,16may2013
"10161046","1AF","19","1",5,2013,16may2013
"10161414","1AF","30","1",5,2013,16may2013
"10161043","1AF","20","1",5,2013,16may2013
"10161721","1AF","14","1",5,2013,16may2013
"10162364","1AF","27","1",5,2013,16may2013
"10162716","1AF","37","1",5,2013,16may2013
"10161403","1AF","21","1",5,2013,17may2013
"10181394","1AF","44","1",5,2013,17may2013
"10161154","1AF","16","1",5,2013,17may2013
"10160973","1AF","10","1",5,2013,17may2013
"10181704","1AF","26","1",5,2013,17may2013
"10181600","1AF","21","1",5,2013,17may2013
"10161445","1AF","31","1",5,2013,17may2013
"10181291","1AF","16","1",5,2013,17may2013
"10160961","1AF","22","1",5,2013,17may2013
"10162334","1AF","28","1",5,2013,17may2013
"10161396","1AF","17","1",5,2013,17may2013
"10162372","1AF","19","1",5,2013,17may2013
"10161382","1AF","27","1",5,2013,17may2013
"10162360","1AF","21","1",5,2013,17may2013
"10181681","1AF","20","1",5,2013,22may2013
"10162670","1AF","23","1",5,2013,25may2013
"10161464","1AF","26","1",5,2013,26may2013
"10161469","1AF","19","1",5,2013,26may2013
"10161471","1AF","26","1",5,2013,27may2013
"10162820","1AF","37","1",5,2013,27may2013
"10181425","1AF","44","1",5,2013,27may2013
"10161453","1AF","27","1",5,2013,27may2013
"10161458","1AF","21","1",5,2013,27may2013
"10161447","1AF","24","1",5,2013,27may2013
"10161101","1AF","17","1",5,2013,27may2013
"10161468","1AF","26","1",5,2013,27may2013
"10161199","1AF","30","1",5,2013,27may2013
"10161184","1AF","24","1",5,2013,27may2013
"10181453","1AF","20","1",5,2013,27may2013
"10181352","1AF","17","1",5,2013,27may2013
"10161452","1AF","31","1",5,2013,27may2013
"10161449","1AF","25","1",5,2013,27may2013
"10160473","1AF","16","1",5,2013,27may2013
"10181593","1AF","27","1",5,2013,27may2013
"10181669","1AF","18","1",5,2013,27may2013
"10161193","1AF","17","1",5,2013,27may2013
"10181722","1AF","20","1",5,2013,27may2013
"10161448","1AF","28","1",5,2013,27may2013
"10160474","1AF","27","1",5,2013,27may2013
"10163148","1AF","20","1",5,2013,27may2013
"10181454","1AF","19","1",5,2013,27may2013
"10161224","1AF","19","1",5,2013,27may2013
"10161108","1AF","11","1",5,2013,28may2013
"10161105","1AF","34","1",5,2013,28may2013
"10181629","1AF","21","1",5,2013,28may2013
"10181311","1AF","18","1",5,2013,28may2013
"10162067","1AF","22","1",5,2013,28may2013
"10181325","1AF","18","1",5,2013,28may2013
"10161509","1AF","26","1",5,2013,28may2013
"10162662","1AF","21","1",5,2013,28may2013
"10161111","1AF","18","1",5,2013,28may2013
"10162829","1AF","25","1",5,2013,28may2013
"10181630","1AF","25","1",5,2013,28may2013
"10161106","1AF","22","1",5,2013,28may2013
"10162074","1AF","27","1",5,2013,28may2013
"10162832","1AF","30","1",5,2013,28may2013
"10162661","1AF","21","1",5,2013,28may2013
"10162823","1AF","30","1",5,2013,28may2013
"10162822","1AF","26","1",5,2013,28may2013
"10161498","1AF","20","1",5,2013,28may2013
"10181519","1AF","27","1",5,2013,28may2013
"10162071","1AF","20","1",5,2013,28may2013
"10181330","1AF","23","1",5,2013,28may2013
"10162068","1AF","29","1",5,2013,28may2013
"10181584","1AF","23","1",5,2013,28may2013
"10161102","1AF","21","1",5,2013,28may2013
"10162535","1AF","28","1",5,2013,28may2013
"10161098","1AF","20","1",5,2013,28may2013
"10161510","1AF","26","1",5,2013,29may2013
"10181310","1AF","21","1",5,2013,29may2013
"10161202","1AF","19","1",5,2013,29may2013
"10162552","1AF","10","1",5,2013,29may2013
"10181567","1AF","30","1",5,2013,29may2013
"10160777","1AF","37","1",5,2013,29may2013
"10162088","1AF","17","1",5,2013,29may2013
"10160738","1AF","31","1",5,2013,29may2013
"10161205","1AF","19","1",5,2013,29may2013
"10181406","1AF","22","1",5,2013,29may2013
"10181534","1AF","18","1",5,2013,29may2013
"10181554","1AF","22","1",5,2013,29may2013
"10181407","1AF","20","1",5,2013,29may2013
"10182010","1AF","23","1",5,2013,29may2013
"10181408","1AF","15","1",5,2013,29may2013
"10163590","1AF","23","1",5,2013,29may2013
"10161218","1AF","20","1",5,2013,29may2013
"10181490","1AF","34","1",5,2013,29may2013
"10162862","1AF","15","1",5,2013,29may2013
"10181241","1AF","23","1",5,2013,29may2013
"10161081","1AF","19","1",5,2013,29may2013
"10160772","1AF","20","1",5,2013,29may2013
"10181605","1AF","18","1",5,2013,29may2013
"10181224","1AF","30","1",5,2013,29may2013
"10162845","1AF","18","1",5,2013,30may2013
"10161100","1AF","29","1",5,2013,30may2013
"10162830","1AF","28","1",5,2013,30may2013
"10162849","1AF","28","1",5,2013,30may2013
"10181334","1AF","22","1",5,2013,30may2013
"10181711","1AF","16","1",5,2013,30may2013
"10166176","1AF","15","1",5,2013,30may2013
"10181306","1AF","22","1",5,2013,30may2013
"10161190","1AF","28","1",5,2013,30may2013
"10162066","1AF","37","1",5,2013,30may2013
"10161099","1AF","19","1",5,2013,30may2013
"10181499","1AF","32","1",5,2013,30may2013
"10161086","1AF","23","1",5,2013,30may2013
"10163105","1AF","23","1",5,2013,30may2013
"10181492","1AF","12","1",5,2013,30may2013
"10163106","1AF","22","1",5,2013,30may2013
"10182001","1AF","24","1",5,2013,30may2013
"10181254","1AF","21","1",5,2013,30may2013
"10181547","1AF","24","1",5,2013,30may2013
"10181497","1AF","17","1",5,2013,30may2013
"10162847","1AF","24","1",5,2013,30may2013
"10162233","1AF","27","1",5,2013,30may2013
"10161097","1AF","21","1",5,2013,30may2013
"10160757","1AF","17","1",5,2013,30may2013
"10181304","1AF","15","1",5,2013,31may2013
"10181347","1AF","20","1",5,2013,31may2013
"10181302","1AF","25","1",5,2013,31may2013
"10160756","1AF","17","1",5,2013,31may2013
"10160766","1AF","20","1",5,2013,31may2013
"10160754","1AF","26","1",5,2013,31may2013
"10181653","1AF","24","1",5,2013,31may2013
"10160796","1AF","19","1",5,2013,31may2013
"10161194","1AF","22","1",5,2013,31may2013
"10160773","1AF","20","1",5,2013,31may2013
"10181403","1AF","22","1",5,2013,31may2013
"10161192","1AF","16","1",5,2013,31may2013
"10161231","1AF","21","1",5,2013,31may2013
"10160789","1AF","17","1",5,2013,31may2013
"10160779","1AF","18","1",5,2013,31may2013
"10161223","1AF","24","1",5,2013,31may2013
"10181305","1AF","21","1",5,2013,31may2013
"10161195","1AF","23","1",5,2013,31may2013
"10161183","1AF","19","1",5,2013,31may2013
"10181309","1AF","19","1",5,2013,31may2013
