id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,1,0,0,1,0,1,1,0,,0,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,2,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,1,0,,0,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 1_2,1,0,1,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 1_2,1,0,1,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,0,0,1,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,3,3,9,,1,3,1,2014
,Zomba 1_2,0,0,1,0,0,1,0,3,3,10,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,2,3,0,,1,3,1,2014
,Zomba 1_2,1,0,1,0,0,1,0,1,3,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,2,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,12,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2013
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,0,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 1_2,Don't know,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,1,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,0,0,0,0,0,,0,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,1,0,0,0,0,1,0,1,3,0,,0,3,11,2013
,Zomba 1_2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 1_2,0,0,0,0,0,1,0,3,3,0,,1,3,1,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,46.66667,1,3,7,2014
,Zomba 3,0,0,0,0,0,1,0,1,1,0,,0,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,36,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,10,112,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,400,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,1,3,0,,0,3,8,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,146.6667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,223.3333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,234,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,79.66666,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,116.6667,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,66.66666,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,96.66666,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,76.66666,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,146.6667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,67.33334,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,190,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,391.3333,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,183.3333,1,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,45.83333,1,3,8,2014
,Zomba 3,1,0,0,0,0,0,0,0,0,0,,0,3,8,2014
,Zomba 3,1,0,0,0,0,0,0,0,0,0,,0,3,8,2014
,Zomba 3,1,0,0,0,0,0,0,0,0,0,,0,3,8,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,76.66666,1,3,1,2012
,Zomba 3,0,1,0,0,0,1,0,3,3,0,56.66667,1,3,1,2012
,Zomba 3,0,1,0,0,0,1,0,3,3,0,93.33334,1,3,1,2012
,Zomba 3,0,1,0,0,0,1,0,3,3,0,73.33334,1,3,1,2012
,Zomba 3,0,1,1,0,0,1,0,3,3,0,46.66667,1,3,1,2012
,Zomba 3,0,0,0,0,0,1,0,3,3,0,55.83333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,95,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,45,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,42.66667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,22.66667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,42,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,70,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50.66667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,196.6667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,55,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,33.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,25.83333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,31.66667,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,49.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,1,1,0,,0,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,53.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,170,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,53.33333,1,3,8,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,286.6667,1,3,8,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,43.33333,1,3,8,2014
