id,t011_prgrm,pas_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,UJA,1,,,1,1,1,,3,3,,38.75,1,1,8,2014,20-Aug-14
,UJA,0,,,,,0,,,,,,,1,5,2013,11may2013
,UJA,0,,1,,,,,2,3,,,,1,9,2012,27-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,UJA,0,,1,,,,,3,3,,,,1,1,2013,31-Jan-13
,UJA,0,,0,,,,,,,,,,1,9,2012,05-Sep-12
,UJA,0,,,,,,,,,,,,1,5,2013,03may2013
,UJA,0,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,UJA,1,,1,,,1,,3,3,,21,1,1,8,2014,20-Aug-14
,UJA,0,,,,,,,3,3,8,,,1,8,2012,24-Aug-12
,UJA,0,,1,,,,,2,3,,,,1,9,2012,04-Sep-12
,UJA,0,,1,,,,,1,2,,,,1,9,2012,05-Sep-12
,UJA,1,,1,,,1,,2,3,,,1,1,5,2013,03may2013
,UJA,0,,1,,,1,,2,3,,,,1,5,2013,07may2013
,UJA,0,,1,,,,,3,3,,,,1,9,2012,04-Sep-12
,UJA,0,,1,,,,,2,2,,,,1,8,2012,30-Aug-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,03-Sep-12
,UJA,0,,-999,,,,,2,2,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,,,1,1,,,,1,9,2012,14-Sep-12
,UJA,0,,1,,,0,,,,,,,1,5,2013,28may2013
,UJA,0,,,1,1,1,,3,3,8,,,1,5,2013,08may2013
,UJA,1,,,,,1,,1,3,10,,1,1,5,2013,07may2013
,UJA,0,,1,,,,,2,3,,,,1,8,2012,30-Aug-12
,UJA,0,,,,,,,2,3,,,,1,9,2012,06-Sep-12
