ID,cem301_attendees_total,cem011 prgrm,month,year
,37,Butaleja,1,2015
,34,Butaleja,2,2015
,64,Butaleja,1,2015
,42,Butaleja,12,2014
,39,Butaleja,1,2015
,34,Butaleja,12,2014
,15,Butaleja,2,2015
,39,Butaleja,12,2014
,38,Butaleja,1,2015
,47,Butaleja,1,2015
,34,Butaleja,1,2015
,32,Butaleja,2,2015
,31,Butaleja,1,2015
,33,Butaleja,1,2015
,42,Butaleja,12,2014
,40,Butaleja,12,2014
,38,Butaleja,2,2015
,35,Butaleja,1,2015
,34,Butaleja,12,2014
,47,Butaleja,12,2014
,34,Butaleja,12,2014
,41,Butaleja,12,2014
,69,Kibuku 1,7,2013
,35,Kibuku 1,8,2013
,40,Kibuku 1,5,2013
,51,Kibuku 1,8,2013
,52,Kibuku 1,5,2013
,59,Kibuku 1,3,2015
,21,Kibuku 1,4,2013
,20,Kibuku 1,4,2013
,21,Kibuku 1,7,2013
,28,Kibuku 1,4,2013
,36,Kibuku 1,4,2013
,23,Kibuku 1,4,2013
,25,Kibuku 1,5,2013
,27,Kibuku 2,3,2015
,27,Kibuku 2,3,2015
,47,Kibuku 2,3,2015
,31,Kibuku 2,3,2015
,30,Kibuku 2,8,2013
,34,Kibuku 2,3,2015
,14,Kibuku 2,3,2015
,142,Kibuku 2,3,2015
,33,Kibuku 2,3,2015
,33,Kibuku 2,7,2013
,54,Kibuku 2,3,2015
,37,Kibuku 2,1,2012
,56,Kibuku 2,3,2015
,52,Kibuku 2,8,2013
,39,Kibuku 2,3,2015
,36,Kibuku 2,5,2013
,32,Kibuku 2,3,2015
,56,Kibuku 2,8,2013
,48,Kibuku 2,8,2013
,85,Kibuku 2,3,2015
,41,Kibuku 2,3,2015
,22,Kibuku 2,3,2015
,40,Kibuku 2,3,2015
,41,Kibuku 2,3,2015
,36,Kibuku 2,4,2014
,71,Kibuku 2,3,2015
,58,Kibuku 2,3,2015
,104,Kibuku 2,3,2015
,58,Kibuku 2,7,2013
,72,Kibuku 2,3,2015
,46,Kibuku 2,8,2013
,35,Kibuku 2,8,2013
,41,Kibuku 2,3,2015
,67,Kibuku 2,3,2015
,22,Kibuku 2,3,2015
,60,Kibuku 2,3,2015
,50,Kibuku 2,3,2015
,40,Kibuku 2,4,2013
,24,Kibuku 2,3,2015
,50,Kibuku 2,3,2015
,38,Kibuku 2,3,2015
,45,Kibuku 2,3,2015
,34,Kibuku 2,3,2015
,36,Kibuku 2,8,2013
,59,Kibuku 2,3,2015
,32,Kibuku 2,3,2015
,98,Kibuku 2,3,2015
,36,Kibuku 2,3,2015
,33,Kibuku 2,3,2015
,39,Kibuku 2,3,2015
,39,Kibuku 2,4,2013
,45,Kibuku 2,4,2014
,30,Kibuku 2,3,2015
,73,Kibuku 2,3,2015
,41,Kibuku 2,8,2013
,37,Kibuku 2,3,2015
,26,Kibuku 2,3,2015
,32,Kibuku 2,3,2015
,52,Kibuku 2,3,2015
,30,Kibuku 2,3,2015
,60,Kibuku 2,3,2015
,45,Kibuku 2,5,2013
,56,Kibuku 2,3,2015
,39,Kibuku 2,3,2015
,68,Kibuku 2,3,2015
,43,Kibuku 2,3,2015
,31,Kibuku 2,3,2015
,60,Kibuku 2,3,2015
,57,Kibuku 2,3,2015
,36,Kibuku 2,4,2013
,94,Kibuku 2,3,2015
,16,Kibuku 2,8,2013
,22,Kibuku 2,4,2014
,55,Kibuku 2,1,2012
,19,Kibuku  3,4,2013
,20,Kibuku  3,5,2013
,33,Kibuku  3,4,2014
,35,Kibuku  3,4,2013
,25,Kibuku  3,5,2013
,37,Kibuku  3,4,2014
,46,Kibuku  3,4,2013
,55,Kibuku  3,3,2015
,42,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,28,Kibuku  3,4,2013
,60,Kibuku  3,5,2013
,60,Kibuku  3,5,2013
,28,Kibuku  3,4,2014
,57,Kibuku  3,5,2013
,31,Kibuku  3,5,2013
,36,Kibuku  3,5,2013
,40,Kibuku  3,4,2013
,25,Kibuku  3,4,2013
,42,Kibuku  3,4,2014
,63,Kibuku  3,5,2013
,20,Kibuku  3,4,2014
,34,Kibuku  3,3,2015
,23,Kibuku  3,5,2013
,25,Kibuku  3,5,2013
,25,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,61,Kibuku  3,4,2013
,66,Kibuku  3,4,2013
,25,Kibuku  3,5,2013
,56,Kibuku  3,4,2013
,38,Kibuku  3,4,2013
,47,Kibuku  3,5,2013
,41,Kibuku  3,4,2013
,42,Kibuku  3,5,2013
,30,Kibuku  3,5,2013
,33,Kibuku  3,4,2014
,50,Kibuku  3,5,2013
,26,Kibuku  3,5,2013
,51,Kibuku  3,5,2013
,19,Kibuku  3,4,2013
,51,Kibuku  3,4,2014
,41,Kibuku  3,4,2013
,40,Kibuku  3,5,2013
,33,Kibuku  3,3,2015
,63,Kibuku  3,5,2013
,28,Kibuku  3,3,2015
,83,Kibuku  3,5,2013
,48,Kibuku  3,4,2013
,82,Kibuku  3,3,2015
,34,Kibuku  3,3,2015
,23,Kibuku  3,4,2014
,40,Kibuku  3,4,2013
,50,Kibuku  3,5,2013
,30,Kibuku  3,4,2013
,67,Kibuku  3,3,2015
,61,Kibuku  3,5,2013
,29,Kibuku  3,3,2015
,55,Kibuku  3,4,2013
,37,Kibuku  3,5,2013
,38,Kibuku  3,5,2013
,48,Kibuku  3,3,2015
,42,Kibuku  3,4,2013
,23,Kibuku  3,4,2013
,44,Kibuku  3,4,2013
,25,Kibuku  3,5,2013
,45,Kibuku  3,4,2013
,38,Kibuku  3,5,2013
,89,Kibuku  3,5,2013
,35,Kibuku  3,4,2013
,68,Kibuku  3,4,2013
,22,Kibuku  3,4,2013
,43,Kibuku  3,5,2013
,24,Kibuku  3,5,2013
,35,Kibuku  3,4,2013
,39,Kibuku  3,5,2013
,35,Kibuku  3,3,2015
,22,Kibuku  3,5,2013
,48,Kibuku  3,4,2013
,61,Kibuku  3,4,2013
,50,Kibuku  3,5,2013
,64,Kibuku  3,3,2015
,44,Kibuku  3,4,2013
,20,Kibuku  3,5,2013
,37,Kibuku  3,3,2015
,71,Kibuku  3,4,2013
,46,Kibuku  3,4,2013
,39,Kibuku  3,4,2013
,21,Kibuku  3,4,2013
,37,Kibuku  3,4,2013
,59,Kibuku  3,5,2013
,53,Kibuku  3,3,2015
,32,Kibuku  3,4,2013
,43,Kibuku  3,5,2013
,15,Kibuku  3,5,2013
,28,Kibuku  3,4,2013
,19,Kibuku  3,3,2015
,49,Kibuku  3,4,2013
,33,Kibuku  3,4,2013
,52,Kibuku  3,5,2013
,52,Kibuku  3,5,2013
,,Kibuku  3,5,2013
,26,Kibuku  3,4,2014
,74,Kibuku  3,5,2013
,50,Kibuku  3,5,2013
,24,Kibuku  3,4,2013
,34,Kibuku  3,5,2013
,54,Kibuku  3,4,2013
,86,Kibuku  3,4,2013
,56,Kibuku  3,5,2013
,39,Kibuku  3,4,2013
,37,Kibuku  3,4,2014
,37,Kibuku  3,5,2013
,53,Kibuku  3,4,2014
,31,Kibuku  3,4,2013
,37,Kibuku  3,3,2015
,46,Kibuku  3,3,2015
,76,Kibuku  3,3,2015
,56,Kibuku  3,4,2014
,24,Kibuku  3,3,2015
,46,Kibuku  3,5,2013
,28,Kibuku  3,4,2014
