ID,cem301_attendees_total,cem011 prgrm,month,year
,37,Kibuku  3,4,2013
,79,Kibuku  3,5,2013
,28,Kibuku  3,5,2013
,30,Kibuku  3,4,2013
,35,Kibuku  3,4,2013
,73,Kibuku  3,3,2015
,33,Kibuku  3,5,2013
,21,Kibuku  3,4,2014
,61,Kibuku  3,5,2013
,59,Kibuku  3,4,2014
,32,Kibuku  3,4,2014
,38,Kibuku  3,4,2013
,52,Kibuku  3,4,2013
,58,Kibuku  3,3,2015
,35,Kibuku  3,5,2013
,24,Kibuku  3,5,2013
,41,Kibuku  3,5,2013
,39,Kibuku  3,5,2013
,31,Kibuku  3,4,2013
,40,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,46,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,41,Kibuku  3,5,2013
,30,Kibuku  3,5,2013
,40,Kibuku  3,3,2015
,26,Kibuku  3,3,2015
,28,Kibuku  3,4,2014
,53,Kibuku  3,3,2015
,13,Kibuku  3,3,2015
,21,Kibuku  3,4,2013
,36,Kibuku  3,5,2013
,39,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,42,Kibuku  3,5,2013
,20,Kibuku  3,3,2015
,46,Kibuku  3,5,2013
,30,Kibuku  3,4,2014
,18,Kibuku  3,3,2015
,41,Kibuku  3,5,2013
,75,Kibuku  3,4,2013
,50,Kibuku  3,5,2013
,32,Kibuku  3,5,2013
,22,Kibuku  3,5,2013
,29,Kibuku  3,4,2013
,23,Kibuku  3,4,2014
,57,Kibuku  3,5,2013
,34,Kibuku  3,4,2013
,86,Kibuku  3,5,2013
,21,Kibuku  3,4,2013
,43,Kibuku  3,3,2015
,29,Kibuku  3,5,2013
,21,Kibuku  3,5,2013
,37,Kibuku  3,3,2015
,44,Kibuku  3,4,2013
,55,Kibuku  3,3,2015
,29,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,38,Kibuku  3,5,2013
,44,Kibuku  3,3,2015
,54,Kibuku  3,3,2015
,39,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,26,Kibuku  3,4,2013
,22,Kibuku  3,5,2013
,25,Kibuku  3,5,2013
,57,Kibuku  3,4,2014
,55,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,44,Kibuku  3,4,2013
,55,Kibuku  3,5,2013
,40,Kibuku  3,4,2014
,55,Kibuku  3,5,2013
,42,Kibuku  3,5,2013
,60,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,45,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,16,Kibuku  3,5,2013
,28,Kibuku  3,4,2014
,26,Kibuku  3,4,2013
,42,Kibuku  3,4,2013
,81,Kibuku  3,3,2015
,22,Kibuku  3,4,2013
,32,Kibuku  3,6,2014
,12,Kibuku  3,5,2013
,28,Kibuku  3,5,2013
,25,Kibuku  3,5,2013
,59,Kibuku  3,4,2013
,38,Kibuku  3,5,2013
,52,Kibuku  3,4,2013
,22,Kibuku  3,5,2013
,50,Kibuku  3,5,2013
,25,Kibuku  3,4,2013
,23,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,38,Kibuku  3,4,2013
,32,Kibuku  3,4,2013
,30,Kibuku  3,3,2015
,41,Kibuku  3,5,2013
,51,Kibuku  3,5,2013
,38,Kibuku  3,3,2015
,27,Kibuku  3,4,2014
,32,Kibuku  3,3,2015
,28,Kibuku  4,8,2013
,45,Kibuku  4,4,2014
,45,Kibuku  4,4,2014
,24,Kibuku  4,7,2013
,28,Kibuku  4,4,2014
,30,Kibuku  4,8,2013
,19,Kibuku  4,4,2014
,52,Kibuku  4,7,2013
,21,Kibuku  4,8,2013
,23,Kibuku  4,4,2014
,23,Kibuku  4,8,2013
,31,Kibuku  4,4,2014
,40,Kibuku  4,8,2013
,32,Kibuku  4,8,2013
,68,Kibuku  4,7,2013
,31,Kibuku  4,8,2013
,41,Kibuku  4,4,2014
,17,Kibuku  4,4,2014
,37,Kibuku  4,8,2013
,30,Kibuku  4,8,2013
,33,Kibuku  4,8,2013
,30,Kibuku  4,7,2013
,72,Kibuku  4,8,2013
,57,Kibuku  4,8,2013
,32,Kibuku  4,8,2013
,52,Kibuku  4,8,2013
,48,Kibuku  4,8,2013
,28,Kibuku  4,8,2013
,40,Kibuku  4,8,2013
,37,Kibuku  4,8,2013
,40,Kibuku  4,5,2013
,45,Kibuku  4,8,2013
,37,Kibuku  4,8,2013
,17,Kibuku  4,8,2013
,34,Kibuku  4,8,2013
,40,Kibuku  4,8,2013
,61,Kibuku  4,7,2013
,48,Kibuku  4,8,2013
,45,Kibuku  4,8,2013
,42,Kibuku  4,8,2013
,66,Kibuku  4,8,2013
,50,Kibuku  4,8,2013
,46,Kibuku  4,8,2013
,24,Kibuku  4,8,2013
,33,Kibuku  4,4,2014
,26,Kibuku  4,4,2014
,28,Kibuku  4,4,2014
,42,Kibuku  4,8,2013
,32,Kibuku  4,4,2014
,25,Kibuku  4,4,2014
,18,Kibuku  4,8,2013
,36,Kibuku  4,4,2013
,39,Kibuku  4,8,2013
,41,Kibuku  4,8,2013
,25,Kibuku  4,8,2013
,20,Kibuku  4,8,2013
,42,Kibuku  4,7,2013
,22,Kibuku  4,1,2013
,45,Kibuku  4,7,2013
,23,Kibuku  4,4,2014
,44,Kibuku  4,7,2013
,29,Kibuku  4,7,2013
,21,Kibuku  4,8,2013
,51,Kibuku  4,8,2013
,20,Kibuku  4,4,2014
,41,Kibuku  4,8,2013
,47,Kibuku  4,7,2013
,35,Kibuku  4,5,2013
,28,Kibuku  4,4,2014
,22,Kibuku  4,8,2013
,20,Kibuku  4,8,2013
,,Kibuku  4,4,2013
,26,Kibuku  4,4,2014
,34,Kibuku  4,8,2013
,13,Kibuku  4,4,2014
,23,Kibuku  4,8,2013
,35,Kibuku  4,7,2013
,20,Kibuku  4,4,2014
,48,Kibuku  4,8,2013
,25,Kibuku  4,4,2014
,23,Kibuku  4,4,2014
,26,Kibuku  4,4,2014
,25,Kibuku  4,4,2014
,35,Kibuku  4,5,2013
,22,Kibuku  4,8,2013
,30,Kibuku  4,8,2013
,24,Kibuku  4,8,2013
,34,Kibuku  4,8,2013
,19,Kibuku  4,4,2014
,53,Kibuku  4,8,2013
,43,Kibuku  4,8,2013
,28,Kibuku  4,8,2013
,40,Kibuku  4,4,2014
,32,Kibuku  4,8,2013
,41,Kibuku  4,8,2013
,28,Kibuku  4,5,2013
,32,Kibuku  4,8,2013
,20,Kibuku  4,4,2014
,37,Kibuku  4,4,2014
,34,Kibuku  4,7,2013
,42,Kibuku  4,4,2014
,46,Kibuku  4,4,2014
,38,Kibuku  4,4,2014
,17,Kibuku  4,4,2014
,15,Kibuku  4,4,2014
,35,Kibuku  4,4,2014
,24,Kibuku  4,8,2013
,37,Kibuku  4,4,2014
,30,Kibuku  4,8,2013
,31,Kibuku  4,8,2013
,25,Kibuku  4,8,2013
,35,Kibuku  4,7,2013
,35,Kibuku  4,4,2014
,25,Kibuku  4,8,2013
,39,Kibuku  4,8,2013
,30,Kibuku  4,8,2013
,25,Kibuku  4,8,2013
,46,Kibuku  4,8,2013
,32,Kibuku  4,8,2013
,30,Kibuku  4,8,2013
,21,Kibuku  4,4,2014
,29,Kibuku  4,8,2013
,27,Kibuku  4,8,2013
,19,Kibuku  4,4,2014
,22,Kibuku  4,8,2013
,20,Kibuku  4,4,2014
,45,Kibuku  4,7,2013
,30,Kibuku  4,8,2013
,26,Kibuku  4,4,2014
,24,Kibuku  4,4,2014
,52,Kibuku  4,8,2013
,18,Kibuku  4,4,2014
,30,Kibuku  4,8,2013
,23,Kibuku  4,8,2013
,14,Kibuku  4,7,2013
,38,Kibuku  4,5,2013
,42,Kibuku  4,8,2013
,34,Kibuku  4,8,2013
,17,Kibuku  4,8,2013
,48,Kibuku  4,8,2013
,45,Kibuku  4,8,2013
,29,Kibuku  4,8,2013
,,Kibuku  4,4,2013
,33,Kibuku  4,7,2013
,43,Kibuku  4,7,2013
,23,Kibuku  4,4,2014
,50,Kibuku  4,8,2013
,31,Kibuku  4,7,2013
,46,Kibuku  4,4,2014
,23,Kibuku  4,4,2014
,25,Kibuku  4,4,2014
,46,Kibuku  4,4,2014
,53,Kibuku  4,7,2013
,25,Kibuku  4,7,2013
,33,Kibuku  4,4,2014
,38,Kibuku  4,8,2013
,40,Kibuku  4,8,2013
,58,Kibuku  4,8,2013
,64,Kibuku  4,4,2014
,33,Kibuku  4,8,2013
,38,Kibuku  4,8,2013
,48,Kibuku  4,8,2013
,31,Kibuku  4,4,2014
,45,Kibuku  4,7,2013
,40,Kibuku  4,4,2014
,28,Kibuku  4,8,2013
,15,Kibuku  4,8,2013
,31,Kibuku  4,4,2014
,38,Kibuku  4,4,2014
,10,Kibuku  4,8,2013
,33,Kibuku  4,1,2013
,62,Kibuku  4,4,2014
,46,Kibuku  4,8,2013
,41,Kibuku  4,8,2013
,40,Kibuku  4,4,2014
,31,Kibuku  4,7,2013
,34,Kibuku  4,4,2014
,49,Kibuku  4,7,2013
,28,Kibuku  4,8,2013
,50,Kibuku  4,7,2013
,30,Kibuku  4,8,2013
,50,Kibuku  4,5,2013
,24,Kibuku  4,8,2013
,20,Kibuku  4,4,2014
,28,Kibuku  4,7,2013
,51,Kibuku  4,8,2013
,49,Kibuku  4,8,2013
,28,Kibuku  4,8,2013
,28,Kibuku  4,5,2013
,48,Kibuku  4,4,2014
,89,Kibuku  4,8,2013
,53,Kibuku  4,7,2013
,54,Kibuku  4,8,2013
,21,Kibuku  4,8,2013
,26,Kibuku  4,7,2013
,21,Kibuku  4,4,2014
,50,Kibuku  4,7,2013
,51,Kibuku  4,8,2013
,20,Kibuku  4,8,2013
,36,Kibuku  4,4,2014
,69,Kibuku  4,8,2013
,35,Kibuku  4,8,2013
,25,Kibuku  4,4,2014
,52,Kibuku  4,8,2013
,24,Kibuku  4,7,2013
,20,Kibuku  4,7,2013
,49,Kibuku  4,7,2013
,29,Kibuku  4,8,2013
,34,Kibuku  4,8,2013
,32,Kibuku  4,8,2013
,30,Mbale,8,2014
,38,Mbale,9,2014
,60,Mbale,9,2014
,30,Mbale,9,2014
,33,Mbale,9,2014
,14,Mbale,10,2014
,33,Mbale,9,2014
,40,Mbale,9,2014
,22,Mbale,9,2014
,37,Mbale,8,2014
,26,Mbale,9,2014
,18,Mbale,9,2014
,44,Mbale,8,2014
,38,Mbale,9,2014
,32,Mbale,9,2014
,16,Mbale,9,2014
,21,Mbale,8,2014
,28,Mbale,9,2014
,31,Mbale,9,2014
,20,Mbale,9,2014
,67,Mbale,9,2014
,25,Mbale,9,2014
,45,Mbale,10,2014
,38,Mbale,9,2014
,33,Mbale,10,2014
,14,Mbale,10,2014
,17,Mbale,9,2014
,26,Mbale,8,2014
,38,Mbale,9,2014
,35,Mbale,9,2014
,39,Mbale,9,2014
,22,Mbale,9,2014
,35,Mbale,9,2014
,23,Mbale,10,2014
,24,Mbale,9,2014
,21,Mbale,8,2014
,30,Mbale,10,2014
,23,Mbale,9,2014
,349,Mbale,9,2014
,33,Mbale,10,2014
,56,Mbale,8,2014
,25,Mbale,9,2014
,17,Mbale,9,2014
,32,Mbale,8,2014
,20,Mbale,8,2014
,51,Mbale,9,2014
,51,Mbale,9,2014
,21,Mbale,10,2014
,18,Mbale,10,2014
,47,Mbale,9,2014
,30,Mbale,8,2014
,67,Mbale,9,2014
,37,Mbale,9,2014
,40,Mbale,9,2014
,37,Mbale,8,2014
,10,Mbale,8,2014
,25,Mbale,8,2014
,47,Mbale,9,2014
,29,Mbale,9,2014
,12,Mbale,9,2014
,45,Mbale,9,2014
,36,Mbale,9,2014
,20,Mbale,10,2014
,53,Mbale,9,2014
,17,Mbale,8,2014
,31,Mbale,10,2014
,48,Mbale,10,2014
,15,Mbale,9,2014
,28,Mbale,9,2014
,31,Mbale,9,2014
,24,Mbale,10,2014
,26,Mbale,10,2014
,27,Mbale,9,2014
,30,Mbale,9,2014
,12,Mbale,9,2014
,15,Mbale,9,2014
,45,Mbale,9,2014
,30,Mbale,10,2014
,33,Mbale,8,2014
,29,Mbale,10,2014
,32,Mbale,9,2014
,27,Mbale,9,2014
,48,Mbale,9,2014
,27,Mbale,9,2014
,46,Mbale,8,2014
,23,Mbale,9,2014
,51,Mbale,9,2014
,16,Mbale,10,2014
,38,Mbale,1,2014
,39,Mbale,9,2014
,26,Mbale,9,2014
,25,Mbale,9,2014
,49,Mbale,9,2014
,57,Mbale,9,2014
,50,Mbale,8,2014
,48,Mbale,9,2014
,40,Mbale,9,2014
,45,Mbale,8,2014
,36,Mbale,8,2014
,45,Mbale,9,2014
,23,Mbale,9,2014
,58,Mbale,9,2014
,55,Mbale,10,2014
,19,Mbale,9,2014
,34,Mbale,9,2014
,21,Mbale,9,2014
,49,Mbale,9,2014
,17,Mbale,8,2014
,40,Mbale,9,2014
,35,Mbale,9,2014
,40,Mbale,9,2014
,31,Mbale,8,2014
,32,Mbale,9,2014
,25,Mbale,9,2014
,60,Mbale,9,2014
,38,Mbale,8,2014
,76,Mbale,10,2015
,24,Mbale,10,2014
,18,Mbale,9,2014
,29,Mbale,9,2014
,26,Mbale,9,2014
,40,Mbale,8,2014
,29,Mbale,9,2014
,17,Mbale,9,2014
,30,Mbale,8,2014
,46,Mbale,9,2014
,34,Mbale,10,2014
,33,Mbale,9,2014
,21,Mbale,10,2014
,35,Mbale,10,2014
,59,Mbale,9,2014
,38,Mbale,9,2014
,45,Mbale,9,2014
,42,Mbale,10,2015
,47,Mbale,9,2014
,68,Mbale,9,2014
,37,Mbale,8,2014
,55,Mbale,9,2014
,53,Mbale,9,2014
,32,Mbale,9,2014
,28,Mbale,9,2014
,34,Mbale,9,2014
,50,Mbale,9,2014
,150,Mbale,9,2014
,26,Mbale,10,2014
,17,Mbale,9,2014
,22,Mbale,9,2014
,30,Mbale,10,2014
,27,Mbale,8,2014
,44,Mbale,9,2014
,43,Mbale,9,2014
,32,Mbale,9,2014
,22,Mbale,9,2014
,31,Mbale,10,2014
,22,Mbale,9,2014
,39,Mbale,9,2014
,23,Mbale,9,2014
,27,Mbale,9,2014
,42,Mbale,9,2014
,44,Mbale,8,2014
,25,Mbale,8,2014
,21,Mbale,9,2014
,23,Mbale,9,2014
,22,Mbale,8,2014
,35,Mbale,10,2015
,36,Mbale,10,2014
,40,Mbale,8,2014
,60,Mbale,8,2014
,25,Mbale,9,2014
,23,Mbale,8,2014
,34,Mbale,10,2014
,28,Mbale,9,2014
,16,Mbale,9,2014
,49,Mbale,8,2014
,62,Mbale,9,2014
,19,Mbale,8,2014
,10,Mbale,8,2014
,35,Mbale,9,2014
,45,Mbale,9,2014
,26,Mbale,10,2015
,47,Mbale,8,2014
,52,Mbale,9,2014
,24,Mbale,8,2014
,23,Mbale,9,2014
,55,Mbale,9,2014
,21,Mbale,9,2014
,54,Mbale,9,2014
,35,Mbale,9,2014
,25,Mbale,8,2014
,99,Mbale,9,2014
,34,Mbale,9,2014
,15,Mbale,9,2014
,20,Mbale,9,2014
,22,Mbale,9,2014
,15,Mbale,9,2014
,35,Mbale,9,2014
,23,Mbale,8,2014
,43,Mbale,9,2014
,18,Mbale,8,2014
,18,Mbale,10,2014
,29,Mbale,9,2014
,18,Mbale,10,2014
,40,Mbale,9,2014
,52,Mbale,10,2014
,48,Mbale,8,2014
,30,Mbale,8,2014
,32,Mbale,9,2014
,21,Mbale,9,2014
,42,Mbale,9,2014
,38,Mbale,9,2014
,22,Mbale,9,2014
,59,Mbale,10,2014
,20,Mbale,9,2014
,12,Mbale,10,2014
,17,Mbale,9,2014
,45,Mbale,9,2014
,27,Mbale,10,2014
,30,Mbale,9,2014
,22,Mbale,8,2014
,51,Mbale,9,2014
,34,Mbale,9,2014
,22,Mbale,9,2014
,37,Mbale,8,2014
,40,Mbale,10,2014
,24,Mbale,9,2014
,20,Mbale,9,2014
,46,Mbale,10,2014
,40,Mbale,9,2014
,38,Mbale,10,2014
,16,Mbale,10,2014
,36,Mbale,9,2014
,56,Mbale,9,2014
,56,Mbale,9,2014
,49,Mbale,10,2014
,45,Mbale,10,2014
,20,Mbale,9,2014
,19,Mbale,10,2014
,15,Mbale,9,2014
,34,Mbale,9,2014
,42,Mbale,9,2014
,14,Mbale,8,2014
,25,Mbale,8,2014
,17,Mbale,9,2014
,32,Mbale,9,2014
,23,Mbale,9,2014
,30,Mbale,9,2014
,32,Mbale,8,2014
,29,Mbale,10,2014
,58,Mbale,8,2014
,20,Mbale,8,2014
,44,Mbale,9,2014
,43,Mbale,9,2014
,40,Mbale,9,2014
,35,Mbale,9,2014
,22,Mbale,9,2014
,36,Mbale,10,2014
,44,Mbale,10,2014
,41,Mbale,10,2014
,36,Mbale,9,2014
,42,Mbale,9,2014
,22,Mbale,9,2014
,23,Mbale,9,2014
,23,Mbale,9,2014
,28,Mbale,9,2014
,26,Mbale,8,2014
,23,Mbale,10,2014
,31,Mbale,10,2014
,45,Mbale,9,2014
,28,Mbale,9,2014
,55,Mbale,9,2014
,36,Mbale,10,2014
,35,Mbale,10,2014
,67,Mbale,9,2014
,51,Mbale,9,2014
,55,Mbale,8,2014
,66,Mbale,9,2014
,19,Mbale,9,2014
,60,Mbale,9,2014
,52,Mbale,9,2014
,38,Mbale,9,2014
,56,Mbale,9,2014
,31,Mbale,9,2014
,20,Mbale,8,2014
,61,Mbale,9,2014
,52,Mbale,8,2014
,43,Mbale,9,2014
,20,Mbale,9,2014
,24,Mbale,9,2014
,36,Mbale,10,2014
,21,Mbale,9,2014
,58,Mbale,9,2014
,22,Mbale,8,2014
,21,Mbale,8,2014
,60,Mbale,9,2014
,34,Mbale,8,2014
,32,Mbale,10,2014
,34,Mbale,9,2014
,18,Mbale,10,2014
,55,Mbale,9,2014
,30,Mbale,10,2014
,50,Mbale,10,2014
,43,Mbale,10,2015
,14,Mbale,9,2014
,27,Mbale,9,2014
,33,Mbale,10,2014
,42,Mbale,10,2014
,31,Mbale,10,2014
,69,Mbale,10,2014
,54,Mbale,9,2014
,40,Mbale,9,2014
,25,Mbale,10,2014
,40,Mbale,9,2014
,46,Mbale,9,2014
,42,Mbale,8,2014
,23,Mbale,9,2014
,56,Mbale,9,2014
,50,Mbale,9,2014
,27,Mbale,9,2014
,31,Mbale,9,2014
,19,Mbale,9,2014
,52,Mbale,9,2014
,90,Mbale,9,2014
,30,Mbale,8,2014
,68,Mbale,9,2014
,56,Mbale,9,2014
,29,Mbale,9,2014
,45,Mbale,8,2014
,40,Mbale,9,2014
,60,Mbale,9,2014
,30,Mbale,10,2014
,28,Mbale,9,2014
,22,Mbale,9,2014
,31,Mbale,9,2014
,42,Mbale,8,2014
,19,Mbale,8,2014
,20,Mbale,9,2014
,23,Mbale,9,2014
,67,Mbale,9,2014
,18,Mbale,10,2014
,27,Mbale,9,2014
,25,Mbale,9,2014
,29,Mbale,9,2014
,53,Mbale,9,2014
,27,Mbale,8,2014
,35,Mbale,9,2014
,38,Mbale,9,2014
,29,Mbale,9,2014
,19,Mbale,10,2014
,41,Mbale,9,2014
,29,Mbale,8,2014
,122,Mbale,9,2014
,33,Mbale,9,2014
,34,Mbale,8,2014
,34,Mbale,9,2014
,26,Mbale,9,2014
,20,Mbale,9,2014
,40,Mbale,9,2014
,65,Mbale,9,2014
,49,Mbale,9,2014
,92,Mbale,8,2014
,31,Mbale,9,2014
,36,Mbale,8,2014
,40,Mbale,9,2014
,19,Mbale,9,2014
,40,Mbale,8,2014
,31,Mbale,9,2014
,49,Mbale,9,2014
,27,Mbale,9,2014
,26,Mbale,8,2014
,68,Mbale,9,2014
,21,Mbale,9,2014
,40,Mbale,9,2014
,28,Mbale,9,2014
,24,Mbale,9,2014
,32,Mbale,10,2014
,22,Mbale,9,2014
,24,Mbale,9,2014
,23,Mbale,8,2014
,24,Mbale,9,2014
,45,Mbale,8,2014
,25,Mbale,10,2014
,59,Mbale,9,2014
,40,Mbale,9,2014
,42,Mbale,9,2014
,27,Mbale,9,2014
,44,Mbale,9,2014
,31,Mbale,10,2014
,20,Mbale,10,2014
,30,Mbale,9,2014
,24,Mbale,9,2014
,71,Mbale,9,2014
,34,Mbale,9,2014
,39,Mbale,9,2014
,45,Mbale,9,2014
,25,Mbale,9,2014
,32,Mbale,9,2014
,27,Mbale,9,2014
,45,Mbale,10,2014
,32,Mbale,9,2014
,19,Mbale,9,2014
,38,Mbale,9,2014
,38,Mbale,9,2014
,28,Mbale,9,2014
,18,Mbale,9,2014
,23,Mbale,9,2014
,45,Mbale,9,2014
,28,Mbale,8,2014
,45,Mbale,8,2014
,35,Mbale,10,2014
,25,Mbale,9,2014
,34,Mbale,8,2014
,34,Mbale,9,2014
,50,Mbale,9,2014
,29,Mbale,9,2014
,18,Mbale,10,2014
,45,Mbale,9,2014
,14,Mbale,9,2014
,33,Mbale,9,2014
,15,Mbale,9,2014
,46,Mbale,10,2014
,62,Mbale,9,2014
,30,Mbale,9,2014
,19,Mbale,9,2014
,43,Mbale,9,2014
,29,Mbale,9,2014
,23,Mbale,9,2014
,39,Mbale,10,2014
,34,Mbale,9,2014
,27,Mbale,9,2014
,60,Mbale,9,2014
,35,Mbale,9,2014
,36,Mbale,10,2015
,37,Mbale,9,2014
,77,Mbale,9,2014
,42,Mbale,9,2014
,50,Mbale,8,2014
,22,Mbale,9,2014
,79,Mbale,9,2014
,56,Mbale,8,2014
,49,Mbale,9,2014
,31,Mbale,9,2014
,26,Mbale,8,2014
,81,Mbale,9,2014
,37,Mbale,9,2014
,60,Mbale,10,2014
,21,Mbale,8,2014
,38,Mbale,9,2014
,29,Mbale,9,2014
,36,Mbale,10,2014
,20,Mbale,9,2014
,24,Mbale,9,2014
,27,Mbale,9,2014
,33,Mbale,9,2014
,29,Mbale,9,2014
,27,Mbale,10,2014
,30,Mbale,8,2014
,12,Mbale,10,2014
,20,Mbale,9,2014
,34,Mbale,9,2014
,24,Mbale,9,2014
,60,Mbale,8,2014
,31,Mbale,9,2014
,15,Mbale,9,2014
,52,Mbale,9,2014
,50,Mbale,9,2014
,30,Mbale,8,2014
,13,Mbale,9,2014
,20,Mbale,8,2014
,22,Mbale,9,2014
,55,Mbale,9,2014
,29,Mbale,10,2014
,15,Mbale,8,2014
,45,Mbale,8,2014
,45,Mbale,9,2014
,48,Mbale,10,2014
,76,Mbale,9,2014
,61,Mbale,8,2014
,26,Mbale,9,2014
,30,Mbale,9,2014
,15,Mbale,9,2014
,58,Mbale,9,2014
,19,Mbale,9,2014
,49,Mbale,9,2014
,8,Mbale,10,2014
,17,Mbale,9,2014
,61,Mbale,9,2014
,24,Mbale,9,2014
,31,Mbale,8,2014
,46,Mbale,9,2014
,52,Mbale,10,2015
,38,Mbale,8,2014
,35,Mbale,9,2014
,23,Mbale,10,2014
,36,Mbale,10,2014
,18,Mbale,9,2014
,23,Mbale,8,2014
,50,Mbale,9,2014
,16,Mbale,9,2014
,46,Mbale,8,2014
,31,Mbale,9,2014
,29,Mbale,10,2014
,28,Mbale,10,2014
,40,Mbale,9,2014
,60,Mbale,9,2014
,23,Mbale,9,2014
,32,Mbale,9,2014
,12,Mbale,10,2014
,35,Mbale,10,2014
,72,Mbale,9,2014
,90,Mbale,9,2014
,12,Mbale,9,2014
,25,Mbale,10,2014
,36,Mbale,9,2014
,19,Mbale,9,2014
,34,Mbale,9,2014
,47,Mbale,9,2014
,72,Mbale,1,2014
,27,Mbale,9,2014
,37,Mbale,10,2014
,36,Mbale,9,2014
,40,Mbale,10,2014
,28,Mbale,8,2014
,32,Mbale,9,2014
,37,Mbale,8,2014
,11,Mbale,10,2014
,19,Mbale,8,2014
,25,Mbale,10,2014
,31,Mbale,10,2014
,28,Mbale,10,2014
,16,Mbale,9,2014
,23,Mbale,8,2014
,32,Mbale,9,2014
,29,Mbale,9,2014
,41,Mbale,9,2014
,30,Mbale,10,2014
,31,Mbale,10,2014
,23,Mbale,9,2014
,15,Mbale,8,2014
,45,Mbale,9,2014
,30,Mbale,9,2014
,31,Mbale,9,2014
,20,Mbale,10,2015
,22,Mbale,9,2014
,15,Mbale,9,2014
,20,Mbale,9,2014
,34,Mbale,10,2014
,39,Mbale,9,2014
,31,Mbale,9,2014
,39,Mbale,9,2014
,38,Mbale,10,2015
,67,Mbale,9,2014
,36,Mbale,9,2014
,42,Mbale,8,2014
,35,Mbale,9,2014
,17,Mbale,8,2014
,12,Mbale,9,2014
,31,Mbale,8,2014
,46,Mbale,10,2014
,30,Mbale,8,2014
,17,Mbale,8,2014
,18,Mbale,8,2014
,39,Mbale,10,2014
,19,Mbale,1,2014
,37,Mbale,8,2014
,67,Mbale,9,2014
,19,Mbale,9,2014
,13,Mbale,10,2014
,22,Mbale,8,2014
,58,Mbale,8,2014
,76,Mbale,8,2014
,22,Mbale,9,2014
,30,Mbale,9,2014
,60,Mbale,9,2014
,27,Mbale,9,2014
,43,Mbale,9,2014
,24,Mbale,9,2014
,43,Mbale,10,2014
,23,Mbale,10,2014
,30,Mbale,9,2014
,33,Mbale,9,2014
,21,Mbale,9,2014
,22,Mbale,9,2014
,30,Mbale,9,2014
,56,Mbale,10,2014
,48,Mbale,8,2014
,25,Mbale,8,2014
,30,Mbale,8,2014
,67,Mbale,10,2014
,43,Mbale,9,2014
,35,Mbale,8,2014
,41,Mbale,9,2014
,38,Mbale,10,2014
,43,Mbale,8,2014
,28,Mbale,8,2014
,55,Mbale,9,2014
,44,Mbale,9,2014
,53,Mbale,9,2014
,19,Mbale,9,2014
,40,Mbale,9,2014
,58,Mbale,10,2014
,35,Mbale,8,2014
,15,Mbale,9,2014
,30,Mbale,10,2014
,30,Mbale,9,2014
,25,Mbale,9,2014
,33,Mbale,8,2014
,35,Mbale,9,2014
,45,Mbale,9,2014
,29,Mbale,9,2014
,45,Mbale,9,2014
,28,Mbale,9,2014
,52,Mbale,8,2014
,20,Mbale,10,2014
,41,Mbale,9,2014
,47,Mbale,8,2014
,26,Mbale,9,2014
,32,Mbale,9,2014
,47,Mbale,9,2014
,68,Mbale,9,2014
,14,Mbale,10,2014
,35,Mbale,9,2014
,30,Mbale,10,2014
,30,Mbale,8,2014
,22,Mbale,9,2014
,20,Mbale,9,2014
,15,Mbale,9,2014
,67,Mbale,8,2014
,43,Mbale,9,2014
,48,Mbale,9,2014
,33,Mbale,10,2014
,35,Mbale,9,2014
,25,Mbale,10,2014
,100,Mbale,9,2014
,31,Mbale,8,2014
,41,Mbale,9,2014
,44,Mbale,9,2014
,29,Mbale,9,2014
,25,Mbale,8,2014
,41,Mbale,8,2014
,23,Mbale,9,2014
,40,Mbale,8,2014
,28,Mbale,9,2014
,28,Mbale,8,2014
,32,Mbale,9,2014
,29,Mbale,8,2014
,25,Mbale,9,2014
,62,Mbale,9,2014
,21,Mbale,9,2014
,35,Mbale,8,2014
,35,Mbale,8,2014
,57,Mbale,9,2014
,25,Mbale,9,2014
,31,Mbale,9,2014
,18,Mbale,10,2014
,25,Mbale,9,2014
,30,Mbale,9,2014
,59,Mbale,9,2014
,27,Mbale,9,2014
,67,Mbale,9,2014
,40,Mbale,10,2015
,38,Mbale,10,2014
,40,Mbale,9,2014
,24,Mbale,9,2014
,45,Mbale,9,2014
,66,Mbale,9,2014
,29,Mbale,8,2014
,34,Mbale,9,2014
,31,Mbale,9,2014
,16,Mbale,9,2014
,25,Mbale,10,2014
,24,Mbale,10,2014
,85,Mbale,10,2014
,20,Mbale,9,2014
,29,Mbale,9,2014
,36,Mbale,10,2014
,52,Mbale,9,2014
,58,Mbale,8,2014
,43,Mbale,9,2014
,59,Mbale,8,2014
,29,Mbale,8,2014
,28,Mbale,8,2014
,32,Mbale,10,2014
,39,Mbale,10,2014
,30,Mbale,9,2014
,36,Mbale,9,2014
,35,Mbale,9,2014
,47,Mbale,8,2014
,97,Mbale,9,2014
