id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,31,One Acre Fund,10,2014,1
,38,One Acre Fund,9,2014,1
,33,One Acre Fund,9,2014,1
,37,One Acre Fund,9,2014,1
,51,One Acre Fund,10,2014,1
,30,One Acre Fund,11,2014,1
,32,One Acre Fund,9,2014,1
,44,One Acre Fund,10,2014,1
,49,One Acre Fund,1,2015,1
,36,One Acre Fund,1,2015,1
,35,One Acre Fund,1,2015,1
,30,One Acre Fund,1,2015,1
,49,One Acre Fund,9,2014,1
,29,One Acre Fund,11,2014,1
,109,One Acre Fund,12,2014,1
,31,One Acre Fund,9,2014,1
,26,One Acre Fund,9,2014,1
,29,One Acre Fund,9,2014,1
,30,One Acre Fund,9,2014,1
,41,One Acre Fund,9,2014,1
,33,One Acre Fund,1,2015,1
,31,One Acre Fund,8,2014,1
,28,One Acre Fund,9,2014,1
,44,One Acre Fund,10,2014,1
,39,One Acre Fund,9,2014,1
,32,One Acre Fund,9,2014,1
,34,One Acre Fund,1,2015,1
,27,One Acre Fund,10,2014,1
,45,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,37,Bungoma,5,2015,1
,28,Bungoma,5,2015,1
,50,Bungoma,4,2015,1
,45,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,34,Bungoma,4,2015,1
,35,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,42,Bungoma,5,2015,1
,37,Bungoma,5,2015,1
,41,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,51,Bungoma,5,2015,1
,33,Bungoma,5,2015,1
,53,Bungoma,4,2015,1
,49,Bungoma,5,2015,1
,36,Bungoma,5,2015,1
,46,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,34,Bungoma,5,2015,1
,49,Bungoma,5,2015,1
,40,Bungoma,5,2015,1
,33,Bungoma,5,2015,1
,42,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,40,Bungoma,4,2015,1
,28,Bungoma,5,2015,1
,43,Bungoma,5,2015,1
,40,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,43,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,47,Bungoma,4,2015,1
,38,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,36,Bungoma,5,2015,1
,45,Bungoma,5,2015,1
,37,Bungoma,5,2015,1
,20,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,37,Bungoma,5,2015,1
,28,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,25,Bungoma,5,2015,1
,40,Bungoma,5,2015,1
,51,Bungoma,5,2015,1
,51,Bungoma,5,2015,1
,45,Bungoma,5,2015,1
,31,Bungoma,5,2015,1
,52,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,28,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,53,Bungoma,5,2015,1
,35,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,38,Bungoma,5,2015,1
,45,Bungoma,5,2015,1
,44,Bungoma,5,2015,1
,40,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,34,Bungoma,5,2015,1
,37,Bungoma,5,2015,1
,43,Bungoma,5,2015,1
,42,Bungoma,4,2015,1
,30,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,30,Bungoma,5,2015,1
,33,Bungoma,5,2015,1
,55,Bungoma,5,2015,1
,32,Bungoma,5,2015,1
,26,Bungoma,5,2015,1
,45,Bungoma,5,2015,1
,33,Busia,9,2014,1
,45,Busia,9,2014,1
,32,Busia,5,2015,1
,44,Busia,4,2015,1
,31,Busia,5,2015,1
,36,Busia,4,2015,1
,30,Busia,5,2015,1
,47,Busia,4,2015,1
,40,Busia,9,2014,1
,28,Busia,4,2015,1
,30,Busia,5,2015,1
,20,Busia,9,2014,1
,72,Busia,9,2014,1
,62,Busia,9,2014,1
,28,Busia,9,2014,1
,31,Busia,5,2015,1
,30,Busia,5,2015,1
,49,Busia,6,2015,1
,28,Busia,9,2014,1
,29,Busia,4,2015,1
,36,Busia,4,2015,1
,32,Busia,5,2015,1
,34,Busia,5,2015,1
,32,Busia,5,2015,1
,34,Busia,9,2014,1
,20,Busia,9,2014,1
,58,Busia,5,2015,1
,40,Busia,5,2015,1
,46,Busia,9,2014,1
,32,Busia,5,2015,1
,37,Busia,9,2014,1
,30,Busia,4,2015,1
,13,Busia,9,2014,1
,25,Busia,4,2015,1
,31,Busia,4,2015,1
,43,Busia,5,2015,1
,46,Busia,5,2015,1
,38,Busia,9,2014,1
,26,Busia,9,2014,1
,38,Busia,9,2014,1
,73,Busia,9,2014,1
,39,Busia,5,2015,1
,37,Busia,5,2015,1
,25,Busia,4,2015,1
,37,Busia,5,2015,1
,80,Busia,5,2015,1
,49,Busia,5,2015,1
,40,Busia,4,2015,1
,42,Busia,4,2015,1
,37,Busia,5,2015,1
,36,Busia,4,2015,1
,23,Busia,9,2014,1
,40,Busia,4,2015,1
,22,Busia,4,2015,1
,36,Busia,5,2015,1
,43,Busia,5,2015,1
,20,Busia,9,2014,1
,22,Busia,9,2014,1
,48,Busia,5,2015,1
,78,Busia,9,2014,1
,58,Busia,4,2015,1
,33,Busia,4,2015,1
,60,Busia,9,2014,1
,85,Busia,9,2014,1
,41,Busia,5,2015,1
,39,Busia,4,2015,1
,35,Busia,4,2015,1
,45,Busia,9,2014,1
,25,Busia,4,2015,1
,37,Busia,9,2014,1
,36,Busia,9,2014,1
,34,Busia,5,2015,1
,34,Busia,5,2015,1
,43,Busia,9,2014,1
