id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,Once Acre Fund,22,1,5,2013,13may2013
,Once Acre Fund,17,1,5,2013,13may2013
,Once Acre Fund,27,1,5,2013,14may2013
,Once Acre Fund,22,1,5,2013,14may2013
,Once Acre Fund,28,1,5,2013,14may2013
,Once Acre Fund,21,1,5,2013,14may2013
,Once Acre Fund,23,1,5,2013,14may2013
,Once Acre Fund,15,1,5,2013,14may2013
,Once Acre Fund,23,1,5,2013,14may2013
,Once Acre Fund,21,1,5,2013,14may2013
,Once Acre Fund,21,1,5,2013,14may2013
,Once Acre Fund,27,1,5,2013,14may2013
,Once Acre Fund,32,1,5,2013,14may2013
,Once Acre Fund,19,1,5,2013,14may2013
,Once Acre Fund,24,1,5,2013,14may2013
,Once Acre Fund,21,1,5,2013,13may2013
,Once Acre Fund,28,1,5,2013,14may2013
,Once Acre Fund,16,1,5,2013,14may2013
,Once Acre Fund,31,1,5,2013,14may2013
,Once Acre Fund,32,1,5,2013,14may2013
,Once Acre Fund,15,1,5,2013,14may2013
,Once Acre Fund,30,1,5,2013,14may2013
,Once Acre Fund,12,1,5,2013,14may2013
,Once Acre Fund,27,1,5,2013,14may2013
,Once Acre Fund,11,1,5,2013,14may2013
,Once Acre Fund,23,1,5,2013,14may2013
,Once Acre Fund,20,1,5,2013,14may2013
,Once Acre Fund,19,1,5,2013,14may2013
,Once Acre Fund,32,1,5,2013,14may2013
,Once Acre Fund,19,1,5,2013,14may2013
,Once Acre Fund,39,1,5,2013,14may2013
,Once Acre Fund,30,1,5,2013,14may2013
,Once Acre Fund,39,1,5,2013,14may2013
,Once Acre Fund,18,1,5,2013,14may2013
,Once Acre Fund,33,1,5,2013,14may2013
,Once Acre Fund,22,1,5,2013,14may2013
,Once Acre Fund,26,1,5,2013,14may2013
,Once Acre Fund,26,1,5,2013,14may2013
,Once Acre Fund,15,1,5,2013,15may2013
,Once Acre Fund,22,1,5,2013,15may2013
,Once Acre Fund,20,1,5,2013,15may2013
,Once Acre Fund,18,1,5,2013,15may2013
,Once Acre Fund,25,1,5,2013,15may2013
,Once Acre Fund,15,1,5,2013,15may2013
,Once Acre Fund,21,1,5,2013,15may2013
,Once Acre Fund,22,1,5,2013,15may2013
,Once Acre Fund,26,1,5,2013,15may2013
,Once Acre Fund,21,1,5,2013,15may2013
,Once Acre Fund,21,1,5,2013,15may2013
,Once Acre Fund,22,1,5,2013,15may2013
,Once Acre Fund,24,1,5,2013,15may2013
,Once Acre Fund,25,1,5,2013,15may2013
,Once Acre Fund,21,1,5,2013,15may2013
,Once Acre Fund,18,1,5,2013,15may2013
,Once Acre Fund,17,1,5,2013,15may2013
,Once Acre Fund,20,1,5,2013,15may2013
,Once Acre Fund,19,1,5,2013,15may2013
,Once Acre Fund,16,1,5,2013,15may2013
,Once Acre Fund,16,1,5,2013,15may2013
,Once Acre Fund,24,1,5,2013,15may2013
,Once Acre Fund,21,1,5,2013,15may2013
,Once Acre Fund,31,1,5,2013,15may2013
,Once Acre Fund,20,1,5,2013,15may2013
,Once Acre Fund,19,1,5,2013,15may2013
,Once Acre Fund,22,1,5,2013,15may2013
,Once Acre Fund,20,1,5,2013,15may2013
