id,cem301_attendees_total,prog,month,year,country
,18,Zomba 4,3,2015,3
,52,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,25,Zomba 4,3,2015,3
,41,Zomba 4,3,2015,3
,65,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,37,Zomba 4,3,2015,3
,33,Zomba 4,3,2015,3
,63,Zomba 4,3,2015,3
,35,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,80,Zomba 4,3,2015,3
,33,Zomba 4,3,2015,3
,45,Zomba 4,3,2015,3
,61,Zomba 4,3,2015,3
,35,Zomba 4,1,2013,3
,30,Zomba 4,1,2013,3
,40,Zomba 4,1,2013,3
,28,Zomba 4,1,2013,3
,75,Zomba 1,12,2013,3
,150,Zomba 1,12,2013,3
,75,Zomba 1,12,2013,3
,53,Zomba 1,12,2013,3
,78,Zomba 1,12,2013,3
,70,Zomba 1,12,2013,3
,50,Zomba 1,12,2013,3
,101,Zomba 1,12,2013,3
,58,Zomba 1,12,2013,3
,27,Zomba 1,12,2013,3
,37,Zomba 1,12,2013,3
,82,Zomba 1,12,2013,3
,45,Zomba 1,12,2013,3
,25,Zomba 1,12,2013,3
,30,Zomba 1,12,2013,3
,35,Zomba 1,12,2013,3
,72,Zomba 1,12,2013,3
,24,Zomba 2,4,2014,3
,54,Zomba 1,4,2014,3
,60,Zomba 1,4,2014,3
,49,Zomba 1,1,2012,3
,32,Zomba 1,4,2014,3
,73,Zomba 1,4,2014,3
,40,Zomba 2,4,2014,3
,35,Zomba 2,4,2014,3
,40,Zomba 2,4,2014,3
,43,Zomba 1,4,2014,3
,63,Zomba 2,4,2014,3
,40,Zomba 1,4,2014,3
,60,Zomba 1,4,2014,3
,80,Zomba 1,4,2014,3
,98,Zomba 1,4,2014,3
,1040,Zomba 1,4,2014,3
,38,Zomba 1,4,2014,3
,16,Zomba 1,4,2014,3
,26,Zomba 1,4,2014,3
,40,Zomba 1,4,2014,3
,42,Zomba 1,4,2014,3
,33,Zomba 1,4,2014,3
,88,Zomba 1,4,2014,3
,52,Zomba 2,4,2014,3
,86,Zomba 1,4,2014,3
,85,Zomba 1,4,2014,3
,46,Zomba 2,4,2014,3
,33,Zomba 1,4,2014,3
,52,Zomba 2,4,2014,3
,56,Zomba 1,4,2014,3
,47,Zomba 1,4,2014,3
,21,Zomba 2,4,2014,3
,24,Zomba 2,4,2014,3
,64,Zomba 1,4,2014,3
,63,Zomba 1,4,2014,3
,24,Zomba 1,1,2013,3
,41,Zomba 2,4,2014,3
,49,Zomba 1,4,2014,3
,59,Zomba 2,4,2014,3
,63,Zomba 2,4,2014,3
,23,Zomba 2,4,2014,3
,30,Zomba 2,4,2014,3
,72,Zomba 1,4,2014,3
,41,Zomba 2,4,2014,3
,32,Zomba 2,4,2014,3
,63,Zomba 1,4,2014,3
,25,Zomba 1,4,2014,3
,22,Zomba 1,4,2014,3
,47,Zomba 2,4,2014,3
,24,Zomba 2,4,2014,3
,45,Zomba 2,4,2014,3
,30,Zomba 2,4,2014,3
,20,Zomba 2,4,2014,3
,47,Zomba 1,12,2013,3
,40,Zomba 1,12,2013,3
,26,Zomba 1,12,2013,3
