1,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Aisaik,004-007-AI01,0,public,STH ONLY,OPEN,257,0000-00-00 00:00:00
2,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Aonet Ac,004-007-AO01,0,private,STH ONLY,OPEN,108,0000-00-00 00:00:00
3,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,St Augustine,004-007-AU61,0,missing,STH ONLY,OPEN,117,0000-00-00 00:00:00
4,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Balek B,004-007-BA01,0,public,STH ONLY,OPEN,465,0000-00-00 00:00:00
5,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Baraka,004-007-BA03,0,public,STH ONLY,OPEN,383,0000-00-00 00:00:00
6,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bariwot Aca,004-007-BA04,0,private,STH ONLY,OPEN,62,0000-00-00 00:00:00
7,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Barekeiyat,004-007-BA05,0,public,STH ONLY,OPEN,185,0000-00-00 00:00:00
8,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bilelga,004-007-BE01,0,public,STH ONLY,OPEN,220,0000-00-00 00:00:00
9,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Belgut,004-007-BE02,0,public,STH ONLY,OPEN,320,0000-00-00 00:00:00
10,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bomet Pry,004-007-BO01,0,public,STH ONLY,OPEN,638,0000-00-00 00:00:00
11,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bomet Christian,004-007-BO02,0,private,STH ONLY,OPEN,38,0000-00-00 00:00:00
12,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bonyoriot,004-007-BO03,0,public,STH ONLY,OPEN,152,0000-00-00 00:00:00
13,Bomet,COUN02,Bomet Central,2012300,Central,DIV000602,Bongo,004-007-BO04,0,public,STH ONLY,OPEN,169,0000-00-00 00:00:00
