	Bomet	COUN02	Bomet Central		Central	DIV000602	Golden Child	004-007-GO02		STH	private			2018-03-17 00:00:04
	Bomet	COUN02	Bomet Central		Central	DIV000602	Greenland	004-007-GR01		STH	private			2018-03-17 00:00:04
	Bomet	COUN02	Bomet Central		Central	DIV000602	Irwaga	004-007-IR01		STH	public			2018-03-17 00:00:04
	Bomet	COUN02	Bomet Central		Central	DIV000602	Ivyana	004-007-IV01		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Jobes Academy	004-007-JO53		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Jonches Aca	004-007-JO01		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Jonjo Star	004-007-JO03		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Judea Academy	004-007-JU01		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Junior Amb	004-007-JU02		STH	private			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kabungut	004-007-KA02		STH	public			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kabusare	004-007-KA03		STH	public			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kamobiriri	004-007-KA05		STH	public			2018-03-17 00:00:05
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kamogoro Mission	004-007-KA01		STH	None			2018-03-17 00:00:00
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kamogoso Pry	004-007-KA06		STH	public			2018-03-17 00:00:00
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kamoyo	004-007-KA07		STH	public			2018-03-17 00:00:00
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kapcheluch B	004-007-KA58		STH	public			2018-03-17 00:00:00
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kapkesiego	004-007-KA09		STH	public			2018-03-17 00:00:00
	Bomet	COUN02	Bomet Central		Central	DIV000602	Kapkikorwet	004-007-KA10		STH	public			2018-03-17 00:00:00
