COUNTY,SUB-COUNTY,DIVISION,LOCATION,SUB-LOCATION,VILLAGE
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,NZOIA A
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,NZOIA B
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,NZOIA C
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,NZOIA D
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,SAWA
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,SINOKO A
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,SINOKO B
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,NDALU RURAL
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,TUMAINI
BUNGOMA,TONGAREN,TONGAREN,NDALU,NDALU,SANGO
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MUSEMBE
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MULIRO
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MINYALI A
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MINYALI B
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,NAMWICHULA
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,SAFINA
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MUSANGURA
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MULEMBE
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,SIMANA
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,MUSANGO
BUNGOMA,TONGAREN,TONGAREN,NDALU,MULIRO,BUYANZI
,TONGAREN,,MITUA,MITUA,NASIANDA
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MARAMU
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MACHAKHA
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MATISI
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MITUA A
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MITUA B
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,CHERETI
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MAKHONGE
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,MAKUTANO
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,BAHATI
BUNGOMA,TONGAREN,TONGAREN,MITUA,MITUA,SINOKO
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,NZOIA
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MISANGA
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MVUNJE
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MKHUYU
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,LUTAZO
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MUUNGANO
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MUSEMBE
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,KAPCHONGE
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,KEWA
BUNGOMA,TONGAREN,TONGAREN,MITUA,MISANGA,MUSEMWA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,KAKAMWE
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,KAHAWA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,NABIKOTO
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,SINOKO
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MITOTO
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,AMUKA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,NAMUNYIRI 
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MUSALABA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,NASIANDA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MUKHUYU
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,KEWA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MILELE
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MILELE MARKET
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MATISI
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,SIANGALAMWE
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MAKOLOLWE
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MUKUYU 
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,KAKAMWE,MAPERA
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Chanuka
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Namutokholo
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Sango
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Bondeni
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Machakha
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Bidii
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Luanda
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Mulembe
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Maembe
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Sinoko Binyenya
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Misemwa
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Banana
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Sikulu
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Taraja
BUNGOMA,TONGAREN,TONGAREN,KAKAMWE,BINYENYA,Maramu
