county,subcounty,division,location,sublocation,Village
Trans-Nzoia,Kiminini,Kiminini,Matunda,Matunda,sirare b
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Sirende A
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Sirende B
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Sirende C
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Sirende_Motosiet
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Sirisia  A
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Sirungai
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Sitosi  A
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Siuna B
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Siuna C
Trans-Nzoia,Cheranganyi,Kaplamai,Sitatunga,Sitatunga,Siyoi_Sitatunga
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Soko B
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Soko Moko Wamuini B
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Sokomoko
Trans-Nzoia,Kiminini,Kiminini,Shikhendu,Shikhendu,Sosio A
Trans-Nzoia,Kiminini,Kiminini,Shikhendu,Shikhendu,Sosio B
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Sosiot B_Motosiet
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Soweto
Trans-Nzoia,Cheranganyi,Kaplamai,Sitatunga,Sitatunga,St. Teresa_Sitatunga
Trans-Nzoia,Kiminini,Kiminini,Kiminini,Kiminini,Stova A
Trans-Nzoia,Kiminini,Kiminini,Kiminini,Kiminini,Stova B
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Surungai/ Masombor_Motosiet
Trans-Nzoia,Cheranganyi,Kaplamai,Sitatunga,Sitatunga,Surungai_Sitatunga
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,KIMOSON,TEMBELELA
Trans-Nzoia,Kiminini,Kiminini,kiminini,Nabiswa,Tembelila
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Toro  B
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Toro A
Trans-Nzoia,Cheranganyi,Kaplamai,Sitatunga,Sitatunga,Township_Sitatunga
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Tulon A
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Tulon B
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Tumaini x Wabuge
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Tunen A_Nzoia
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Tunen B_Nzoia
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Tunen c
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Umoja
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Velos_Motosiet
Trans-Nzoia,Kiminini,Waitaluk,Sirende,Sirende,Vitongorio
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Waigama B
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Waigama Farm A
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Waitaluk
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Wamoini A
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Wamuini A-Maendeleo
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Wamuini A-Upendo
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Wamuini B central
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Wamuini B Mwanzo
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Wamuini ufunuo
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Wamuini/Kahawa
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Warungu Maskini
Trans-Nzoia,Kiminini,Kiminini,Kiminini,Nabiswa,Wena Farm
Trans-Nzoia,Kiminini,Kiminini,Shikhendu,Shikhendu,Wesakulila
Trans-Nzoia,Kiminini,Kiminini,Matunda,Matunda,Weyeta A
Trans-Nzoia,Kiminini,Kiminini,Matunda,Matunda,Weyeta c1
Trans-Nzoia,Kiminini,Kiminini,Matunda,Matunda,Weyeta Sapata
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,X Wabuge  Milimani
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,KIMOSON,YELLOW_LINE_NGONYEK)
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,KIMOSON,YUYA
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,KIMOSON,YUYA_ I
